Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
135243,	30722,	200,	10406,	34635,	0,	
136244,	30575,	221,	10400,	34872,	0,	
137244,	30678,	192,	10460,	34424,	0,	
138246,	30014,	212,	10283,	34619,	0,	
139246,	29787,	209,	10144,	34318,	0,	
140250,	26615,	156,	9475,	29102,	0,	
141249,	30088,	192,	10288,	34108,	0,	
142250,	31443,	218,	10596,	35512,	0,	
143251,	31582,	207,	10764,	36473,	0,	
144253,	32407,	222,	10983,	36412,	0,	
145253,	32215,	213,	11010,	36812,	0,	
146254,	31961,	211,	10847,	36919,	0,	
147255,	31527,	210,	10793,	36654,	0,	
148256,	32659,	216,	11095,	36804,	0,	
149258,	31845,	212,	10767,	35390,	0,	
150258,	25625,	171,	9119,	29026,	0,	
151261,	28852,	0,	10441,	34501,	0,	
152262,	30020,	0,	10921,	35640,	0,	
153262,	30100,	0,	10870,	35702,	0,	
154262,	29339,	0,	10621,	34407,	0,	
155263,	28741,	0,	10329,	34045,	0,	
156263,	29925,	0,	10871,	35725,	0,	
157264,	28823,	0,	10462,	34213,	0,	
158266,	29352,	0,	10630,	34146,	0,	
159267,	29005,	0,	10485,	34663,	0,	
160267,	24924,	0,	9388,	28663,	0,	
161271,	29423,	0,	10678,	35152,	0,	
162271,	28422,	0,	10294,	34227,	0,	
163271,	29282,	0,	10629,	34931,	0,	
164271,	29299,	0,	10580,	34669,	0,	
165273,	29182,	0,	10603,	35386,	0,	
166274,	28663,	0,	10386,	33869,	0,	
167275,	29358,	0,	10563,	34540,	0,	
168276,	30180,	0,	10919,	35767,	0,	
169277,	30358,	0,	11003,	36659,	0,	
170280,	25392,	0,	9545,	29511,	0,	
171280,	28587,	0,	10372,	34430,	0,	
172279,	28611,	0,	10327,	34320,	0,	
173281,	29061,	0,	10553,	34278,	0,	
174282,	28780,	0,	10435,	34136,	0,	
175282,	29484,	0,	10645,	35177,	0,	
176284,	30827,	0,	11189,	36263,	0,	
177285,	31075,	0,	11265,	36414,	0,	
178285,	30945,	0,	11170,	37242,	0,	
179286,	29778,	0,	10739,	35311,	0,	
180287,	24779,	0,	9451,	28591,	0,	
181289,	30854,	0,	11132,	36574,	0,	
182290,	29231,	0,	10606,	34929,	0,	
183297,	29201,	0,	10542,	34373,	0,	
184293,	30100,	0,	10885,	35972,	0,	
185293,	31151,	0,	11249,	36881,	0,	
186295,	30672,	0,	11080,	36110,	0,	
187296,	28920,	0,	10549,	34718,	0,	
188298,	28458,	0,	10314,	33885,	0,	
189297,	28188,	0,	10214,	34295,	0,	
190299,	24692,	0,	9334,	28168,	0,	
191300,	29303,	0,	10593,	34808,	0,	
192304,	29158,	0,	10439,	34122,	0,	
193303,	29208,	0,	10635,	34695,	0,	
194303,	30483,	0,	11006,	36152,	0,	
195305,	30487,	0,	11059,	36616,	0,	
196307,	29467,	0,	10538,	35210,	0,	
197308,	30274,	0,	10957,	35781,	0,	
198308,	29570,	0,	10771,	34521,	0,	
199310,	29643,	0,	10712,	35186,	0,	
200311,	24644,	0,	9246,	28263,	0,	
201311,	28826,	0,	10381,	33673,	0,	
202313,	29369,	0,	10670,	34468,	0,	
203328,	30451,	0,	11065,	36387,	0,	
204326,	31162,	0,	11287,	36148,	0,	
205325,	30748,	0,	11221,	36966,	0,	
206326,	30891,	0,	11257,	36727,	0,	
207328,	30671,	0,	11010,	35743,	0,	
208328,	29230,	0,	10647,	34458,	0,	
209330,	28873,	0,	10468,	34424,	0,	
210331,	25618,	0,	9592,	28920,	0,	
211331,	28765,	0,	10481,	34658,	0,	
212333,	29543,	0,	10622,	35399,	0,	
213334,	30664,	0,	11121,	36864,	0,	
214335,	30376,	0,	11016,	36350,	0,	
215336,	31417,	0,	11336,	36493,	0,	
216336,	31064,	0,	11201,	37127,	0,	
217339,	31190,	0,	11224,	37035,	0,	
218340,	31339,	0,	11249,	37070,	0,	
219340,	30811,	0,	11183,	37087,	0,	
220340,	25569,	0,	9673,	29888,	0,	
221342,	30414,	0,	11037,	36991,	0,	
222343,	31480,	0,	11368,	36888,	0,	
223344,	31227,	0,	11304,	36664,	0,	
224345,	31289,	0,	11218,	36830,	0,	
225345,	30555,	0,	11026,	36808,	0,	
226346,	30843,	0,	11212,	36783,	0,	
227348,	31034,	0,	11279,	36551,	0,	
228349,	31056,	0,	11187,	36444,	0,	
229350,	31212,	0,	11241,	36296,	0,	
230351,	26103,	0,	9885,	30207,	0,	
231352,	30669,	0,	11094,	36743,	0,	
232352,	30915,	0,	11154,	36908,	0,	
233353,	31203,	0,	11220,	36733,	0,	
234354,	30418,	0,	11038,	36558,	0,	
235355,	30951,	0,	11171,	36250,	0,	
236358,	30164,	0,	10904,	36403,	0,	
237358,	30868,	0,	11189,	36830,	0,	
238359,	30309,	0,	11081,	36726,	0,	
239359,	31703,	0,	11383,	36916,	0,	
240360,	25734,	0,	9780,	29800,	0,	
241362,	31315,	0,	11253,	36786,	0,	
242364,	30849,	0,	11183,	36841,	0,	
243364,	30816,	0,	11225,	36593,	0,	
244368,	30558,	0,	11061,	36678,	0,	
245369,	31698,	0,	11462,	36532,	0,	
246369,	30749,	0,	11194,	36556,	0,	
247368,	31291,	0,	11312,	36468,	0,	
248369,	31161,	0,	11243,	36843,	0,	
249371,	30948,	0,	11264,	36779,	0,	
250372,	26446,	0,	9967,	30350,	0,	
251373,	31047,	0,	11169,	37274,	0,	
252374,	30581,	0,	11146,	36815,	0,	
253374,	31485,	0,	11386,	36736,	0,	
254376,	31515,	0,	11274,	37048,	0,	
255376,	31152,	0,	11228,	36659,	0,	
256378,	31132,	0,	11212,	36903,	0,	
257379,	30868,	0,	11141,	36731,	0,	
258380,	31327,	0,	11332,	36768,	0,	
259381,	30896,	0,	11196,	36708,	0,	
260382,	25063,	0,	9502,	29678,	0,	
261383,	31129,	0,	11257,	37136,	0,	
262384,	31184,	0,	11313,	37034,	0,	
263386,	31048,	0,	11350,	36791,	0,	
264387,	30630,	0,	11112,	36615,	0,	
265387,	30797,	0,	11187,	36923,	0,	
266389,	30886,	0,	11170,	36701,	0,	
267389,	31023,	0,	11231,	36754,	0,	
268390,	31737,	0,	11488,	36945,	0,	
269391,	30936,	0,	11279,	37330,	0,	
270391,	25753,	0,	9736,	29811,	0,	
271393,	30890,	0,	11174,	36370,	0,	
272394,	31596,	0,	11385,	36520,	0,	
273395,	30800,	0,	11201,	36710,	0,	
274396,	30575,	0,	11096,	37368,	0,	
275397,	31314,	0,	11312,	36767,	0,	
276398,	31083,	0,	11292,	37033,	0,	
277399,	30687,	0,	11061,	37112,	0,	
278400,	30681,	0,	11089,	36451,	0,	
279400,	30870,	0,	11072,	36769,	0,	
280402,	25466,	0,	9689,	29673,	0,	
281403,	31780,	0,	11342,	36590,	0,	
282405,	31024,	0,	11235,	36898,	0,	
283404,	31046,	0,	11206,	36841,	0,	
284405,	31299,	0,	11291,	36494,	0,	
285406,	31338,	0,	11316,	36900,	0,	
286408,	31394,	0,	11377,	36653,	0,	
287409,	31332,	0,	11329,	36850,	0,	
288411,	30619,	0,	11107,	36713,	0,	
289416,	29858,	0,	10823,	36002,	0,	
290417,	24638,	0,	9422,	28488,	0,	
291414,	30111,	0,	10955,	35795,	0,	
292415,	30647,	0,	11034,	35826,	0,	
293415,	31463,	0,	11419,	36636,	0,	
294416,	30973,	0,	11200,	36690,	0,	
295417,	30947,	0,	11175,	36781,	0,	
296418,	30988,	0,	11151,	36929,	0,	
297419,	30960,	0,	11197,	36583,	0,	
298420,	27359,	0,	9898,	32658,	0,	
299421,	30930,	0,	11207,	37236,	0,	
300423,	25584,	0,	9676,	29106,	0,	
301423,	30591,	0,	10974,	36600,	0,	
302424,	30684,	0,	11100,	36663,	0,	
303425,	31448,	0,	11314,	37056,	0,	
304426,	30937,	0,	11241,	36801,	0,	
305426,	30789,	0,	11166,	36826,	0,	
306428,	31321,	0,	11334,	36839,	0,	
307429,	31018,	0,	11280,	36764,	0,	
308430,	31277,	0,	11275,	36848,	0,	
309431,	31159,	0,	11349,	36683,	0,	
310432,	25240,	0,	9587,	29191,	0,	
311433,	31719,	0,	11400,	36721,	0,	
312435,	31317,	0,	11261,	36872,	0,	
313435,	31566,	0,	11424,	36520,	0,	
314436,	25978,	0,	9526,	30775,	0,	
315437,	29130,	0,	10570,	35276,	0,	
316438,	30399,	0,	11062,	36801,	0,	
317439,	30567,	0,	11058,	36833,	0,	
318440,	30962,	0,	11238,	36883,	0,	
319441,	31015,	0,	11175,	36960,	0,	
320442,	24913,	0,	9531,	28573,	0,	
321444,	31209,	0,	11256,	36418,	0,	
322446,	30932,	0,	11272,	37141,	0,	
323445,	30916,	0,	11182,	36765,	0,	
324446,	31172,	0,	11269,	36542,	0,	
325447,	31510,	0,	11317,	36979,	0,	
326448,	31297,	0,	11312,	36945,	0,	
327449,	30974,	0,	11329,	36805,	0,	
328450,	30902,	0,	11111,	37121,	0,	
329452,	26000,	0,	9337,	30873,	0,	
330452,	25649,	0,	9701,	29361,	0,	
331453,	31537,	0,	11331,	36962,	0,	
332454,	29489,	0,	10607,	34982,	0,	
333455,	31170,	0,	11248,	37189,	0,	
334456,	31175,	0,	11331,	36720,	0,	
335457,	28913,	0,	10525,	34130,	0,	
336458,	31298,	0,	11308,	36344,	0,	
337459,	31358,	0,	11219,	36751,	0,	
338460,	30576,	0,	11028,	36740,	0,	
339462,	30839,	0,	11139,	36502,	0,	
340466,	24451,	0,	9378,	28235,	0,	
341464,	30811,	0,	11169,	36606,	0,	
342466,	28267,	0,	10236,	33491,	0,	
343466,	29993,	0,	10894,	35387,	0,	
344466,	30340,	0,	10998,	35648,	0,	
345467,	30598,	0,	11136,	36676,	0,	
346468,	30849,	0,	11225,	36829,	0,	
347468,	31592,	0,	11314,	37023,	0,	
348470,	30904,	0,	11255,	36987,	0,	
349471,	30958,	0,	11268,	37167,	0,	
350472,	24835,	0,	9353,	28479,	0,	
351473,	30812,	0,	11131,	36877,	0,	
352474,	30835,	0,	11178,	36914,	0,	
353475,	31011,	0,	11162,	36441,	0,	
354476,	31894,	0,	11463,	36663,	0,	
355477,	31159,	0,	11274,	36873,	0,	
356478,	31297,	0,	11283,	37228,	0,	
357479,	30956,	0,	11205,	36843,	0,	
358481,	30893,	0,	11123,	36856,	0,	
359481,	30971,	0,	11109,	36554,	0,	
360482,	25678,	0,	9774,	30256,	0,	
361483,	31127,	0,	11337,	36606,	0,	
362484,	31461,	0,	11386,	37433,	0,	
363485,	30852,	0,	11161,	36950,	0,	
364486,	30903,	0,	11171,	36354,	0,	
365487,	31176,	0,	11223,	36731,	0,	
366488,	31823,	0,	11421,	37000,	0,	
367489,	30846,	0,	11172,	36793,	0,	
368490,	31142,	0,	11163,	37038,	0,	
369491,	31160,	0,	11224,	36923,	0,	
370493,	25860,	0,	9844,	30068,	0,	
371493,	31031,	0,	11193,	36869,	0,	
372495,	31286,	0,	11303,	36701,	0,	
373496,	31497,	0,	11458,	36655,	0,	
374496,	31218,	0,	11350,	36756,	0,	
375497,	30999,	0,	11225,	37133,	0,	
376498,	31021,	0,	11327,	36623,	0,	
377499,	31418,	0,	11314,	36810,	0,	
378500,	30700,	0,	11134,	37188,	0,	
379501,	30730,	0,	11200,	36818,	0,	
380505,	25632,	0,	9764,	29570,	0,	
381502,	30056,	0,	10926,	34455,	0,	
382506,	29248,	0,	10528,	34463,	0,	
383505,	29411,	0,	10564,	34439,	0,	
384507,	28809,	0,	10475,	34079,	0,	
385508,	29532,	0,	10680,	34863,	0,	
386508,	28816,	0,	10398,	34159,	0,	
387507,	29760,	0,	10765,	35577,	0,	
388509,	29203,	0,	10574,	34089,	0,	
389512,	28870,	0,	10412,	34905,	0,	
390512,	25294,	0,	9521,	29658,	0,	
391514,	31228,	0,	11253,	36779,	0,	
392514,	31493,	0,	11413,	36920,	0,	
393515,	30382,	0,	11050,	36545,	0,	
394517,	29918,	0,	10777,	35452,	0,	
