Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
1002,	31617,	4786,	0,	15930,	0,	
2002,	65934,	10016,	0,	32360,	0,	
3003,	72902,	11057,	0,	36185,	0,	
4004,	74599,	11329,	0,	36228,	0,	
5005,	73122,	11087,	0,	36622,	0,	
6006,	72126,	10929,	0,	36571,	0,	
7007,	73785,	11192,	0,	36599,	0,	
8008,	73310,	11116,	0,	36232,	0,	
9009,	73631,	11164,	0,	36672,	0,	
10931,	74371,	11164,	40,	36322,	105,	
11931,	55290,	7561,	3382,	26186,	9558,	
12932,	56982,	7686,	3459,	26476,	9722,	
13933,	57025,	7674,	3566,	26801,	9830,	
14934,	56401,	7586,	3468,	26793,	9700,	
15935,	57239,	7705,	3519,	26803,	9774,	
16936,	56453,	7581,	3567,	26675,	9937,	
17937,	57512,	7704,	3606,	26565,	10012,	
18938,	57277,	7718,	3502,	26690,	9678,	
19939,	57939,	7825,	3535,	26764,	9899,	
21045,	10768,	495,	3740,	1709,	10461,	
22046,	54282,	7146,	4316,	27224,	9851,	
23047,	53635,	7121,	4226,	27001,	9967,	
24048,	53204,	7084,	4096,	26605,	9870,	
25049,	53860,	7093,	4246,	27052,	9824,	
26050,	52436,	6949,	4157,	26583,	9750,	
27051,	52536,	6934,	4158,	26640,	9586,	
28052,	51998,	6859,	4170,	26132,	9553,	
29053,	52921,	6999,	4134,	26742,	9681,	
31097,	58682,	6601,	8658,	25455,	19924,	
32098,	45150,	5705,	5001,	25456,	9568,	
33099,	43885,	5549,	4860,	24718,	9043,	
34100,	44775,	5644,	5023,	25285,	9380,	
35101,	44467,	5616,	5017,	25194,	9239,	
36102,	46385,	5850,	5268,	26254,	9620,	
37103,	44889,	5638,	5107,	25504,	9351,	
38104,	44952,	5681,	5009,	26012,	9488,	
39105,	45858,	5811,	5034,	26098,	9669,	
40606,	46322,	5196,	7683,	23200,	14580,	
41607,	42057,	4931,	5504,	25590,	9310,	
42609,	42850,	5013,	5639,	25726,	9408,	
43609,	42880,	5024,	5622,	25395,	9402,	
44610,	43788,	5114,	5778,	26528,	9756,	
45611,	43886,	5122,	5780,	26101,	9675,	
46612,	42445,	5009,	5455,	25318,	9221,	
47613,	43631,	5135,	5623,	26149,	9478,	
48614,	43453,	5082,	5715,	25783,	9637,	
49615,	44022,	5130,	5940,	26540,	10119,	
50627,	22150,	1878,	5891,	9884,	9643,	
51628,	38619,	4250,	6733,	26089,	9665,	
52629,	38485,	4290,	6510,	26136,	9697,	
53630,	37101,	4117,	6291,	24702,	9186,	
54631,	34106,	3795,	5751,	22721,	8442,	
55632,	38302,	4223,	6560,	25848,	9776,	
56633,	36117,	3979,	6203,	24802,	9194,	
57634,	37544,	4166,	6384,	25035,	9196,	
