Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
236929,	96960,	0,	31602,	29327,	10168,	30,	
238942,	96190,	0,	31301,	29016,	10079,	30,	
240950,	76208,	0,	25407,	22978,	8044,	30,	
242956,	93779,	0,	30516,	28350,	9822,	30,	
244976,	96881,	0,	31577,	29258,	10148,	30,	
246990,	97109,	0,	31630,	29354,	10177,	30,	
249031,	97399,	0,	31689,	29446,	10204,	30,	
251067,	76002,	0,	25338,	22734,	7969,	30,	
253097,	98072,	0,	31946,	29653,	10287,	30,	
255121,	96825,	0,	31523,	29269,	10146,	30,	
257138,	96583,	0,	31435,	29197,	10097,	30,	
259178,	96328,	0,	31360,	29100,	10098,	30,	
261199,	78182,	0,	26004,	23560,	8254,	30,	
263212,	96544,	0,	31440,	29186,	10124,	30,	
265301,	97203,	0,	31699,	29418,	10183,	30,	
267369,	98317,	0,	32027,	29700,	10292,	30,	
269482,	99481,	0,	32353,	30031,	10422,	30,	
271498,	77605,	0,	25815,	23376,	8163,	30,	
273542,	96781,	0,	31536,	29259,	10140,	30,	
275562,	96763,	0,	31517,	29255,	10139,	30,	
277595,	97204,	0,	31663,	29368,	10168,	30,	
279632,	95886,	0,	31219,	28992,	10042,	30,	
281642,	75702,	0,	25211,	22861,	7967,	30,	
283673,	97091,	0,	31604,	29319,	10168,	30,	
285700,	97248,	0,	31654,	29370,	10172,	30,	
287734,	97347,	0,	31728,	29449,	10220,	30,	
289766,	95502,	0,	31100,	28873,	10012,	30,	
291815,	79634,	0,	26465,	23918,	8387,	30,	
293840,	98052,	0,	31927,	29647,	10279,	30,	
295867,	97319,	0,	31712,	29385,	10196,	30,	
297877,	96577,	0,	31437,	29196,	10108,	30,	
299934,	97799,	0,	31853,	29589,	10253,	30,	
301958,	77844,	0,	25910,	23386,	8173,	30,	
304015,	98413,	0,	32084,	29759,	10309,	30,	
306090,	96836,	0,	31526,	29236,	10139,	30,	
308122,	95869,	0,	31195,	28960,	10044,	30,	
310136,	91827,	0,	30008,	27690,	9633,	30,	
312175,	82679,	0,	27393,	24956,	8687,	30,	
314183,	94821,	0,	30914,	28720,	9931,	30,	
316227,	98869,	0,	32167,	29792,	10367,	30,	
318277,	98477,	0,	32084,	29780,	10308,	30,	
320370,	85250,	0,	28146,	25620,	8950,	30,	
322375,	90594,	0,	29681,	27448,	9501,	30,	
324407,	98873,	0,	32180,	29910,	10372,	30,	
326422,	95870,	0,	31228,	28940,	10038,	30,	
328477,	94733,	0,	30840,	28619,	9922,	30,	
330555,	59125,	0,	19791,	17726,	6231,	30,	
332566,	92923,	0,	30382,	28113,	9742,	30,	
334572,	97141,	0,	31645,	29374,	10197,	30,	
336588,	96786,	0,	31501,	29230,	10134,	30,	
338646,	99632,	0,	32455,	30110,	10443,	30,	
340691,	77377,	0,	25760,	23283,	8142,	30,	
342703,	95020,	0,	30936,	28701,	9955,	30,	
344733,	97167,	0,	31669,	29406,	10187,	30,	
346754,	97926,	0,	31871,	29565,	10264,	30,	
348768,	95265,	0,	31028,	28800,	9981,	30,	
350795,	81615,	0,	27048,	24605,	8586,	30,	
352800,	99081,	0,	32256,	29964,	10381,	30,	
354807,	98724,	0,	32124,	29819,	10334,	30,	
356811,	97602,	0,	31830,	29524,	10242,	30,	
358821,	99201,	0,	32301,	29965,	10383,	30,	
360905,	83362,	0,	27633,	25089,	8786,	30,	
362908,	92386,	0,	30116,	27904,	9674,	30,	
364915,	98218,	0,	31964,	29699,	10296,	30,	
366919,	98833,	0,	32200,	29890,	10354,	30,	
368928,	94714,	0,	30832,	28601,	9916,	30,	
370972,	59301,	0,	20113,	17880,	6262,	30,	
373004,	89763,	0,	29232,	27102,	9410,	30,	
375141,	89157,	0,	29020,	26949,	9338,	30,	
377285,	97617,	0,	31808,	29516,	10224,	30,	
379426,	99059,	0,	32246,	29915,	10373,	30,	
381683,	66086,	0,	22323,	19850,	6967,	30,	
383734,	96920,	0,	31588,	29295,	10163,	30,	
385816,	97453,	0,	31748,	29447,	10203,	30,	
387949,	99011,	0,	32233,	29938,	10380,	30,	
390046,	96896,	0,	31566,	29312,	10155,	30,	
392056,	62788,	0,	21378,	18795,	6663,	30,	
394087,	98206,	0,	31945,	29641,	10284,	30,	
396144,	98186,	0,	31972,	29675,	10279,	30,	
398162,	96868,	0,	31566,	29284,	10153,	30,	
400204,	91273,	0,	29876,	27523,	9578,	30,	
402227,	83170,	0,	27513,	25067,	8758,	30,	
404233,	95381,	0,	31055,	28854,	10000,	30,	
406246,	96780,	0,	31519,	29231,	10143,	30,	
408292,	98698,	0,	32145,	29822,	10342,	30,	
410352,	83196,	0,	27434,	25044,	8728,	30,	
412454,	96225,	0,	31512,	29147,	10094,	30,	
414489,	97145,	0,	31651,	29349,	10192,	30,	
416553,	99384,	0,	32348,	30064,	10403,	30,	
418569,	97206,	0,	31678,	29362,	10187,	30,	
420586,	77369,	0,	25744,	23310,	8132,	30,	
422598,	98168,	0,	31938,	29665,	10286,	30,	
424629,	98095,	0,	31943,	29637,	10265,	30,	
426656,	96937,	0,	31578,	29312,	10165,	30,	
428687,	98270,	0,	31995,	29692,	10300,	30,	
430708,	76536,	0,	25478,	23143,	8065,	30,	
432743,	95386,	0,	31058,	28812,	9992,	30,	
434769,	96277,	0,	31382,	29112,	10088,	30,	
436775,	96634,	0,	31477,	29171,	10121,	30,	
438782,	97050,	0,	31601,	29355,	10168,	30,	
440810,	77865,	0,	25895,	23387,	8208,	30,	
442816,	96762,	0,	31513,	29250,	10139,	30,	
444852,	97533,	0,	31797,	29482,	10226,	30,	
446897,	96062,	0,	31261,	29033,	10058,	30,	
448948,	98893,	0,	32222,	29908,	10349,	30,	
450954,	76913,	0,	25586,	23145,	8096,	30,	
452967,	97962,	0,	31865,	29628,	10262,	30,	
455000,	98209,	0,	31992,	29702,	10295,	30,	
457032,	97184,	0,	31661,	29337,	10172,	30,	
459050,	96943,	0,	31580,	29290,	10148,	30,	
461092,	78992,	0,	26233,	23806,	8335,	30,	
463120,	89774,	0,	29226,	27130,	9398,	30,	
465133,	77397,	0,	25212,	23395,	8117,	30,	
467152,	96857,	0,	31545,	29267,	10143,	30,	
469166,	95897,	0,	31235,	28998,	10025,	30,	
471190,	69627,	0,	23268,	20937,	7343,	30,	
473224,	93789,	0,	30555,	28357,	9836,	30,	
475247,	92747,	0,	30213,	28020,	9708,	30,	
477287,	91054,	0,	29653,	27516,	9529,	30,	
479329,	96602,	0,	31455,	29206,	10135,	30,	
481355,	75792,	0,	25234,	22848,	7972,	30,	
483373,	97050,	0,	31621,	29325,	10176,	30,	
485383,	94972,	0,	30920,	28725,	9935,	30,	
487408,	93880,	0,	30578,	28366,	9839,	30,	
489432,	97798,	0,	31847,	29585,	10239,	30,	
491450,	75869,	0,	25286,	22818,	7975,	30,	
493465,	93393,	0,	30381,	28233,	9803,	30,	
495504,	96853,	0,	31557,	29273,	10155,	30,	
497510,	93118,	0,	30317,	28181,	9741,	30,	
499521,	94201,	0,	30665,	28437,	9870,	30,	
