N, C1,C2,C, STD C1, STD C2, STD C, 
10,0.0,1.6976509485670925,0.8488254742835463,0.0,1.790472525709002,0.895236262854501,
11,0.0,1.3834273010902844,0.6917136505451422,0.0,1.550776313535213,0.7753881567676065,
12,0.0,1.7678187810916406,0.8839093905458203,0.0,1.8948163095688968,0.9474081547844484,
13,0.0,1.849327642703841,0.9246638213519205,0.0,1.8321384154253153,0.9160692077126577,
14,0.0,2.418894772406615,1.2094473862033075,0.0,2.0501625329877626,1.0250812664938813,
15,0.0,2.601521614156037,1.3007608070780186,0.0,2.440836919933956,1.220418459966978,
16,0.0,2.9018458295399485,1.4509229147699743,0.0,2.4507295896444408,1.2253647948222204,
17,0.0,3.306073373990738,1.653036686995369,0.0,2.9431338338377455,1.4715669169188728,
18,0.0,3.2541102726476856,1.6270551363238428,0.0,2.4994028691381005,1.2497014345690503,
19,0.0,3.4350446224892113,1.7175223112446056,0.0,3.0464085191658072,1.5232042595829036,
20,0.0,3.526129170643535,1.7630645853217675,0.0,2.557114769933868,1.278557384966934,
21,0.0,4.035345961597295,2.0176729807986473,0.0,2.579010082389123,1.2895050411945614,
22,0.0,4.2702429894841005,2.1351214947420503,0.0,2.9060280392811713,1.4530140196405856,
23,0.0,4.630981771242687,2.3154908856213434,0.0,2.61782736013332,1.30891368006666,
24,0.0,4.839652577334173,2.4198262886670867,0.0,3.4115831283328775,1.7057915641664387,
25,0.0,4.890068639025294,2.445034319512647,0.0,3.212671633401315,1.6063358167006574,
26,0.0,5.242264593118257,2.6211322965591286,0.0,3.6019546172709127,1.8009773086354564,
27,0.0,5.843257587838016,2.921628793919008,0.0,3.2344605356371057,1.6172302678185528,
28,0.0,5.885819994675189,2.9429099973375945,0.0,3.325913670047632,1.662956835023816,
29,0.0,6.421817757665816,3.210908878832908,0.0,3.871891531929821,1.9359457659649104,
30,0.0,6.29984811884596,3.14992405942298,0.0,3.285326483353947,1.6426632416769735,
31,0.010046541101958208,6.634226726848137,3.3221366339750475,0.09996182182823707,3.7691867086323723,1.8794704229312573,
32,0.011079693849673831,7.699307098348205,3.8551933960989397,0.11024156187412926,3.6736735425760547,1.8370668773787573,
33,0.010316184701974151,7.144516290408009,3.577416237554991,0.10264474177335835,3.5291659757746303,1.7598039372573309,
34,0.023526291798813048,8.360356334387324,4.191941313093069,0.1646840712996276,3.9213651347911576,1.957629251001082,
35,0.03383695148923665,7.681767138214559,3.857802044851898,0.255526433508273,3.6908540304177615,1.8282300394124673,
36,0.0330998914228859,8.35929153002688,4.196195710724884,0.1891395682474449,4.25395039992206,2.113998086780246,
37,0.19326322767930415,7.983864221161643,4.088563724420474,0.7342161921119259,4.134970069131016,2.0424880209704503,
38,0.31758261632062923,8.845300780987989,4.581441698654308,1.127826623941372,3.8503592168480893,1.8808430922880315,
39,0.3835931094591868,8.793758383934252,4.588675746696719,1.1693340437743116,4.2445731240094435,2.0028279510458877,
40,0.4811961465140939,9.499505944400099,4.9903510454571,1.372117123916579,4.265181030497368,2.125277785962874,
41,0.5404342745899026,9.507210805159943,5.023822539874924,1.337143659728584,3.7189388485684387,1.8125382444704714,
42,0.7063089262598926,10.281833996274948,5.494071461267419,1.3974601186141082,4.5049468105318216,2.1362876466025136,
43,1.2573842488634488,10.00991015492914,5.633647201896293,2.2463880856388516,4.091059518698416,2.153970856696824,
