Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1573,	832500.0,	1520,	0,	1451,	0,	0,	
3588,	1.60362E7,	29225,	0,	29427,	0,	0,	
5604,	1.9815E7,	36169,	0,	35326,	0,	0,	
7625,	2.0973E7,	38132,	0,	37510,	0,	0,	
9646,	2.14944E7,	39087,	0,	38728,	0,	0,	
11664,	2.26069E7,	41215,	0,	40378,	0,	0,	
13687,	2.36267E7,	42961,	0,	42282,	0,	0,	
15707,	2.56377E7,	46415,	0,	45759,	0,	0,	
17727,	2.56428E7,	46410,	0,	46265,	0,	0,	
19747,	2.57589E7,	46612,	0,	46646,	0,	0,	
21769,	2.59349E7,	46931,	0,	46805,	0,	0,	
23788,	2.63979E7,	47710,	0,	47580,	0,	0,	
25810,	2.64082E7,	47710,	0,	47580,	0,	0,	
27829,	2.63971E7,	47710,	0,	47580,	0,	0,	
29851,	2.63905E7,	47710,	0,	47580,	0,	0,	
31870,	2.63848E7,	47710,	0,	47580,	0,	0,	
33890,	2.62819E7,	47520,	0,	47333,	0,	0,	
35911,	2.60229E7,	47061,	0,	46842,	0,	0,	
37931,	2.60148E7,	47077,	0,	47076,	0,	0,	
39950,	2.25545E7,	40909,	0,	40649,	0,	0,	
41976,	2.02957E7,	36888,	0,	37333,	0,	0,	
43992,	2.10714E7,	38299,	0,	39576,	0,	0,	
46010,	2.21111E7,	40149,	0,	40710,	0,	0,	
48031,	2.24786E7,	40775,	0,	41574,	0,	0,	
50070,	2.2469E7,	40525,	0,	42184,	0,	0,	
52092,	2.25688E7,	40862,	0,	41213,	0,	0,	
54112,	2.25041E7,	40808,	0,	41579,	0,	0,	
56131,	2.23461E7,	40599,	0,	41457,	0,	0,	
58149,	2.33382E7,	42444,	0,	42412,	0,	0,	
60168,	2.36912E7,	43072,	0,	42865,	0,	0,	
62195,	1.98404E7,	36053,	0,	35309,	0,	0,	
64216,	2.09021E7,	37962,	0,	36399,	0,	0,	
66230,	2.16464E7,	39296,	0,	38314,	0,	0,	
68252,	1.62031E7,	29481,	0,	29070,	0,	0,	
70269,	1.79586E7,	32762,	0,	31460,	0,	0,	
72290,	1.93049E7,	35217,	0,	35097,	0,	0,	
74328,	2.04768E7,	37127,	0,	36382,	0,	0,	
76352,	2.2032E7,	39950,	0,	38082,	0,	0,	
78373,	2.24189E7,	40617,	0,	38885,	0,	0,	
80390,	2.30503E7,	41647,	0,	40145,	0,	0,	
82410,	2.32526E7,	41987,	0,	40459,	0,	0,	
84431,	2.34949E7,	42400,	0,	41111,	0,	0,	
86451,	2.37388E7,	42858,	0,	41608,	0,	0,	
88470,	2.3887E7,	43096,	0,	42328,	0,	0,	
90492,	2.42388E7,	43740,	0,	43095,	0,	0,	
92513,	2.46645E7,	44525,	0,	43945,	0,	0,	
94533,	2.47544E7,	44678,	0,	44275,	0,	0,	
96553,	2.48597E7,	44925,	0,	44569,	0,	0,	
98572,	2.61293E7,	47260,	0,	47194,	0,	0,	
102175,	1.85847E7,	33445,	0,	33402,	0,	0,	
104675,	0.0,	0,	0,	0,	0,	0,	
106686,	1.8539556997882105,	105,	36626,	7702,	28610,	29,	
108705,	1.8606042270998049,	0,	46508,	9787,	36164,	29,	
110725,	1.8596660872154733,	0,	46475,	9964,	36195,	29,	
112745,	1.8578207279049717,	0,	46547,	9960,	36600,	29,	
114765,	1.859330957128839,	0,	46542,	9960,	36759,	29,	
116786,	1.8613988979252982,	0,	46652,	9948,	36907,	29,	
118811,	1.8638660095526256,	0,	46829,	9976,	36871,	29,	
120830,	1.8639248679936722,	0,	46886,	10024,	36916,	29,	
122848,	1.8658246035579331,	0,	46812,	10184,	36906,	29,	
124870,	1.8646832515463578,	0,	46831,	10180,	36851,	29,	
126889,	1.8622199313403085,	0,	46930,	10180,	36895,	29,	
128908,	1.8622892296902305,	0,	46881,	10160,	36896,	29,	
130929,	1.860524127102323,	0,	46976,	10176,	36907,	29,	
132949,	1.859650593817707,	0,	46990,	10176,	36871,	29,	
134969,	1.8602732270318034,	0,	46999,	10180,	36887,	29,	
136990,	1.8617522271232567,	0,	46981,	10176,	36874,	29,	
139010,	1.8655129608073957,	0,	47053,	10176,	36824,	29,	
141031,	1.8626373171501587,	0,	47109,	10176,	36916,	29,	
143052,	1.8623897928129285,	0,	47126,	10184,	36890,	29,	
145071,	1.8606871544361643,	0,	47153,	10172,	36924,	29,	
147092,	1.8579829064635374,	0,	38411,	8735,	30144,	29,	
149108,	1.8882044625550514,	0,	39152,	9335,	30556,	29,	
151128,	1.9082802554077842,	0,	40395,	9466,	31652,	29,	
153147,	1.9191765026373357,	0,	39902,	9325,	31923,	29,	
155165,	1.9321604422670944,	0,	39520,	9211,	30706,	29,	
157184,	1.940464844078645,	0,	40531,	9190,	31045,	29,	
159206,	1.8961292942651227,	0,	33513,	7103,	26324,	29,	
161224,	1.9239147550914535,	0,	33213,	7312,	26520,	29,	
163247,	1.9460908679223163,	0,	35486,	8951,	29080,	29,	
165267,	1.9539592520970448,	0,	36555,	9192,	30345,	29,	
167289,	1.9684662757787175,	0,	37738,	9438,	30746,	29,	
169304,	1.982353803098716,	0,	38423,	9643,	30967,	29,	
171326,	1.9710684631315987,	0,	39646,	9756,	32009,	29,	
173346,	1.9705980455915209,	0,	39964,	9743,	32582,	29,	
175367,	1.968899214164833,	0,	40707,	9744,	33212,	29,	
177386,	1.9707137711880394,	0,	41078,	9741,	33430,	29,	
179407,	1.966377776776222,	0,	41491,	9748,	33834,	29,	
181429,	1.9751978459338033,	0,	41852,	9938,	34127,	29,	
