Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
143649,	2782,	128,	1721,	2010,	0,	
144654,	3169,	188,	1757,	2327,	0,	
145657,	3076,	171,	1790,	2135,	0,	
146662,	2946,	124,	1974,	1862,	0,	
147664,	2981,	119,	2011,	1882,	0,	
148671,	2613,	111,	1714,	1733,	0,	
149675,	2861,	146,	1745,	2082,	0,	
150678,	2652,	103,	1830,	1480,	0,	
151681,	2925,	101,	2089,	1952,	0,	
152686,	2990,	97,	2198,	2068,	0,	
153692,	3139,	101,	2250,	2141,	0,	
154696,	2894,	97,	2094,	2283,	0,	
155703,	3123,	105,	2180,	2502,	0,	
156704,	2981,	94,	2160,	2226,	0,	
157712,	3140,	117,	2154,	2622,	0,	
158718,	3517,	154,	2292,	2834,	0,	
159722,	2940,	92,	2095,	1892,	0,	
160725,	3099,	120,	2130,	2281,	0,	
161731,	3108,	124,	2056,	2373,	0,	
162740,	3323,	121,	2322,	2359,	0,	
163744,	2781,	73,	2102,	1799,	0,	
164749,	2976,	80,	2263,	1918,	0,	
165753,	2797,	81,	2101,	1862,	0,	
166759,	2808,	71,	2180,	1769,	0,	
167763,	2928,	109,	2028,	2079,	0,	
168767,	3113,	122,	2173,	2208,	0,	
169776,	2959,	103,	2124,	2147,	0,	
170780,	2957,	108,	2099,	2193,	0,	
171783,	3015,	108,	2123,	2193,	0,	
172790,	2810,	91,	2085,	1929,	0,	
173796,	2674,	66,	2049,	1820,	0,	
174799,	2736,	77,	2081,	1970,	0,	
175804,	2997,	102,	2155,	2047,	0,	
176808,	2906,	92,	2142,	1928,	0,	
177813,	2845,	98,	2025,	2032,	0,	
178817,	2775,	81,	2110,	1824,	0,	
179821,	2656,	73,	2054,	1823,	0,	
180826,	2695,	71,	2073,	1820,	0,	
181834,	2802,	68,	2161,	1738,	0,	
182839,	2796,	73,	2115,	1848,	0,	
183850,	2746,	77,	2075,	1844,	0,	
184855,	2930,	75,	2282,	1948,	0,	
185862,	2765,	76,	2153,	1788,	0,	
186867,	2685,	89,	2002,	1842,	0,	
187868,	2855,	94,	2147,	2052,	0,	
188872,	2818,	74,	2145,	1845,	0,	
189878,	2832,	91,	2102,	1853,	0,	
190884,	3069,	90,	2309,	1933,	0,	
191889,	2805,	85,	2100,	1752,	0,	
192894,	2946,	108,	2064,	2162,	0,	
193897,	3013,	95,	2221,	2083,	0,	
