Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
55177,	0.12028632263125455,	0.04811733064380568,	0.4816635849162324,	0.13964531854093126,	0.3373676248108926,	6,	
56177,	0.11817894055958492,	0.047274328732057086,	0.4825009289715253,	0.13907047797305294,	0.3379254345522357,	6,	
57178,	0.11605308682019677,	0.04642393772299708,	0.48324143150610877,	0.13846091469348037,	0.33850956860201104,	6,	
58178,	0.11402355628145375,	0.045612078237660836,	0.48407228883665965,	0.13788524611932174,	0.3390165850031205,	6,	
59179,	0.11206671538943412,	0.04482929630403007,	0.48480893714762996,	0.13733295051158906,	0.3395411359365212,	6,	
60179,	0.1101843891547868,	0.044076321968870694,	0.48551961300091107,	0.1367969922882476,	0.3400356716666881,	6,	
61179,	0.10833690797607934,	0.0433372864676642,	0.486210289924554,	0.13626958693951705,	0.34051626252176326,	6,	
62180,	0.10655300351164551,	0.04262368313293378,	0.4868902703842956,	0.13576294531511746,	0.3409894650634702,	6,	
63180,	0.10484481453444361,	0.04194036775658714,	0.48750946252838756,	0.13529584137139508,	0.34144465336621815,	6,	
64180,	0.10321781880687077,	0.04128953157116584,	0.488105970454245,	0.13483105549745772,	0.341867705215583,	6,	
65181,	0.10159605305190426,	0.040640787496598475,	0.4887187799481786,	0.13436897339122822,	0.3422936311685853,	6,	
66181,	0.10003145276842608,	0.04001491094206866,	0.48934683084235175,	0.1339305476276458,	0.34273033328285357,	6,	
67181,	0.09857764410106877,	0.03943335361443708,	0.48992641403299314,	0.13352236852678828,	0.3431333157308659,	6,	
68181,	0.09714899875551533,	0.03886186220160651,	0.49047403552438057,	0.13312591922163142,	0.34354564996040277,	6,	
69181,	0.09571633988385184,	0.03828876528485281,	0.49104366145374695,	0.1327232396642627,	0.34394123482661376,	6,	
70182,	0.09430253245184388,	0.037723209383030594,	0.4915877792176415,	0.1323222561444354,	0.3443190054690417,	6,	
71182,	0.09298522978299475,	0.03719625763416642,	0.49208428986009445,	0.13194655000649716,	0.34466366353359035,	6,	
72182,	0.0
