Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
252118,	44506,	0,	21618,	20046,	6942,	50,	
254126,	44577,	0,	21655,	20134,	6974,	50,	
256173,	45444,	0,	22083,	20508,	7118,	50,	
258184,	44529,	0,	21613,	20062,	6946,	50,	
260230,	45429,	0,	22087,	20551,	7117,	50,	
262239,	44667,	0,	21704,	20090,	6983,	50,	
264262,	44980,	0,	21856,	20309,	7021,	50,	
266300,	45483,	0,	22117,	20553,	7108,	50,	
268335,	45061,	0,	21902,	20278,	7041,	50,	
270349,	44681,	0,	21711,	20169,	6995,	50,	
272392,	45538,	0,	22137,	20536,	7109,	50,	
274404,	44527,	0,	21633,	20073,	6979,	50,	
276409,	44381,	0,	21575,	20048,	6933,	50,	
278414,	44555,	0,	21624,	20043,	6963,	50,	
280418,	44476,	0,	21654,	20158,	6960,	50,	
282424,	44689,	0,	21716,	20138,	6981,	50,	
284428,	44558,	0,	21654,	20103,	6970,	50,	
286433,	44708,	0,	21692,	20101,	6982,	50,	
288447,	44470,	0,	21657,	20119,	6954,	50,	
290460,	44532,	0,	21601,	20042,	6962,	50,	
292502,	45644,	0,	22180,	20595,	7134,	50,	
294514,	44497,	0,	21648,	20103,	6953,	50,	
296523,	44677,	0,	21694,	20109,	6990,	50,	
298528,	44493,	0,	21644,	20122,	6953,	50,	
