Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
142112,	3583,	0,	3438,	532,	1520,	
143127,	3884,	0,	3750,	592,	1656,	
144134,	3971,	0,	3833,	648,	1686,	
145144,	3920,	0,	3758,	652,	1659,	
146155,	3820,	0,	3677,	589,	1607,	
147164,	3763,	0,	3623,	609,	1589,	
148178,	3651,	0,	3522,	710,	1556,	
149187,	3795,	0,	3669,	589,	1641,	
150196,	3571,	0,	3427,	503,	1519,	
151204,	3755,	0,	3624,	398,	1619,	
152222,	3659,	0,	3522,	653,	1552,	
153231,	3706,	0,	3575,	618,	1581,	
154244,	3703,	0,	3562,	618,	1578,	
155255,	3561,	0,	3426,	638,	1530,	
156371,	4168,	0,	4021,	780,	1730,	
157379,	3910,	0,	3763,	686,	1624,	
158387,	3586,	0,	3456,	730,	1521,	
159416,	3637,	0,	3502,	698,	1551,	
160425,	4093,	0,	3946,	767,	1741,	
161434,	3942,	0,	3800,	602,	1670,	
162441,	3757,	0,	3625,	727,	1602,	
163450,	3819,	0,	3674,	762,	1601,	
164466,	3655,	0,	3542,	776,	1576,	
165480,	3640,	0,	3505,	849,	1559,	
166488,	3773,	0,	3637,	773,	1611,	
167500,	3866,	0,	3708,	605,	1623,	
168513,	3713,	0,	3566,	695,	1575,	
169614,	3859,	0,	3738,	653,	1656,	
170642,	3694,	0,	3550,	458,	1568,	
171671,	3873,	0,	3730,	578,	1630,	
172907,	4073,	0,	3929,	670,	1718,	
173922,	3753,	0,	3603,	708,	1589,	
174931,	3595,	0,	3468,	576,	1509,	
175941,	3985,	0,	3856,	484,	1700,	
176950,	3646,	0,	3515,	419,	1549,	
177957,	3674,	0,	3527,	454,	1540,	
178966,	3766,	0,	3639,	470,	1610,	
179972,	3830,	0,	3681,	687,	1642,	
180989,	3886,	0,	3753,	676,	1683,	
181997,	3689,	0,	3559,	670,	1545,	
183011,	3792,	0,	3662,	696,	1640,	
184025,	3737,	0,	3598,	684,	1566,	
185033,	3728,	0,	3602,	597,	1608,	
186042,	3750,	0,	3599,	628,	1591,	
187049,	3688,	0,	3567,	707,	1573,	
188063,	3632,	0,	3492,	645,	1537,	
189078,	3689,	0,	3559,	643,	1565,	
190092,	3790,	0,	3661,	561,	1612,	
191105,	3818,	0,	3673,	628,	1616,	
192111,	4077,	0,	3937,	613,	1699,	
193125,	3703,	0,	3587,	386,	1592,	
194137,	3761,	0,	3625,	514,	1613,	
195147,	3777,	0,	3632,	527,	1622,	
196191,	3619,	0,	3504,	621,	1582,	
197234,	3771,	0,	3638,	586,	1612,	
198245,	3946,	0,	3784,	576,	1666,	
199253,	3604,	0,	3493,	595,	1539,	
200267,	3631,	0,	3489,	448,	1576,	
201279,	3635,	0,	3498,	325,	1502,	
202288,	3734,	0,	3595,	499,	1600,	
203298,	3865,	0,	3707,	645,	1640,	
204311,	3661,	0,	3533,	677,	1557,	
205324,	3591,	0,	3466,	591,	1544,	
206361,	3878,	0,	3727,	632,	1647,	
207376,	3384,	0,	3273,	542,	1416,	
208389,	3504,	0,	3363,	680,	1500,	
209396,	3673,	0,	3551,	610,	1564,	
210405,	3850,	0,	3699,	530,	1624,	
211413,	3654,	0,	3529,	624,	1552,	
213006,	5168,	0,	5013,	649,	2194,	
214037,	3678,	0,	3531,	632,	1577,	
215056,	3845,	0,	3717,	488,	1611,	
216275,	4163,	0,	4003,	579,	1744,	
217286,	3630,	0,	3502,	552,	1556,	
218299,	3686,	0,	3563,	474,	1586,	
219306,	3973,	0,	3830,	525,	1664,	
220313,	3675,	0,	3553,	533,	1544,	
221327,	3893,	0,	3755,	546,	1623,	
222336,	3603,	0,	3469,	573,	1552,	
223344,	3713,	0,	3592,	566,	1587,	
224352,	3802,	0,	3662,	564,	1577,	
225359,	3813,	0,	3674,	507,	1626,	
226371,	3908,	0,	3771,	516,	1642,	
227407,	3825,	0,	3699,	523,	1628,	
228415,	3661,	0,	3506,	577,	1538,	
229427,	3458,	0,	3347,	497,	1476,	
230436,	4041,	0,	3896,	444,	1676,	
231444,	3784,	0,	3657,	494,	1617,	
232452,	3873,	0,	3715,	489,	1609,	
233459,	3918,	0,	3781,	474,	1646,	
234471,	3812,	0,	3655,	489,	1596,	
235478,	3814,	0,	3685,	495,	1607,	
236484,	3713,	0,	3581,	474,	1579,	
237493,	3846,	0,	3717,	447,	1623,	
238500,	3909,	0,	3786,	496,	1662,	
239512,	3823,	0,	3676,	498,	1627,	
240518,	3949,	0,	3807,	485,	1649,	
241527,	3879,	0,	3725,	503,	1652,	
242534,	3755,	0,	3616,	549,	1570,	
243547,	3669,	
