Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
145946,	1881,	291,	0,	1013,	0,	
146964,	2073,	323,	0,	988,	0,	
147965,	2180,	347,	0,	1153,	0,	
148967,	1296,	210,	0,	682,	0,	
149967,	1556,	248,	0,	734,	0,	
150967,	2247,	67,	845,	374,	1388,	
151967,	2712,	0,	1163,	314,	1920,	
152968,	2502,	0,	1095,	331,	1744,	
153968,	2921,	0,	1230,	380,	1971,	
154983,	2823,	0,	1246,	408,	2102,	
155999,	2890,	0,	1247,	387,	2014,	
156999,	1959,	291,	0,	926,	0,	
158000,	2311,	351,	0,	1166,	0,	
159000,	1656,	261,	0,	892,	0,	
160001,	2144,	335,	0,	1030,	0,	
161002,	2110,	327,	0,	974,	0,	
162002,	2035,	330,	0,	1092,	0,	
163003,	2377,	358,	0,	1034,	0,	
164004,	1796,	290,	0,	962,	0,	
165004,	2515,	382,	0,	1160,	0,	
166005,	2659,	424,	0,	1302,	0,	
167006,	2024,	317,	0,	858,	0,	
168007,	1939,	316,	0,	1033,	0,	
169007,	2141,	347,	0,	1126,	0,	
170007,	2309,	341,	0,	984,	0,	
171008,	2512,	414,	0,	1171,	0,	
172009,	1780,	271,	0,	937,	0,	
173009,	2058,	325,	0,	908,	0,	
174025,	1535,	254,	0,	793,	0,	
175026,	1918,	306,	0,	878,	0,	
176026,	2162,	326,	0,	1054,	0,	
177027,	2226,	361,	0,	975,	0,	
178027,	1903,	304,	0,	995,	0,	
179027,	1956,	285,	0,	882,	0,	
180028,	1705,	289,	0,	870,	0,	
181099,	2473,	391,	0,	1049,	0,	
182109,	2349,	359,	0,	1094,	0,	
183110,	1812,	290,	0,	946,	0,	
184110,	1387,	223,	0,	722,	0,	
185111,	1756,	270,	0,	827,	0,	
186111,	2181,	344,	0,	1082,	0,	
187112,	2034,	316,	0,	999,	0,	
188113,	1725,	272,	0,	951,	0,	
189114,	2177,	331,	0,	1039,	0,	
190114,	2251,	372,	0,	1061,	0,	
191115,	1785,	271,	0,	790,	0,	
192115,	1981,	302,	0,	878,	0,	
193116,	1887,	303,	0,	939,	0,	
194117,	2281,	348,	0,	1038,	0,	
195117,	2571,	398,	0,	1137,	0,	
196118,	2231,	364,	0,	1022,	0,	
197119,	1713,	273,	0,	791,	0,	
198121,	1966,	304,	0,	901,	0,	
199125,	1969,	312,	0,	838,	0,	
200138,	2063,	283,	0,	851,	0,	
201139,	2318,	86,	953,	455,	1609,	
202153,	2851,	0,	1250,	429,	2155,	
203154,	2920,	0,	1243,	405,	2016,	
204170,	2880,	0,	1223,	352,	2095,	
205170,	2603,	0,	1141,	305,	2014,	
206171,	2894,	0,	1204,	368,	2131,	
207171,	1831,	245,	0,	709,	0,	
208172,	2435,	393,	0,	1076,	0,	
209172,	2140,	348,	0,	1003,	0,	
210172,	2006,	306,	0,	917,	0,	
