Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
364,	143,	2,	0,	1,	0,	
1386,	2162,	292,	0,	299,	0,	
2399,	2701,	377,	0,	386,	0,	
3405,	2322,	347,	0,	393,	0,	
4420,	2299,	333,	0,	376,	0,	
5455,	3694,	512,	0,	590,	0,	
6463,	2988,	441,	0,	524,	0,	
7469,	1735,	259,	0,	293,	0,	
8478,	4163,	598,	0,	629,	0,	
9485,	2840,	423,	0,	428,	0,	
10493,	3779,	545,	0,	520,	0,	
11504,	5137,	735,	0,	755,	0,	
12512,	3303,	494,	0,	552,	0,	
13528,	4764,	691,	0,	828,	0,	
14543,	2222,	323,	0,	362,	0,	
15574,	2947,	419,	0,	449,	0,	
16583,	1820,	277,	0,	248,	0,	
17590,	1751,	248,	0,	229,	0,	
18598,	2432,	352,	0,	366,	0,	
19607,	3011,	438,	0,	496,	0,	
20615,	4369,	630,	0,	616,	0,	
21627,	4482,	657,	0,	621,	0,	
22636,	3345,	492,	0,	473,	0,	
23644,	5023,	720,	0,	700,	0,	
24650,	4940,	717,	0,	703,	0,	
25659,	4957,	734,	0,	707,	0,	
26664,	4834,	698,	0,	699,	0,	
27673,	4192,	606,	0,	602,	0,	
28678,	4437,	646,	0,	672,	0,	
29685,	4602,	682,	0,	746,	0,	
30692,	4480,	635,	0,	684,	0,	
31698,	3940,	574,	0,	589,	0,	
32706,	3451,	505,	0,	569,	0,	
33713,	3835,	561,	0,	604,	0,	
34721,	4086,	585,	0,	671,	0,	
35726,	3619,	528,	0,	597,	0,	
36734,	4489,	648,	0,	689,	0,	
37740,	2780,	407,	0,	434,	0,	
38747,	3991,	582,	0,	762,	0,	
39755,	4934,	721,	0,	896,	0,	
40762,	3445,	494,	0,	574,	0,	
41768,	3119,	448,	0,	497,	0,	
42776,	3120,	453,	0,	499,	0,	
43784,	2812,	417,	0,	450,	0,	
44802,	2439,	355,	0,	421,	0,	
45816,	2762,	392,	0,	444,	0,	
46834,	4054,	560,	0,	600,	0,	
47841,	4818,	716,	0,	744,	0,	
48849,	5050,	718,	0,	779,	0,	
49857,	4479,	656,	0,	717,	0,	
50863,	1895,	219,	472,	264,	195,	
51874,	4262,	7,	2903,	615,	1072,	
52883,	4242,	0,	2869,	787,	1105,	
53899,	4441,	0,	3040,	655,	1124,	
54907,	4153,	0,	2809,	596,	1065,	
55926,	4243,	0,	2876,	689,	1065,	
56993,	4643,	0,	3168,	682,	1176,	
58003,	4183,	0,	2849,	599,	1070,	
59012,	4352,	0,	2994,	661,	1104,	
60019,	4186,	0,	2841,	601,	1058,	
61026,	4391,	0,	3001,	722,	1119,	
62033,	4243,	0,	2884,	553,	1100,	
63041,	4173,	0,	2873,	518,	1081,	
64050,	4232,	0,	2877,	580,	1083,	
65057,	4292,	0,	2919,	592,	1113,	
66072,	4355,	0,	2960,	636,	1145,	
67081,	4253,	0,	2868,	693,	1128,	
68089,	4284,	0,	2867,	692,	1117,	
69097,	4279,	0,	2928,	527,	1060,	
70106,	4245,	0,	2889,	580,	1066,	
71112,	4150,	0,	2825,	647,	1065,	
72120,	4251,	0,	2885,	669,	1101,	
73127,	4205,	0,	2870,	530,	1045,	
74134,	4134,	0,	2821,	514,	1029,	
75141,	4336,	0,	2945,	636,	1141,	
76150,	4378,	0,	3008,	546,	1123,	
77157,	4206,	0,	2852,	518,	1057,	
78164,	4147,	0,	2824,	548,	1065,	
79172,	4205,	0,	2856,	561,	1089,	
80180,	4291,	0,	2947,	499,	1093,	
81186,	4149,	0,	2830,	626,	1042,	
82237,	4396,	0,	2994,	732,	1141,	
83245,	4264,	0,	2916,	612,	1083,	
84252,	4249,	0,	2886,	657,	1076,	
85260,	4355,	0,	3005,	635,	1108,	
86268,	4218,	0,	2855,	632,	1073,	
87277,	4264,	0,	2909,	661,	1073,	
88283,	4132,	0,	2787,	595,	1039,	
89291,	4270,	0,	2929,	603,	1084,	
90299,	4191,	0,	2870,	511,	1062,	
91309,	4181,	0,	2812,	633,	1062,	
92317,	4166,	0,	2809,	619,	1063,	
93325,	4407,	0,	2976,	692,	1122,	
94332,	4227,	0,	2847,	694,	1073,	
95340,	4251,	0,	2826,	671,	1057,	
96350,	4341,	0,	2981,	614,	1076,	
97358,	4301,	0,	2953,	615,	1108,	
98366,	4051,	0,	2766,	440,	1032,	
99375,	3992,	0,	2741,	386,	1000,	
100404,	3989,	0,	2767,	265,	989,	
101460,	4144,	0,	2819,	518,	1042,	
102469,	4023,	0,	2704,	606,	1018,	
103476,	4113,	0,	2811,	506,	1081,	
104483,	4282,	0,	2910,	575,	1091,	
105493,	4279,	0,	2879,	655,	1114,	
106510,	4345,	0,	2972,	649,	1097,	
107527,	4343,	0,	2923,	706,	1109,	
108534,	4412,	0,	3021,	639,	1114,	
109543,	4161,	0,	2883,	424,	1043,	
110551,	4094,	0,	2801,	424,	1021,	
111559,	4173,	0,	2856,	545,	1068,	
112576,	4107,	0,	2787,	535,	1031,	
113584,	4135,	0,	2811,	571,	1050,	
114597,	4317,	0,	2954,	509,	1074,	
115605,	4200,	0,	2882,	586,	1053,	
116615,	4154,	0,	2838,	584,	1041,	
117624,	4194,	0,	2876,	531,	1057,	
118630,	4022,	0,	2754,	437,	995,	
119639,	4155,	0,	2882,	445,	1019,	
120646,	4218,	0,	2864,	530,	1046,	
121655,	4288,	0,	2920,	555,	1112,	
122662,	4124,	0,	2802,	507,	1028,	
123670,	4185,	0,	2859,	457,	1051,	
124679,	4254,	0,	2913,	493,	1101,	
125686,	4247,	0,	2904,	500,	1049,	
126707,	4349,	0,	2922,	600,	1143,	
127720,	4061,	0,	2748,	533,	1054,	
128730,	4293,	0,	2934,	535,	1067,	
129738,	4184,	0,	2847,	511,	1056,	
130751,	4237,	0,	2915,	529,	1067,	
131769,	4326,	0,	2966,	538,	1062,	
132777,	4243,	0,	2904,	562,	1072,	
133786,	4167,	0,	2837,	497,	1037,	
134800,	4225,	0,	2902,	437,	1069,	
135806,	4275,	0,	2886,	524,	1068,	
136814,	4153,	0,	2826,	465,	1047,	
137822,	4077,	0,	2763,	442,	1024,	
138830,	4276,	0,	2905,	544,	1089,	
139839,	4280,	0,	2885,	710,	1088,	
140846,	4336,	0,	2915,	768,	1110,	
141856,	4286,	0,	2868,	752,	1091,	
142871,	4422,	0,	2961,	826,	1144,	
143912,	4209,	0,	2918,	597,	1039,	
144921,	4282,	0,	2889,	574,	1073,	
145934,	4236,	0,	2827,	543,	1065,	
146954,	4355,	0,	2967,	564,	1091,	
147967,	4448,	0,	3028,	783,	1132,	
148987,	4517,	0,	3069,	742,	1152,	
149999,	4327,	0,	2943,	552,	1069,	
151007,	3876,	0,	2716,	251,	979,	
