Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
185,	90,	0,	0,	0,	0,	
1200,	1959,	299,	0,	919,	0,	
2215,	2395,	364,	0,	1128,	0,	
3215,	2246,	355,	0,	1087,	0,	
4216,	2213,	359,	0,	1251,	0,	
5229,	1920,	321,	0,	963,	0,	
6236,	1858,	273,	0,	838,	0,	
7253,	2118,	342,	0,	990,	0,	
8269,	2346,	367,	0,	1066,	0,	
9269,	2202,	342,	0,	928,	0,	
10285,	2086,	330,	0,	959,	0,	
11300,	2264,	348,	0,	987,	0,	
12300,	2534,	408,	0,	1094,	0,	
13301,	1917,	302,	0,	754,	0,	
14302,	1679,	278,	0,	689,	0,	
15302,	2035,	319,	0,	950,	0,	
16303,	1542,	252,	0,	692,	0,	
17304,	1913,	295,	0,	937,	0,	
18304,	2364,	381,	0,	1179,	0,	
19305,	1699,	278,	0,	908,	0,	
20305,	1607,	247,	0,	811,	0,	
21306,	2254,	350,	0,	1059,	0,	
22307,	2279,	373,	0,	1238,	0,	
23308,	1946,	311,	0,	898,	0,	
24308,	1540,	240,	0,	807,	0,	
25309,	2249,	335,	0,	1173,	0,	
26310,	2322,	379,	0,	1219,	0,	
27310,	2302,	356,	0,	1042,	0,	
28325,	2149,	342,	0,	971,	0,	
29326,	2613,	415,	0,	1188,	0,	
30326,	2890,	430,	0,	1309,	0,	
31327,	2401,	400,	0,	1211,	0,	
32327,	2418,	388,	0,	1219,	0,	
33328,	1951,	315,	0,	1038,	0,	
34328,	2113,	313,	0,	1060,	0,	
35329,	2384,	381,	0,	1102,	0,	
36330,	2046,	328,	0,	989,	0,	
37331,	2009,	320,	0,	950,	0,	
38331,	2135,	350,	0,	1078,	0,	
39331,	1885,	304,	0,	1031,	0,	
40332,	1598,	251,	0,	889,	0,	
41336,	2362,	359,	0,	1045,	0,	
42354,	2415,	389,	0,	1330,	0,	
43373,	1551,	253,	0,	749,	0,	
44374,	1873,	289,	0,	934,	0,	
45381,	1878,	303,	0,	882,	0,	
46382,	2660,	402,	0,	1102,	0,	
47397,	3130,	488,	0,	1243,	0,	
48397,	2094,	329,	0,	878,	0,	
49413,	2323,	363,	0,	947,	0,	
50423,	1807,	185,	205,	737,	13,	
51426,	2770,	0,	1152,	1460,	93,	
52439,	2301,	0,	1151,	1093,	48,	
53440,	2064,	0,	1002,	1012,	40,	
54445,	2317,	0,	1113,	1119,	40,	
55462,	2109,	0,	1069,	1056,	43,	
56478,	2419,	0,	1173,	1167,	70,	
57483,	2281,	0,	1186,	1075,	48,	
58491,	2232,	0,	1067,	1172,	56,	
59494,	2727,	0,	1194,	1477,	42,	
60497,	3161,	0,	1315,	1509,	76,	
61514,	2564,	0,	1262,	1334,	78,	
62515,	2058,	0,	1118,	953,	72,	
63516,	2022,	0,	1176,	913,	46,	
64524,	1896,	0,	1100,	888,	55,	
65525,	1961,	0,	1133,	785,	29,	
66525,	2215,	0,	1117,	1074,	70,	
67526,	2253,	0,	1100,	1104,	74,	
68527,	1990,	0,	1126,	766,	35,	
69533,	2330,	0,	1145,	1016,	46,	
70546,	2102,	0,	1104,	967,	44,	
71551,	2333,	0,	1199,	971,	55,	
72558,	2296,	0,	1142,	1154,	51,	
73561,	2299,	0,	1200,	1047,	59,	
74567,	2541,	0,	1240,	1178,	82,	
75572,	2654,	0,	1240,	1413,	74,	
76576,	2506,	0,	1225,	963,	58,	
77582,	2376,	0,	1196,	1142,	61,	
78600,	2844,	0,	1204,	1182,	53,	
79617,	2464,	0,	1196,	980,	26,	
80617,	2030,	0,	1102,	881,	29,	
81617,	2032,	0,	1145,	811,	32,	
82617,	2153,	0,	1187,	963,	33,	
83618,	2107,	0,	1074,	813,	32,	
84619,	2629,	0,	1230,	1026,	58,	
85619,	2265,	0,	1084,	1049,	25,	
86620,	2124,	0,	1146,	950,	25,	
87620,	2511,	0,	1268,	1223,	58,	
88621,	1685,	0,	1041,	802,	33,	
89621,	2072,	0,	1026,	909,	36,	
90622,	1777,	0,	944,	839,	23,	
91622,	1613,	0,	895,	767,	21,	
92623,	1547,	0,	882,	705,	39,	
93623,	2001,	0,	997,	924,	36,	
94639,	2044,	0,	986,	937,	37,	
95639,	2268,	0,	1110,	1085,	42,	
96639,	2284,	0,	1060,	1029,	44,	
97640,	2900,	0,	1230,	1309,	62,	
98656,	2382,	0,	1062,	1209,	47,	
99657,	2164,	0,	1049,	1152,	64,	
100657,	1948,	0,	851,	1100,	72,	
101672,	2521,	0,	1111,	1231,	81,	
102676,	1860,	0,	1033,	880,	42,	
103688,	2253,	0,	1020,	1028,	43,	
104689,	2252,	0,	1145,	1020,	43,	
105693,	2263,	0,	1144,	1042,	42,	
106710,	2278,	0,	1059,	1222,	82,	
107719,	2236,	0,	1055,	997,	38,	
108753,	2200,	0,	1111,	1060,	48,	
109769,	2024,	0,	1072,	1094,	48,	
110784,	2216,	0,	1076,	1252,	59,	
111785,	2302,	0,	1132,	1208,	40,	
112785,	2222,	0,	1102,	1230,	56,	
113800,	1590,	0,	897,	756,	33,	
114801,	1814,	0,	878,	841,	36,	
