Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
450,	215,	35,	0,	37,	0,	0,	
2450,	114379,	20323,	0,	21019,	0,	0,	
4451,	125071,	22220,	0,	22943,	0,	0,	
6452,	128695,	22862,	0,	23657,	0,	0,	
8452,	129528,	23016,	0,	23754,	0,	0,	
10454,	118048,	20965,	0,	21686,	0,	0,	
12455,	97807,	17365,	0,	17929,	0,	0,	
14459,	123707,	21973,	0,	22717,	0,	0,	
16460,	121265,	21535,	0,	22251,	0,	0,	
18461,	125026,	22210,	0,	22964,	0,	0,	
20461,	99827,	17704,	0,	18271,	0,	0,	
22463,	0,	0,	0,	0,	0,	0,	
24509,	0,	0,	0,	0,	0,	0,	
26510,	0,	0,	0,	0,	0,	0,	
28511,	0,	0,	0,	0,	0,	0,	
30528,	0,	0,	0,	0,	0,	0,	
32531,	0,	0,	0,	0,	0,	0,	
34536,	0,	0,	0,	0,	0,	0,	
36546,	0,	0,	0,	0,	0,	0,	
38548,	0,	0,	0,	0,	0,	0,	
40549,	0,	0,	0,	0,	0,	0,	
42549,	0,	0,	0,	0,	0,	0,	
44605,	0,	0,	0,	0,	0,	0,	
46611,	0,	0,	0,	0,	0,	0,	
48624,	0,	0,	0,	0,	0,	0,	
50631,	0,	0,	0,	0,	0,	0,	
52656,	0,	0,	0,	0,	0,	0,	
54658,	0,	0,	0,	0,	0,	0,	
56659,	0,	0,	0,	0,	0,	0,	
58669,	0,	0,	0,	0,	0,	0,	
60680,	0,	0,	0,	0,	0,	0,	
62680,	0,	0,	0,	0,	0,	0,	
64681,	0,	0,	0,	0,	0,	0,	
66686,	0,	0,	0,	0,	0,	0,	
68687,	0,	0,	0,	0,	0,	0,	
70689,	0,	0,	0,	0,	0,	0,	
72691,	0,	0,	0,	0,	0,	0,	
74691,	0,	0,	0,	0,	0,	0,	
76697,	0,	0,	0,	0,	0,	0,	
78698,	0,	0,	0,	0,	0,	0,	
80699,	0,	0,	0,	0,	0,	0,	
82717,	0,	0,	0,	0,	0,	0,	
84717,	0,	0,	0,	0,	0,	0,	
86731,	0,	0,	0,	0,	0,	0,	
88731,	0,	0,	0,	0,	0,	0,	
90744,	0,	0,	0,	0,	0,	0,	
92745,	0,	0,	0,	0,	0,	0,	
94760,	0,	0,	0,	0,	0,	0,	
96781,	0,	0,	0,	0,	0,	0,	
98786,	0,	0,	0,	0,	0,	0,	
100799,	0,	0,	0,	0,	0,	0,	
102820,	0,	0,	0,	0,	0,	0,	
104834,	0,	0,	0,	0,	0,	0,	
106846,	0,	0,	0,	0,	0,	0,	
108849,	0,	0,	0,	0,	0,	0,	
110861,	0,	0,	0,	0,	0,	0,	
112873,	0,	0,	0,	0,	0,	0,	
114885,	0,	0,	0,	0,	0,	0,	
116898,	0,	0,	0,	0,	0,	0,	
118919,	0,	0,	0,	0,	0,	0,	
120927,	0,	0,	0,	0,	0,	0,	
122936,	13027,	0,	14255,	0,	14712,	69,	
124940,	15895,	0,	17387,	0,	18013,	69,	
126943,	15884,	0,	17405,	0,	17972,	69,	
128964,	15969,	0,	17477,	0,	18021,	69,	
130986,	16019,	0,	17536,	0,	18178,	69,	
133006,	16030,	0,	17560,	0,	18127,	69,	
135017,	15569,	0,	17021,	0,	17660,	69,	
137037,	15772,	0,	17291,	0,	17853,	69,	
139048,	15862,	0,	17331,	0,	17935,	69,	
141060,	15874,	0,	17385,	0,	17935,	69,	
143073,	15779,	0,	17285,	0,	17888,	69,	
145092,	15967,	0,	17488,	0,	18083,	69,	
147105,	15927,	0,	17439,	0,	17995,	69,	
149117,	15869,	0,	17374,	0,	17980,	69,	
151137,	16050,	0,	17548,	0,	18198,	69,	
153149,	15955,	0,	17497,	0,	18069,	69,	
155152,	16096,	0,	17604,	0,	18222,	69,	
157154,	15900,	0,	17425,	0,	17998,	69,	
159173,	15941,	0,	17444,	0,	18047,	69,	
161185,	15934,	0,	17440,	0,	18027,	69,	
163196,	15924,	0,	17447,	0,	18025,	69,	
165211,	16102,	0,	17631,	0,	18239,	69,	
167230,	15922,	0,	17421,	0,	18005,	69,	
169242,	15572,	0,	17083,	0,	17647,	69,	
171264,	15830,	0,	17350,	0,	17919,	69,	
173269,	16157,	0,	17668,	0,	18284,	69,	
175288,	15762,	0,	17260,	0,	17835,	69,	
177292,	16111,	0,	17636,	0,	18244,	69,	
179312,	15532,	0,	17003,	0,	17591,	69,	
181322,	16012,	0,	17536,	0,	18164,	69,	
183334,	15835,	0,	17367,	0,	17897,	69,	
185353,	15421,	0,	16875,	0,	17467,	69,	
187357,	16100,	0,	17633,	0,	18212,	69,	
189368,	15738,	0,	17216,	0,	17791,	69,	
191388,	15937,	0,	17453,	0,	18064,	69,	
193392,	16106,	0,	17640,	0,	18236,	69,	
195411,	15932,	0,	17456,	0,	18055,	69,	
197424,	16001,	0,	17529,	0,	18162,	69,	
199435,	16018,	0,	17522,	0,	18072,	69,	
201455,	15329,	0,	16783,	0,	17387,	69,	
203464,	15845,	0,	17355,	0,	17904,	69,	
205485,	15905,	0,	17402,	0,	17992,	69,	
207490,	15890,	0,	17367,	0,	17997,	69,	
209497,	15955,	0,	17487,	0,	18042,	69,	
211506,	19115,	0,	20915,	0,	21645,	69,	
213510,	19386,	0,	21210,	0,	21910,	69,	
215530,	18226,	0,	19979,	0,	20662,	69,	
217541,	15972,	0,	17481,	0,	18052,	69,	
219547,	15887,	0,	17395,	0,	17973,	69,	
221559,	18110,	0,	19840,	0,	20531,	69,	
223572,	19462,	0,	21317,	0,	22035,	69,	
225576,	19619,	0,	21480,	0,	22195,	69,	
227581,	19499,	0,	21353,	0,	22074,	69,	
229585,	19349,	0,	21173,	0,	21899,	69,	
231590,	19322,	0,	21167,	0,	21886,	69,	
233595,	19453,	0,	21295,	0,	22002,	69,	
235595,	18454,	0,	20201,	0,	20906,	69,	
237600,	19423,	0,	21280,	0,	21996,	69,	
239605,	19260,	0,	21091,	0,	21810,	69,	
241610,	19503,	0,	21348,	0,	22088,	69,	
243614,	19484,	0,	21327,	0,	22037,	69,	
245619,	19499,	0,	21352,	0,	22077,	69,	
247624,	19440,	0,	21264,	0,	21956,	69,	
249629,	19478,	0,	21338,	0,	22060,	69,	
251648,	18823,	0,	20610,	0,	21302,	69,	
253661,	15929,	0,	17466,	0,	18036,	69,	
255672,	15912,	0,	17400,	0,	18010,	69,	
257684,	15887,	0,	17422,	0,	17980,	69,	
259690,	19257,	0,	21059,	0,	21797,	69,	
261695,	19491,	0,	21330,	0,	22075,	69,	
263700,	19506,	0,	21360,	0,	22085,	69,	
265718,	16526,	0,	18126,	0,	18717,	69,	
267721,	17455,	0,	19112,	0,	19764,	69,	
269725,	19276,	0,	21105,	0,	21827,	69,	
271730,	19474,	0,	21332,	0,	22046,	69,	
273735,	19393,	0,	21230,	0,	21928,	69,	
275749,	18636,	0,	20416,	0,	21113,	69,	
277762,	15918,	0,	17403,	0,	18012,	69,	
279769,	19494,	0,	21361,	0,	22051,	69,	
281774,	19492,	0,	21343,	0,	22082,	69,	
283779,	19465,	0,	21294,	0,	22078,	69,	
285784,	19500,	0,	21346,	0,	22053,	69,	
287784,	19327,	0,	21173,	0,	21862,	69,	
289798,	16504,	0,	18077,	0,	18678,	69,	
291811,	15858,	0,	17352,	0,	17998,	69,	
293823,	15833,	0,	17334,	0,	17863,	69,	
295828,	16006,	0,	17532,	0,	18102,	69,	
297838,	18856,	0,	20644,	0,	21346,	69,	
299843,	19496,	0,	21348,	0,	22063,	69,	
301848,	19219,	0,	21029,	0,	21763,	69,	
303852,	19383,	0,	21221,	0,	21903,	69,	
305857,	19477,	0,	21337,	0,	22073,	69,	
307865,	17033,	0,	18631,	0,	19251,	69,	
309877,	15834,	0,	17340,	0,	17904,	69,	
311890,	15927,	0,	17432,	0,	18018,	69,	
313904,	15874,	0,	17380,	0,	17973,	69,	
315917,	15933,	0,	17438,	0,	18044,	69,	
317926,	17755,	0,	19451,	0,	20125,	69,	
319942,	16496,	0,	18066,	0,	18678,	69,	
321955,	15758,	0,	17247,	0,	17829,	69,	
323968,	15906,	0,	17418,	0,	18042,	69,	
325975,	17697,	0,	19375,	0,	19993,	69,	
327979,	19229,	0,	21043,	0,	21790,	69,	
329984,	19489,	0,	21343,	0,	22068,	69,	
331989,	19500,	0,	21351,	0,	22065,	69,	
333993,	19294,	0,	21148,	0,	21865,	69,	
335998,	19515,	0,	21357,	0,	22067,	69,	
338003,	19313,	0,	21130,	0,	21831,	69,	
340008,	19512,	0,	21375,	0,	22099,	69,	
342013,	19496,	0,	21345,	0,	22040,	69,	
344017,	19343,	0,	21185,	0,	21947,	69,	
346022,	18915,	0,	20707,	0,	21411,	69,	
348027,	19167,	0,	21003,	0,	21706,	69,	
350032,	19488,	0,	21329,	0,	22049,	69,	
352037,	19259,	0,	21099,	0,	21793,	69,	
354041,	19506,	0,	21351,	0,	22055,	69,	
356046,	19490,	0,	21346,	0,	22086,	69,	
358057,	18148,	0,	19895,	0,	20578,	69,	
360061,	19499,	0,	21335,	0,	22054,	69,	
362066,	19471,	0,	21339,	0,	22081,	69,	
364078,	19180,	0,	21013,	0,	21692,	69,	
366088,	15929,	0,	17440,	0,	18042,	69,	
368092,	18262,	0,	19990,	0,	20661,	69,	
370097,	19363,	0,	21219,	0,	21929,	69,	
372101,	19493,	0,	21324,	0,	22072,	69,	
374106,	19481,	0,	21330,	0,	22047,	69,	
376111,	19425,	0,	21270,	0,	21992,	69,	
378112,	19546,	0,	21390,	0,	22115,	69,	
380124,	19517,	0,	21369,	0,	22095,	69,	
382137,	19717,	0,	21597,	0,	22297,	69,	
384150,	19602,	0,	21454,	0,	22200,	69,	
386168,	19720,	0,	21591,	0,	22328,	69,	
388184,	19472,	0,	21322,	0,	22026,	69,	
390186,	19377,	0,	21213,	0,	21899,	69,	
392198,	19721,	0,	21597,	0,	22352,	69,	
394203,	19201,	0,	21010,	0,	21727,	69,	
396209,	19179,	0,	20999,	0,	21721,	69,	
398213,	19037,	0,	20881,	0,	21580,	69,	
400218,	19187,	0,	21044,	0,	21741,	69,	
