Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
468,	165,	30,	0,	41,	0,	0,	
2470,	122186,	21706,	0,	22451,	0,	0,	
4470,	126701,	22509,	0,	23262,	0,	0,	
6471,	129903,	23085,	0,	23877,	0,	0,	
8472,	129032,	22935,	0,	23692,	0,	0,	
10472,	102779,	18257,	0,	18858,	0,	0,	
12473,	128955,	22912,	0,	23671,	0,	0,	
14474,	125460,	22285,	0,	23063,	0,	0,	
16474,	128868,	22895,	0,	23648,	0,	0,	
18475,	129531,	23013,	0,	23779,	0,	0,	
20476,	80540,	14280,	0,	14784,	0,	0,	
22476,	0,	0,	0,	0,	0,	0,	
24477,	0,	0,	0,	0,	0,	0,	
26478,	0,	0,	0,	0,	0,	0,	
28478,	0,	0,	0,	0,	0,	0,	
30484,	0,	0,	0,	0,	0,	0,	
32487,	0,	0,	0,	0,	0,	0,	
34511,	0,	0,	0,	0,	0,	0,	
36512,	0,	0,	0,	0,	0,	0,	
38513,	0,	0,	0,	0,	0,	0,	
40514,	0,	0,	0,	0,	0,	0,	
42515,	0,	0,	0,	0,	0,	0,	
44515,	0,	0,	0,	0,	0,	0,	
46516,	0,	0,	0,	0,	0,	0,	
48518,	0,	0,	0,	0,	0,	0,	
50541,	0,	0,	0,	0,	0,	0,	
52542,	0,	0,	0,	0,	0,	0,	
54561,	0,	0,	0,	0,	0,	0,	
56569,	0,	0,	0,	0,	0,	0,	
58579,	0,	0,	0,	0,	0,	0,	
60591,	0,	0,	0,	0,	0,	0,	
62611,	0,	0,	0,	0,	0,	0,	
64626,	0,	0,	0,	0,	0,	0,	
66643,	0,	0,	0,	0,	0,	0,	
68646,	0,	0,	0,	0,	0,	0,	
70648,	0,	0,	0,	0,	0,	0,	
72667,	16088,	0,	14736,	0,	15141,	59,	
74668,	21456,	0,	19635,	0,	20286,	59,	
76679,	20609,	0,	18842,	0,	19525,	59,	
78682,	20707,	0,	18952,	0,	19589,	59,	
80684,	23498,	0,	21524,	0,	22212,	59,	
82684,	24795,	0,	22682,	0,	23442,	59,	
84702,	24620,	0,	22520,	0,	23291,	59,	
86703,	19263,	0,	17624,	0,	18214,	59,	
88703,	21396,	0,	19609,	0,	20308,	59,	
90704,	22149,	0,	20277,	0,	20934,	59,	
92704,	20079,	0,	18357,	0,	18989,	59,	
94705,	22393,	0,	20503,	0,	21137,	59,	
96725,	22940,	0,	20976,	0,	21720,	59,	
98726,	22746,	0,	20818,	0,	21512,	59,	
100728,	23126,	0,	21161,	0,	21853,	59,	
