Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
350,	223,	37,	0,	58,	0,	0,	
2353,	111379,	19786,	0,	20441,	0,	0,	
4369,	114482,	20338,	0,	21026,	0,	0,	
6381,	108380,	19247,	0,	19909,	0,	0,	
8387,	118686,	21081,	0,	21796,	0,	0,	
10402,	120004,	21322,	0,	22028,	0,	0,	
12403,	120029,	21328,	0,	22062,	0,	0,	
14406,	119616,	21250,	0,	21942,	0,	0,	
16412,	120167,	21350,	0,	22064,	0,	0,	
18427,	118782,	21104,	0,	21839,	0,	0,	
20443,	100766,	16732,	2010,	17297,	2070,	9,	
22454,	67113,	0,	20667,	0,	21392,	9,	
24469,	69466,	0,	21412,	0,	22115,	9,	
26490,	67903,	0,	20930,	0,	21626,	9,	
28492,	68879,	0,	21212,	0,	21968,	9,	
30506,	69496,	0,	21404,	0,	22105,	9,	
32520,	68373,	0,	21066,	0,	21776,	9,	
34536,	69391,	0,	21374,	0,	22068,	9,	
36549,	70204,	0,	21620,	0,	22365,	9,	
38562,	69036,	0,	21266,	0,	21987,	9,	
40583,	68869,	0,	21215,	0,	21905,	9,	
42598,	69802,	0,	21489,	0,	22240,	9,	
44605,	69398,	0,	21373,	0,	22077,	9,	
46610,	69302,	0,	21350,	0,	22071,	9,	
48625,	69230,	0,	21321,	0,	22070,	9,	
50640,	69560,	0,	21428,	0,	22121,	9,	
52646,	69178,	0,	21305,	0,	21989,	9,	
54654,	69098,	0,	21284,	0,	22010,	9,	
56661,	68925,	0,	21221,	0,	21961,	9,	
58662,	69269,	0,	21340,	0,	22025,	9,	
60663,	68787,	0,	21164,	0,	21939,	9,	
62667,	68314,	0,	21036,	0,	21763,	9,	
64669,	69134,	0,	21294,	0,	21990,	9,	
66684,	69799,	0,	21505,	0,	22239,	9,	
68693,	68685,	0,	21161,	0,	21859,	9,	
70718,	69664,	0,	21466,	0,	22165,	9,	
72732,	68587,	0,	21128,	0,	21909,	9,	
74747,	69731,	0,	21480,	0,	22154,	9,	
76752,	68714,	0,	21159,	0,	21875,	9,	
78767,	69071,	0,	21270,	0,	21983,	9,	
80782,	69305,	0,	21353,	0,	22065,	9,	
82788,	69334,	0,	21353,	0,	22080,	9,	
