Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
233149,	125183,	0,	30951,	28770,	9971,	30,	
235149,	110218,	0,	27317,	25372,	8779,	30,	
237150,	129369,	0,	32039,	29723,	10310,	30,	
239150,	129672,	0,	32087,	29860,	10323,	30,	
241150,	115627,	0,	29411,	26522,	9323,	30,	
243153,	129260,	0,	31994,	29700,	10296,	30,	
245153,	129915,	0,	32169,	29870,	10336,	30,	
247153,	127055,	0,	31470,	29184,	10131,	30,	
249154,	130156,	0,	32176,	29933,	10363,	30,	
251155,	115001,	0,	29304,	26476,	9276,	30,	
253156,	128638,	0,	31849,	29563,	10256,	30,	
255156,	129629,	0,	32107,	29788,	10330,	30,	
257156,	130107,	0,	32256,	29926,	10362,	30,	
259157,	127136,	0,	31488,	29218,	10123,	30,	
261158,	115226,	0,	29290,	26458,	9308,	30,	
263159,	129443,	0,	32092,	29809,	10327,	30,	
265159,	129808,	0,	32109,	29800,	10326,	30,	
267160,	129869,	0,	32138,	29870,	10352,	30,	
269160,	128946,	0,	31937,	29629,	10259,	30,	
271161,	94857,	0,	24585,	21815,	7690,	30,	
273161,	129159,	0,	31988,	29687,	10295,	30,	
275161,	129702,	0,	32106,	29814,	10340,	30,	
277162,	129391,	0,	32068,	29732,	10315,	30,	
279166,	101077,	0,	25020,	23249,	8038,	30,	
281186,	94552,	0,	24481,	21529,	7651,	30,	
283186,	127936,	0,	31751,	29518,	10238,	30,	
285187,	129925,	0,	32129,	29845,	10328,	30,	
287187,	126288,	0,	31327,	29054,	10092,	30,	
289188,	129717,	0,	32099,	29804,	10319,	30,	
291188,	114514,	0,	29145,	26325,	9219,	30,	
293188,	128386,	0,	31753,	29530,	10232,	30,	
295189,	129129,	0,	31987,	29660,	10287,	30,	
297189,	129798,	0,	32112,	29795,	10325,	30,	
299190,	130017,	0,	32277,	29929,	10376,	30,	
301190,	116198,	0,	29468,	26636,	9311,	30,	
303190,	129667,	0,	32111,	29821,	10333,	30,	
305191,	130025,	0,	32165,	29912,	10350,	30,	
307191,	129962,	0,	32229,	29826,	10366,	30,	
309192,	129698,	0,	32111,	29859,	10331,	30,	
311192,	115439,	0,	29332,	26568,	9287,	30,	
313193,	129825,	0,	32126,	29867,	10337,	30,	
315193,	129850,	0,	32123,	29801,	10341,	30,	
317193,	129591,	0,	32089,	29784,	10331,	30,	
319194,	129750,	0,	32174,	29847,	10338,	30,	
321194,	114446,	0,	29175,	26330,	9225,	30,	
323194,	129536,	0,	32065,	29755,	10311,	30,	
325195,	128595,	0,	31826,	29511,	10242,	30,	
327196,	125396,	0,	31058,	28842,	9988,	30,	
329197,	108863,	0,	26924,	25038,	8672,	30,	
331198,	112307,	0,	28617,	25798,	9033,	30,	
333198,	130237,	0,	32201,	29911,	10367,	30,	
335199,	126321,	0,	31326,	29047,	10072,	30,	
337199,	128514,	0,	31818,	29494,	10228,	30,	
339199,	128748,	0,	31857,	29599,	10245,	30,	
341200,	114949,	0,	29250,	26424,	9274,	30,	
343201,	130034,	0,	32170,	29936,	10329,	30,	
345204,	128124,	0,	31675,	29389,	10218,	30,	
347205,	128784,	0,	31916,	29628,	10250,	30,	
349205,	129690,	0,	32110,	29768,	10348,	30,	
351205,	116887,	0,	29689,	26917,	9409,	30,	
353206,	129368,	0,	32063,	29708,	10299,	30,	
355207,	129748,	0,	32118,	29878,	10337,	30,	
357207,	130157,	0,	32196,	29863,	10366,	30,	
359208,	126218,	0,	31306,	29041,	10065,	30,	
361208,	114104,	0,	29066,	26252,	9196,	30,	
363208,	129643,	0,	32103,	29838,	10341,	30,	
365209,	130163,	0,	32177,	29895,	10360,	30,	
367214,	128238,	0,	31805,	29465,	10216,	30,	
369214,	128193,	0,	31689,	29470,	10210,	30,	
371214,	115121,	0,	29340,	26544,	9230,	30,	
373215,	129873,	0,	32121,	29887,	10340,	30,	
375215,	130079,	0,	32174,	29834,	10371,	30,	
377215,	129361,	0,	32071,	29735,	10302,	30,	
379217,	129974,	0,	32195,	29890,	10347,	30,	
