Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
670,	604,	21,	0,	35,	0,	
1671,	6086,	888,	0,	1128,	0,	
2671,	7070,	1111,	0,	1315,	0,	
3687,	7878,	1245,	0,	1432,	0,	
4687,	5195,	813,	0,	1052,	0,	
5702,	6020,	902,	0,	1141,	0,	
6702,	6227,	975,	0,	1113,	0,	
7702,	6708,	1058,	0,	1271,	0,	
8704,	7041,	1078,	0,	1263,	0,	
9719,	7832,	1180,	0,	1274,	0,	
10720,	5796,	829,	0,	939,	0,	
11721,	6538,	1105,	0,	1316,	0,	
12722,	7307,	1089,	0,	1187,	0,	
13844,	8009,	1256,	0,	1426,	0,	
14867,	13190,	2020,	0,	2509,	0,	
15868,	9399,	1434,	0,	1707,	0,	
16868,	7472,	1128,	0,	1208,	0,	
17869,	7601,	1225,	0,	1300,	0,	
18869,	4923,	709,	0,	956,	0,	
19870,	6999,	1141,	0,	1257,	0,	
20870,	8135,	1261,	0,	1483,	0,	
21870,	7897,	1195,	0,	1300,	0,	
22909,	7034,	1145,	0,	1367,	0,	
23909,	5621,	868,	0,	1105,	0,	
24925,	6573,	1043,	0,	1276,	0,	
25925,	7514,	1155,	0,	1479,	0,	
26941,	6743,	1060,	0,	1272,	0,	
27942,	6487,	1032,	0,	1378,	0,	
28957,	7712,	1168,	0,	1435,	0,	
29958,	6210,	1001,	0,	1160,	0,	
30962,	8859,	1305,	0,	1531,	0,	
31995,	9619,	1530,	0,	1839,	0,	
33008,	8180,	1240,	0,	1323,	0,	
34017,	6616,	1028,	0,	1201,	0,	
35030,	5044,	855,	0,	967,	0,	
36033,	6410,	993,	0,	1135,	0,	
37034,	6243,	947,	0,	1066,	0,	
38044,	6109,	959,	0,	1060,	0,	
39053,	3905,	664,	0,	694,	0,	
40072,	7115,	1097,	0,	1324,	0,	
41088,	7481,	1141,	0,	1607,	0,	
42088,	6302,	1005,	0,	1444,	0,	
43102,	4228,	634,	0,	845,	0,	
44109,	6109,	1042,	0,	1294,	0,	
45116,	4333,	682,	0,	918,	0,	
46124,	5300,	854,	0,	1069,	0,	
47124,	6122,	967,	0,	1223,	0,	
48139,	8494,	1295,	0,	1579,	0,	
49155,	7511,	1144,	0,	1452,	0,	
50177,	6279,	879,	0,	1096,	0,	
51183,	0,	0,	0,	0,	0,	
52192,	0,	0,	0,	0,	0,	
53201,	0,	0,	0,	0,	0,	
54209,	4959,	304,	2290,	608,	1738,	
