Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
669,	2146,	381,	0,	410,	0,	0,	
2672,	96884,	17212,	0,	17779,	0,	0,	
4687,	109097,	19379,	0,	20060,	0,	0,	
6697,	111112,	19739,	0,	20400,	0,	0,	
8701,	118890,	21107,	0,	21801,	0,	0,	
10723,	75229,	13357,	0,	13833,	0,	0,	
12740,	84709,	15048,	0,	15527,	0,	0,	
14743,	88007,	15630,	0,	16200,	0,	0,	
16748,	117858,	20934,	0,	21641,	0,	0,	
18753,	114455,	20330,	0,	21006,	0,	0,	
20767,	69333,	12292,	0,	12726,	0,	0,	
22774,	0,	0,	0,	0,	0,	0,	
24785,	0,	0,	0,	0,	0,	0,	
26793,	866,	0,	570,	0,	591,	39,	
28807,	34099,	0,	20819,	0,	21509,	39,	
30813,	29540,	0,	18064,	0,	18682,	39,	
32832,	24965,	0,	15243,	0,	15778,	39,	
34850,	30096,	0,	18387,	0,	19043,	39,	
36869,	29527,	0,	18026,	0,	18602,	39,	
38882,	28764,	0,	17547,	0,	18124,	39,	
40894,	28648,	0,	17480,	0,	18088,	39,	
42908,	29945,	0,	18289,	0,	18911,	39,	
44913,	34470,	0,	21070,	0,	21744,	39,	
46918,	34928,	0,	21301,	0,	22033,	39,	
48923,	34697,	0,	21188,	0,	21887,	39,	
50928,	35041,	0,	21391,	0,	22094,	39,	
52933,	34187,	0,	20848,	0,	21596,	39,	
54934,	34373,	0,	20968,	0,	21646,	39,	
56942,	25478,	0,	15577,	0,	16053,	39,	
58943,	27217,	0,	16617,	0,	17222,	39,	
60944,	35118,	0,	21452,	0,	22150,	39,	
62944,	34906,	0,	21298,	0,	22026,	39,	
64948,	32821,	0,	20053,	0,	20699,	39,	
66949,	29222,	0,	17847,	0,	18438,	39,	
68949,	30840,	0,	18822,	0,	19487,	39,	
70952,	29830,	0,	18210,	0,	18820,	39,	
72959,	32799,	0,	20004,	0,	20696,	39,	
74962,	33694,	0,	20558,	0,	21249,	39,	
76966,	33969,	0,	20738,	0,	21393,	39,	
78970,	34284,	0,	20927,	0,	21633,	39,	
80976,	33383,	0,	20385,	0,	21100,	39,	
82980,	34376,	0,	20978,	0,	21644,	39,	
84985,	34112,	0,	20826,	0,	21533,	39,	
86990,	34217,	0,	20913,	0,	21606,	39,	
88994,	34366,	0,	20958,	0,	21693,	39,	
91003,	34756,	0,	21228,	0,	21944,	39,	
93004,	36861,	0,	22497,	0,	23247,	39,	
95005,	35871,	0,	21912,	0,	22646,	39,	
97005,	37516,	0,	22893,	0,	23682,	39,	
99011,	35913,	0,	21904,	0,	22661,	39,	
101012,	34247,	0,	20922,	0,	21609,	39,	
103017,	34276,	0,	20927,	0,	21628,	39,	
105018,	35225,	0,	21517,	0,	22235,	39,	
107019,	36920,	0,	22537,	0,	23304,	39,	
109029,	36238,	0,	22121,	0,	22880,	39,	
111033,	33858,	0,	20657,	0,	21374,	39,	
113049,	34778,	0,	21240,	0,	21940,	39,	
115057,	27950,	0,	17056,	0,	17533,	39,	
117060,	31970,	0,	19527,	0,	20230,	39,	
119070,	29590,	0,	18053,	0,	18670,	39,	
121090,	27812,	0,	16975,	0,	17577,	39,	
123114,	28674,	0,	17498,	0,	18067,	39,	
125130,	26836,	0,	16382,	0,	16969,	39,	
127140,	27227,	0,	16622,	0,	17175,	39,	
129160,	27053,	0,	16524,	0,	17117,	39,	
131167,	27057,	0,	16520,	0,	16962,	39,	
133177,	27655,	0,	16884,	0,	17468,	39,	
135197,	29174,	0,	17801,	0,	18408,	39,	
137218,	28562,	0,	17442,	0,	18025,	39,	
139237,	29074,	0,	17756,	0,	18343,	39,	
141257,	28999,	0,	17714,	0,	18340,	39,	
143258,	32898,	0,	20093,	0,	20779,	39,	
145259,	36077,	0,	22028,	0,	22769,	39,	
147260,	37133,	0,	22671,	0,	23425,	39,	
149261,	37677,	0,	23000,	0,	23750,	39,	
151261,	37341,	0,	22795,	0,	23552,	39,	
