Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
156863,	732,	0,	692,	498,	0,	
157864,	722,	0,	693,	500,	0,	
158864,	754,	0,	744,	334,	0,	
159865,	800,	0,	778,	607,	0,	
160865,	693,	0,	667,	434,	0,	
161866,	737,	0,	690,	479,	0,	
162871,	734,	0,	697,	531,	0,	
163883,	734,	0,	704,	460,	0,	
164883,	698,	0,	666,	526,	0,	
165905,	715,	0,	684,	600,	0,	
166921,	709,	0,	665,	446,	0,	
167923,	692,	0,	663,	390,	0,	
168923,	724,	0,	688,	472,	0,	
169938,	765,	0,	729,	412,	0,	
170954,	725,	0,	690,	519,	0,	
171969,	743,	0,	710,	523,	0,	
172984,	722,	0,	702,	436,	0,	
173986,	745,	0,	717,	380,	0,	
174986,	793,	0,	740,	484,	0,	
175987,	672,	0,	660,	438,	0,	
177005,	753,	0,	714,	609,	0,	
178024,	737,	0,	698,	558,	0,	
179024,	747,	0,	732,	433,	0,	
180040,	780,	0,	749,	509,	0,	
181040,	684,	0,	662,	462,	0,	
182041,	666,	0,	651,	522,	0,	
183042,	867,	0,	812,	626,	0,	
184042,	765,	0,	718,	495,	0,	
185042,	727,	0,	675,	466,	0,	
186057,	666,	0,	622,	534,	0,	
187072,	739,	0,	682,	589,	0,	
188073,	685,	0,	664,	321,	0,	
189089,	779,	0,	703,	715,	0,	
190110,	705,	0,	674,	534,	0,	
191126,	715,	0,	671,	599,	0,	
192127,	698,	0,	669,	535,	0,	
193127,	710,	0,	659,	481,	0,	
194127,	719,	0,	680,	456,	0,	
195128,	669,	0,	643,	479,	0,	
196128,	732,	0,	677,	518,	0,	
197129,	796,	0,	728,	577,	0,	
198129,	703,	0,	662,	453,	0,	
199130,	724,	0,	690,	491,	0,	
200130,	715,	0,	699,	421,	0,	
201132,	854,	0,	794,	617,	0,	
202132,	749,	0,	701,	523,	0,	
203133,	729,	0,	684,	457,	0,	
204134,	694,	0,	659,	457,	0,	
205135,	737,	0,	689,	549,	0,	
206136,	728,	0,	702,	500,	0,	
207136,	716,	0,	674,	615,	0,	
208136,	698,	0,	656,	496,	0,	
209137,	743,	0,	716,	456,	0,	
210137,	741,	0,	683,	618,	0,	
211138,	743,	0,	693,	512,	0,	
212139,	748,	0,	687,	481,	0,	
213140,	702,	0,	660,	549,	0,	
214142,	734,	0,	688,	595,	0,	
215156,	692,	0,	681,	402,	0,	
216157,	714,	0,	697,	460,	0,	
217158,	717,	0,	699,	297,	0,	
218159,	759,	0,	697,	598,	0,	
219174,	737,	0,	698,	568,	0,	
220174,	733,	0,	695,	660,	0,	
221175,	697,	0,	692,	413,	0,	
222176,	734,	0,	717,	534,	0,	
223176,	694,	0,	663,	442,	0,	
224176,	736,	0,	685,	506,	0,	
225177,	721,	0,	673,	622,	0,	
226178,	725,	0,	688,	469,	0,	
227178,	723,	0,	708,	400,	0,	
228179,	797,	0,	764,	476,	0,	
229179,	806,	0,	775,	556,	0,	
230180,	694,	0,	673,	395,	0,	
231180,	722,	0,	677,	582,	0,	
232195,	761,	0,	715,	703,	0,	
233196,	773,	0,	701,	637,	0,	
234198,	738,	0,	690,	495,	0,	
235213,	768,	0,	741,	554,	0,	
236214,	700,	0,	654,	499,	0,	
237214,	770,	0,	718,	477,	0,	
238215,	748,	0,	712,	485,	0,	
239215,	710,	0,	673,	617,	0,	
240216,	716,	0,	682,	376,	0,	
241216,	754,	0,	713,	561,	0,	
242217,	722,	0,	693,	572,	0,	
243218,	838,	0,	779,	770,	0,	
244218,	747,	0,	689,	581,	0,	
245219,	714,	0,	682,	425,	0,	
246239,	734,	0,	698,	390,	0,	
247256,	713,	0,	679,	458,	0,	
248257,	705,	0,	688,	448,	0,	
249263,	703,	0,	670,	396,	0,	
250273,	706,	0,	680,	401,	0,	
251276,	710,	0,	688,	420,	0,	
252279,	749,	0,	700,	488,	0,	
253289,	727,	0,	693,	564,	0,	
254290,	753,	0,	723,	482,	0,	
255293,	729,	0,	703,	402,	0,	
256307,	722,	0,	692,	435,	0,	
257308,	692,	0,	650,	483,	0,	
258310,	750,	0,	699,	507,	0,	
259311,	751,	0,	707,	578,	0,	
260324,	715,	0,	702,	421,	0,	
261325,	751,	0,	726,	500,	0,	
262327,	782,	0,	744,	612,	0,	
263346,	800,	0,	757,	627,	0,	
264364,	719,	0,	709,	399,	0,	
265367,	663,	0,	634,	493,	0,	
266383,	753,	0,	703,	468,	0,	
267386,	749,	0,	702,	599,	0,	
268389,	730,	0,	708,	404,	0,	
269392,	675,	0,	643,	451,	0,	
270395,	749,	0,	716,	460,	0,	
271400,	753,	0,	722,	542,	0,	
272403,	699,	0,	682,	481,	0,	
273418,	790,	0,	752,	690,	0,	
274420,	775,	0,	746,	508,	0,	
275433,	742,	0,	701,	575,	0,	
276434,	751,	0,	691,	598,	0,	
277437,	794,	0,	731,	657,	0,	
278454,	812,	0,	783,	667,	0,	
279456,	817,	0,	787,	521,	0,	
280464,	884,	0,	841,	635,	0,	
281469,	943,	0,	870,	552,	0,	
282474,	752,	0,	705,	517,	0,	
283475,	732,	0,	682,	543,	0,	
284478,	699,	0,	666,	477,	0,	
285482,	700,	0,	682,	503,	0,	
286488,	691,	0,	655,	517,	0,	
287489,	709,	0,	676,	545,	0,	
288493,	711,	0,	677,	439,	0,	
289508,	764,	0,	722,	493,	0,	
290522,	775,	0,	725,	438,	0,	
291537,	789,	0,	740,	579,	0,	
292557,	772,	0,	732,	406,	0,	
293578,	721,	0,	690,	486,	0,	
294578,	716,	0,	685,	461,	0,	
295579,	701,	0,	680,	426,	0,	
296580,	734,	0,	720,	481,	0,	
297580,	701,	0,	691,	425,	0,	
298580,	756,	0,	719,	671,	0,	
299584,	795,	0,	766,	529,	0,	
300601,	769,	0,	711,	524,	0,	
301622,	715,	0,	675,	573,	0,	
302623,	657,	0,	625,	466,	0,	
303624,	707,	0,	672,	464,	0,	
304624,	744,	0,	696,	622,	0,	
305624,	683,	0,	674,	416,	0,	
306625,	763,	0,	710,	601,	0,	
307625,	709,	0,	677,	441,	0,	
308641,	733,	0,	690,	644,	0,	
309656,	765,	0,	731,	550,	0,	
310656,	665,	0,	643,	446,	0,	
311657,	723,	0,	696,	459,	0,	
312657,	768,	0,	709,	553,	0,	
313658,	712,	0,	663,	433,	0,	
314673,	684,	0,	648,	501,	0,	
315674,	717,	0,	680,	535,	0,	
316674,	734,	0,	684,	543,	0,	
317675,	715,	0,	657,	544,	0,	
318690,	686,	0,	657,	354,	0,	
319691,	659,	0,	632,	355,	0,	
320691,	671,	0,	659,	541,	0,	
321692,	693,	0,	660,	440,	0,	
322693,	644,	0,	626,	315,	0,	
323694,	739,	0,	711,	456,	0,	
324694,	672,	0,	652,	493,	0,	
325695,	686,	0,	657,	438,	0,	
326695,	760,	0,	732,	465,	0,	
327696,	829,	0,	787,	434,	0,	
328697,	759,	0,	703,	566,	0,	
329697,	882,	0,	823,	616,	0,	
330717,	676,	0,	640,	529,	0,	
331734,	720,	0,	694,	476,	0,	
332735,	759,	0,	701,	605,	0,	
333735,	733,	0,	689,	508,	0,	
334736,	841,	0,	784,	661,	0,	
335736,	818,	0,	761,	630,	0,	
336737,	715,	0,	683,	350,	0,	
337737,	802,	0,	767,	594,	0,	
338737,	783,	0,	721,	554,	0,	
339738,	747,	0,	673,	521,	0,	
340739,	712,	0,	688,	370,	0,	
341739,	707,	0,	685,	417,	0,	
342739,	765,	0,	731,	613,	0,	
343740,	733,	0,	703,	560,	0,	
344756,	701,	0,	669,	511,	0,	
345756,	752,	0,	703,	555,	0,	
346757,	768,	0,	738,	418,	0,	
347757,	857,	0,	792,	607,	0,	
348757,	695,	0,	664,	534,	0,	
349758,	744,	0,	706,	500,	0,	
350758,	678,	0,	662,	307,	0,	
351759,	753,	0,	708,	549,	0,	
352759,	712,	0,	676,	385,	0,	
353760,	663,	0,	646,	556,	0,	
354760,	705,	0,	672,	506,	0,	
355760,	653,	0,	606,	430,	0,	
356776,	687,	0,	669,	470,	0,	
357776,	746,	0,	711,	445,	0,	
358777,	684,	0,	668,	447,	0,	
359777,	713,	0,	691,	397,	0,	
360778,	748,	0,	722,	572,	0,	
361778,	744,	0,	706,	541,	0,	
362779,	760,	0,	714,	484,	0,	
363780,	709,	0,	675,	426,	0,	
364781,	726,	0,	689,	448,	0,	
365781,	770,	0,	735,	442,	0,	
366781,	723,	0,	690,	490,	0,	
367782,	734,	0,	712,	475,	0,	
368783,	767,	0,	729,	531,	0,	
369783,	728,	0,	673,	637,	0,	
370784,	805,	0,	761,	555,	0,	
371784,	847,	0,	789,	713,	0,	
372785,	783,	0,	753,	546,	0,	
373786,	710,	0,	688,	592,	0,	
374788,	715,	0,	685,	452,	0,	
375788,	693,	0,	646,	502,	0,	
376789,	881,	0,	802,	562,	0,	
377790,	765,	0,	741,	460,	0,	
378806,	826,	0,	799,	536,	0,	
379807,	806,	0,	752,	512,	0,	
380807,	824,	0,	783,	628,	0,	
381808,	695,	0,	656,	441,	0,	
382811,	730,	0,	683,	559,	0,	
383825,	729,	0,	690,	594,	0,	
384847,	675,	0,	649,	467,	0,	
385863,	714,	0,	699,	535,	0,	
386864,	661,	0,	636,	431,	0,	
387864,	636,	0,	623,	378,	0,	
388866,	760,	0,	719,	489,	0,	
389867,	772,	0,	727,	608,	0,	
390882,	754,	0,	726,	534,	0,	
391884,	698,	0,	679,	453,	0,	
392884,	685,	0,	655,	466,	0,	
393885,	730,	0,	683,	576,	0,	
394885,	727,	0,	700,	476,	0,	
395886,	766,	0,	725,	404,	0,	
396886,	794,	0,	742,	635,	0,	
397887,	787,	0,	739,	651,	0,	
398887,	729,	0,	707,	426,	0,	
399888,	717,	0,	687,	577,	0,	
400888,	670,	0,	635,	493,	0,	
401888,	790,	0,	754,	538,	0,	
402889,	802,	0,	758,	620,	0,	
403889,	736,	0,	694,	508,	0,	
404904,	742,	0,	709,	555,	0,	
405920,	737,	0,	706,	561,	0,	
406920,	737,	0,	700,	429,	0,	
407922,	806,	0,	773,	528,	0,	
408922,	765,	0,	723,	550,	0,	
409937,	865,	0,	827,	587,	0,	
410938,	761,	0,	702,	506,	0,	
411938,	706,	0,	678,	534,	0,	
412938,	723,	0,	687,	496,	0,	
413939,	759,	0,	707,	642,	0,	
414939,	736,	0,	713,	530,	0,	
415940,	735,	0,	702,	519,	0,	
416940,	845,	0,	764,	708,	0,	
417941,	805,	0,	752,	570,	0,	
418941,	746,	0,	706,	666,	0,	
419942,	747,	0,	684,	467,	0,	
420943,	742,	0,	714,	481,	0,	
421943,	744,	0,	707,	572,	0,	
422944,	716,	0,	690,	392,	0,	
423944,	721,	0,	697,	552,	0,	
424944,	681,	0,	663,	599,	0,	
425945,	737,	0,	693,	539,	0,	
426946,	802,	0,	747,	588,	0,	
427946,	786,	0,	739,	584,	0,	
428946,	748,	0,	709,	385,	0,	
429947,	794,	0,	760,	551,	0,	
430947,	769,	0,	732,	517,	0,	
431948,	769,	0,	725,	471,	0,	
432949,	745,	0,	721,	466,	0,	
433949,	710,	0,	684,	537,	0,	
434950,	753,	0,	749,	389,	0,	
435954,	801,	0,	781,	477,	0,	
436969,	740,	0,	681,	574,	0,	
437990,	838,	0,	795,	510,	0,	
438990,	737,	0,	692,	527,	0,	
439991,	778,	0,	753,	465,	0,	
440992,	766,	0,	731,	485,	0,	
441992,	774,	0,	727,	597,	0,	
443008,	744,	0,	707,	501,	0,	
444010,	750,	0,	714,	487,	0,	
445024,	813,	0,	774,	482,	0,	
446025,	740,	0,	701,	578,	0,	
