Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1516,	1080,	16,	0,	74,	0,	0,	
3263,	175805,	31745,	0,	44218,	0,	0,	
4289,	267301,	16429,	0,	23184,	0,	0,	
5725,	322041,	8108,	8173,	21194,	2673,	50,	
6746,	335187,	0,	11080,	12446,	3418,	50,	
7815,	350907,	0,	13228,	14806,	4086,	50,	
8854,	367236,	0,	13701,	15745,	4368,	50,	
9889,	384366,	0,	14229,	16388,	4529,	50,	
10907,	401048,	0,	13717,	15799,	4224,	50,	
11941,	416628,	0,	13167,	14718,	4168,	50,	
12979,	431778,	0,	12696,	14729,	3881,	50,	
14054,	448603,	0,	13930,	15946,	4165,	50,	
15076,	463620,	0,	12630,	14169,	3843,	50,	
16100,	480887,	0,	13958,	16416,	4447,	50,	
17116,	497777,	0,	13887,	15532,	4353,	50,	
18133,	512873,	0,	12773,	14661,	3927,	50,	
19172,	529201,	0,	13584,	15557,	4225,	50,	
20253,	543715,	0,	12237,	13348,	3861,	50,	
21279,	560279,	0,	13826,	15704,	4281,	50,	
22315,	575730,	0,	13033,	14718,	4051,	50,	
23352,	591768,	0,	13270,	14914,	4077,	50,	
24372,	607162,	0,	12858,	14543,	3980,	50,	
25394,	619192,	0,	10446,	11164,	3151,	50,	
26460,	635730,	0,	13951,	15621,	4340,	50,	
27481,	650746,	0,	12612,	13958,	3894,	50,	
28623,	667908,	0,	14489,	16542,	4465,	50,	
29755,	690340,	0,	18722,	22247,	5781,	50,	
30778,	703737,	0,	11952,	12594,	3498,	50,	
31807,	719665,	0,	13305,	15336,	4052,	50,	
32856,	735016,	0,	12866,	14692,	3953,	50,	
33895,	749371,	0,	12064,	13272,	3713,	50,	
34950,	764524,	0,	12519,	14172,	3942,	50,	
35972,	779407,	0,	12425,	13738,	3789,	50,	
37126,	800098,	0,	16991,	19272,	5235,	50,	
38153,	816369,	0,	13659,	15861,	4209,	50,	
39256,	832167,	0,	13136,	14522,	4087,	50,	
40296,	842817,	0,	9452,	9658,	2864,	50,	
41307,	857517,	0,	12330,	13922,	3802,	50,	
42346,	872521,	0,	12562,	13957,	3823,	50,	
43378,	888015,	0,	12883,	14780,	3989,	50,	
44454,	903212,	0,	12832,	14334,	3894,	50,	
45477,	915424,	0,	10513,	11372,	3162,	50,	
46518,	932643,	0,	14288,	16648,	4410,	50,	
47565,	947353,	0,	12361,	13723,	3854,	50,	
48651,	963542,	0,	13501,	14969,	4190,	50,	
49681,	978395,	0,	12460,	13844,	3808,	50,	
50711,	990647,	0,	10602,	11290,	3212,	50,	
51743,	1006148,	0,	12965,	14908,	4139,	50,	
52764,	1021414,	0,	12801,	14657,	4025,	50,	
53856,	1037149,	0,	13278,	15186,	4108,	50,	
54884,	1052223,	0,	12663,	14353,	4149,	50,	
55904,	1067413,	0,	12783,	14022,	3887,	50,	
56918,	1085118,	0,	14796,	16636,	4548,	50,	
57941,	1101327,	0,	13728,	15342,	4241,	50,	
58974,	1116878,	0,	13239,	15071,	4048,	50,	
60050,	1132491,	0,	13021,	14426,	4065,	50,	
61079,	1146947,	0,	12291,	13539,	3780,	50,	
62113,	1162669,	0,	13186,	14833,	4200,	50,	
63144,	1178760,	0,	13423,	15036,	4163,	50,	
64160,	1195050,	0,	13426,	15070,	4061,	50,	
65266,	1209217,	0,	12024,	13123,	3733,	50,	
66289,	1225330,	0,	13401,	15134,	4141,	50,	
67307,	1241014,	0,	13064,	14679,	4132,	50,	
68400,	1258887,	0,	14785,	16803,	4872,	50,	
69541,	1285292,	0,	20983,	24402,	6870,	50,	
70562,	1302943,	0,	14790,	15917,	4568,	50,	
71674,	1320041,	0,	14368,	16544,	4538,	50,	
72686,	1335533,	0,	12973,	14773,	4026,	50,	
73710,	1352142,	0,	13680,	15527,	4299,	50,	
74738,	1367714,	0,	13076,	14904,	4058,	50,	
75775,	1379830,	0,	10655,	11140,	3150,	50,	
76835,	1396823,	0,	14322,	15421,	4336,	50,	
77853,	1412693,	0,	13334,	15231,	4041,	50,	
78883,	1429268,	0,	13718,	16259,	4155,	50,	
79910,	1444891,	0,	13256,	14384,	3985,	50,	
80943,	1457563,	0,	10929,	11479,	3321,	50,	
81977,	1472157,	0,	12364,	14147,	3776,	50,	
83095,	1488277,	0,	13625,	15276,	4143,	50,	
84109,	1503003,	0,	12206,	13456,	3852,	50,	
85128,	1517638,	0,	12176,	13311,	3660,	50,	
86149,	1532065,	0,	12218,	13364,	3720,	50,	
87180,	1547451,	0,	12823,	13910,	3942,	50,	
88251,	1562929,	0,	13035,	14485,	4056,	50,	
89278,	1578070,	0,	12711,	14126,	3927,	50,	
90309,	1589161,	0,	9725,	9871,	2916,	50,	
91345,	1610244,	0,	17424,	20315,	5512,	50,	
92363,	1626236,	0,	13355,	15226,	4221,	50,	
93378,	1641574,	0,	12988,	14532,	4018,	50,	
94451,	1657426,	0,	13228,	14915,	4204,	50,	
95480,	1670818,	0,	11420,	12498,	3476,	50,	
96492,	1688315,	0,	14464,	16998,	4580,	50,	
97517,	1703122,	0,	12292,	14418,	3863,	50,	
98539,	1717831,	0,	12356,	13888,	3817,	50,	
99569,	1732527,	0,	12393,	14000,	3841,	50,	
