Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
241556,	119124,	21167,	0,	21849,	0,	0,	
243561,	119374,	21219,	0,	21955,	0,	0,	
245567,	120339,	21384,	0,	22105,	0,	0,	
247581,	119311,	21192,	0,	21927,	0,	0,	
249595,	120301,	21388,	0,	22103,	0,	0,	
251610,	121192,	21532,	0,	22261,	0,	0,	
253615,	118696,	21090,	0,	21760,	0,	0,	
255615,	118063,	20985,	0,	21681,	0,	0,	
257624,	118510,	21058,	0,	21767,	0,	0,	
259633,	120915,	21493,	0,	22248,	0,	0,	
261647,	119365,	21202,	0,	21900,	0,	0,	
263652,	119995,	21326,	0,	22050,	0,	0,	
265656,	119429,	21228,	0,	21983,	0,	0,	
267657,	120060,	21335,	0,	22049,	0,	0,	
269665,	119093,	21157,	0,	21833,	0,	0,	
271680,	121132,	21530,	0,	22304,	0,	0,	
273695,	118614,	21072,	0,	21757,	0,	0,	
275696,	119365,	21215,	0,	21929,	0,	0,	
277711,	119541,	21240,	0,	22009,	0,	0,	
279711,	121056,	21514,	0,	22219,	0,	0,	
281726,	116494,	20698,	0,	21367,	0,	0,	
283739,	121203,	21538,	0,	22290,	0,	0,	
285755,	118864,	21122,	0,	21810,	0,	0,	
287761,	118498,	21058,	0,	21765,	0,	0,	
289775,	120085,	21339,	0,	22061,	0,	0,	
291789,	120686,	21447,	0,	22188,	0,	0,	
293794,	120200,	21360,	0,	22080,	0,	0,	
295799,	119262,	21194,	0,	21928,	0,	0,	
297813,	120708,	21447,	0,	22165,	0,	0,	
299813,	119035,	21156,	0,	21850,	0,	0,	
301818,	112895,	20063,	0,	20798,	0,	0,	
303822,	120059,	21338,	0,	22051,	0,	0,	
305826,	120238,	21370,	0,	22094,	0,	0,	
307831,	119812,	21286,	0,	22015,	0,	0,	
309836,	120338,	21384,	0,	22107,	0,	0,	
311841,	120195,	21359,	0,	22078,	0,	0,	
313845,	119713,	21269,	0,	21977,	0,	0,	
315850,	120088,	21339,	0,	22057,	0,	0,	
317853,	119586,	21249,	0,	21949,	0,	0,	
319858,	120330,	21386,	0,	22099,	0,	0,	
321862,	116999,	20791,	0,	21507,	0,	0,	
323868,	120344,	21385,	0,	22087,	0,	0,	
325872,	118362,	21042,	0,	21801,	0,	0,	
327877,	119391,	21217,	0,	21920,	0,	0,	
329878,	120749,	21457,	0,	22200,	0,	0,	
331880,	118428,	21044,	0,	21767,	0,	0,	
333885,	120205,	21361,	0,	22078,	0,	0,	
335899,	120894,	21484,	0,	22156,	0,	0,	
337904,	119620,	21253,	0,	21990,	0,	0,	
339917,	116401,	20683,	0,	21378,	0,	0,	
341921,	116132,	20636,	0,	21325,	0,	0,	
343926,	119930,	21317,	0,	22064,	0,	0,	
345927,	120302,	21378,	0,	22096,	0,	0,	
347929,	119523,	21241,	0,	21940,	0,	0,	
349929,	120380,	21391,	0,	22122,	0,	0,	
351944,	120378,	21386,	0,	22122,	0,	0,	
353951,	120011,	21328,	0,	22044,	0,	0,	
355958,	119852,	21294,	0,	22016,	0,	0,	
357961,	119543,	21243,	0,	21947,	0,	0,	
359981,	120987,	21492,	0,	22229,	0,	0,	
361986,	117836,	20941,	0,	21603,	0,	0,	
364002,	118924,	21134,	0,	21861,	0,	0,	
366002,	116397,	20682,	0,	21366,	0,	0,	
368016,	118560,	21067,	0,	21773,	0,	0,	
370030,	119845,	21297,	0,	22019,	0,	0,	
372045,	120181,	21360,	0,	22084,	0,	0,	
374046,	119981,	21321,	0,	22044,	0,	0,	
376054,	120201,	21356,	0,	22076,	0,	0,	
378054,	119556,	21248,	0,	21918,	0,	0,	
380068,	120334,	21388,	0,	22130,	0,	0,	
382083,	117736,	20916,	0,	21641,	0,	0,	
384084,	119658,	21262,	0,	21994,	0,	0,	
386088,	119557,	21246,	0,	21969,	0,	0,	
388109,	120033,	21331,	0,	22048,	0,	0,	
390122,	121191,	21532,	0,	22272,	0,	0,	
392123,	119282,	21198,	0,	21883,	0,	0,	
394129,	120288,	21377,	0,	22086,	0,	0,	
396131,	120254,	21370,	0,	22088,	0,	0,	
398131,	119181,	21175,	0,	21957,	0,	0,	
400146,	120226,	21366,	0,	22081,	0,	0,	
402152,	116404,	20692,	0,	21271,	0,	0,	
404157,	120209,	21364,	0,	22076,	0,	0,	
406163,	120540,	21423,	0,	22140,	0,	0,	
408165,	119560,	21245,	0,	21965,	0,	0,	
410165,	119760,	21280,	0,	21986,	0,	0,	
412166,	119895,	21303,	0,	22039,	0,	0,	
414180,	117516,	20885,	0,	21568,	0,	0,	
416188,	120524,	21412,	0,	22145,	0,	0,	
418202,	120291,	21375,	0,	22067,	0,	0,	
420206,	119058,	21134,	0,	21867,	0,	0,	
422219,	115488,	20542,	0,	21120,	0,	0,	
424220,	115051,	20431,	0,	21152,	0,	0,	
426222,	117808,	20937,	0,	21635,	0,	0,	
428238,	121493,	21593,	0,	22325,	0,	0,	
430238,	122601,	21785,	0,	22531,	0,	0,	
432247,	120740,	21451,	0,	22180,	0,	0,	
434263,	119753,	21278,	0,	22041,	0,	0,	
436284,	120297,	21374,	0,	22070,	0,	0,	
438290,	120476,	21406,	0,	22098,	0,	0,	
440294,	118116,	20988,	0,	21700,	0,	0,	
442301,	119807,	21291,	0,	22001,	0,	0,	
444304,	119721,	21271,	0,	21996,	0,	0,	
446311,	120201,	21367,	0,	22099,	0,	0,	
448317,	118947,	21141,	0,	21837,	0,	0,	
450322,	119481,	21232,	0,	21961,	0,	0,	
452326,	118982,	21146,	0,	21829,	0,	0,	
454328,	120764,	21454,	0,	22211,	0,	0,	
456346,	115717,	20560,	0,	21233,	0,	0,	
458346,	123365,	21917,	0,	22669,	0,	0,	
460350,	110839,	19684,	0,	20366,	0,	0,	
462350,	118721,	21101,	0,	21878,	0,	0,	
464351,	116461,	20699,	0,	21321,	0,	0,	
466360,	119110,	21160,	0,	21882,	0,	0,	
468365,	115735,	20572,	0,	21267,	0,	0,	
470366,	113637,	20187,	0,	20870,	0,	0,	
