Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
132218,	19181,	1038,	10134,	36185,	0,	
133220,	19126,	1049,	10035,	35743,	0,	
134220,	19166,	1047,	10064,	36579,	0,	
135221,	19329,	1100,	9927,	36152,	0,	
136221,	18875,	1044,	9862,	36256,	0,	
137223,	19253,	1080,	9910,	36114,	0,	
138224,	19313,	1070,	10082,	35937,	0,	
139224,	19168,	1076,	9933,	36199,	0,	
140226,	17791,	896,	9968,	31841,	0,	
141229,	13916,	212,	10770,	36218,	0,	
142227,	14273,	227,	10890,	36145,	0,	
143230,	14110,	219,	10815,	36206,	0,	
144230,	13955,	225,	10667,	36577,	0,	
145232,	14071,	230,	10730,	36173,	0,	
146232,	14100,	211,	10949,	36451,	0,	
147233,	13860,	206,	10769,	35932,	0,	
148234,	14057,	213,	10788,	36251,	0,	
149235,	14108,	214,	10833,	35967,	0,	
150236,	13520,	191,	10659,	31643,	0,	
151237,	13997,	205,	10848,	35972,	0,	
152239,	13987,	211,	10819,	36192,	0,	
153239,	13999,	217,	10740,	36134,	0,	
154239,	14198,	217,	10976,	36092,	0,	
155241,	14089,	216,	10829,	35904,	0,	
156241,	14091,	222,	10825,	35901,	0,	
157243,	14154,	223,	10901,	36090,	0,	
158243,	14219,	228,	10845,	36430,	0,	
159246,	14041,	230,	10703,	36161,	0,	
160246,	13489,	192,	10612,	31142,	0,	
161247,	14039,	205,	10856,	36323,	0,	
162248,	14076,	217,	10782,	35873,	0,	
163250,	13995,	214,	10816,	35945,	0,	
164249,	14141,	219,	10902,	36313,	0,	
165251,	14226,	233,	10755,	36150,	0,	
166252,	13825,	214,	10642,	36275,	0,	
167252,	13768,	211,	10569,	36187,	0,	
168254,	13950,	208,	10779,	36321,	0,	
169255,	14074,	197,	10943,	35946,	0,	
170256,	13314,	175,	10623,	31291,	0,	
171256,	14134,	215,	10932,	36045,	0,	
172257,	14057,	232,	10723,	36068,	0,	
173258,	13945,	205,	10820,	36142,	0,	
174259,	14024,	216,	10793,	35732,	0,	
175261,	14191,	217,	10932,	35904,	0,	
176262,	14116,	234,	10712,	36127,	0,	
177261,	14108,	212,	10887,	35913,	0,	
178266,	14208,	218,	10851,	36315,	0,	
179264,	13962,	221,	10773,	36393,	0,	
180264,	13631,	192,	10769,	31128,	0,	
181266,	14314,	226,	10985,	36260,	0,	
182267,	14045,	221,	10799,	35906,	0,	
183268,	14106,	216,	10904,	35870,	0,	
184269,	13971,	205,	10766,	36151,	0,	
185271,	14121,	200,	10936,	36326,	0,	
186274,	14293,	210,	11056,	36129,	0,	
187274,	13998,	224,	10753,	36136,	0,	
188274,	14268,	209,	11027,	36345,	0,	
189275,	14228,	222,	10870,	36268,	0,	
190276,	13336,	180,	10591,	31213,	0,	
191277,	14127,	217,	10823,	35825,	0,	
192279,	14130,	212,	10920,	35983,	0,	
193280,	14016,	213,	10791,	36205,	0,	
194282,	14012,	221,	10834,	36115,	0,	
195282,	14172,	229,	10915,	36276,	0,	
196284,	14115,	208,	10953,	36277,	0,	
197286,	14142,	216,	10908,	36407,	0,	
198286,	13906,	194,	10856,	36296,	0,	
199288,	13940,	204,	10799,	35675,	0,	
200289,	13618,	191,	10759,	31195,	0,	
201289,	14171,	211,	10881,	36591,	0,	
202290,	13977,	213,	10787,	35891,	0,	
203293,	14112,	225,	10813,	35892,	0,	
204292,	14023,	202,	10930,	36395,	0,	
205294,	14349,	220,	11022,	36489,	0,	
206294,	13735,	192,	10729,	36466,	0,	
207295,	14074,	215,	10847,	36007,	0,	
208296,	13737,	217,	10619,	36278,	0,	
209297,	13868,	210,	10652,	36203,	0,	
210298,	13313,	165,	10642,	31074,	0,	
211298,	12777,	0,	10989,	35581,	0,	
212300,	12721,	0,	10961,	35849,	0,	
213303,	12758,	0,	10997,	36117,	0,	
214302,	12674,	0,	10969,	36110,	0,	
215304,	12657,	0,	10964,	35760,	0,	
216305,	12874,	0,	11082,	36201,	0,	
217305,	12769,	0,	11022,	35914,	0,	
218307,	13103,	0,	11289,	36329,	0,	
219307,	12830,	0,	11108,	36616,	0,	
220308,	12436,	0,	10990,	31318,	0,	
221310,	13013,	0,	11229,	36337,	0,	
222311,	12439,	0,	10801,	35928,	0,	
223311,	12864,	0,	11056,	36673,	0,	
224312,	12756,	0,	11002,	36175,	0,	
225313,	12692,	0,	10964,	36019,	0,	
226315,	12852,	0,	11112,	36430,	0,	
227316,	12721,	0,	11029,	36237,	0,	
228317,	12766,	0,	11011,	36348,	0,	
229318,	12896,	0,	11105,	35757,	0,	
230319,	12368,	0,	10900,	30997,	0,	
231320,	12840,	0,	11152,	36071,	0,	
232320,	12857,	0,	11135,	35942,	0,	
233321,	12862,	0,	11046,	36247,	0,	
234322,	12794,	0,	11020,	36686,	0,	
235323,	12711,	0,	11015,	36191,	0,	
236324,	12699,	0,	10967,	36217,	0,	
237324,	12584,	0,	10930,	36170,	0,	
238327,	12818,	0,	11104,	35952,	0,	
239327,	12528,	0,	10820,	35720,	0,	
240329,	12538,	0,	10958,	31136,	0,	
241330,	12669,	0,	10923,	35734,	0,	
242330,	12612,	0,	10948,	36190,	0,	
243331,	12739,	0,	10997,	35803,	0,	
244332,	12737,	0,	11069,	36172,	0,	
245334,	12704,	0,	11030,	35948,	0,	
246334,	12715,	0,	11003,	36337,	0,	
247336,	12737,	0,	11035,	36137,	0,	
248335,	12674,	0,	10968,	36325,	0,	
249338,	12809,	0,	11075,	36852,	0,	
250338,	12406,	0,	10924,	31353,	0,	
251339,	12953,	0,	11175,	36061,	0,	
252340,	12869,	0,	11047,	36143,	0,	
253341,	12869,	0,	11157,	35903,	0,	
254342,	12805,	0,	11105,	36354,	0,	
255342,	12786,	0,	11074,	36423,	0,	
256345,	12740,	0,	10984,	35631,	0,	
257346,	12640,	0,	10914,	36446,	0,	
258346,	12624,	0,	10978,	35758,	0,	
259348,	12796,	0,	11064,	35847,	0,	
260348,	12284,	0,	10864,	31082,	0,	
261349,	12823,	0,	11067,	36589,	0,	
262350,	12798,	0,	11076,	36360,	0,	
263352,	12857,	0,	11107,	36176,	0,	
264352,	12860,	0,	11138,	36110,	0,	
265353,	12661,	0,	10971,	36639,	0,	
266354,	12622,	0,	10874,	35825,	0,	
267356,	12810,	0,	11109,	35939,	0,	
268357,	12769,	0,	10965,	35734,	0,	
269358,	12445,	0,	10761,	35123,	0,	
270358,	12356,	0,	10895,	30885,	0,	
271360,	12670,	0,	10964,	36257,	0,	
272360,	12684,	0,	10940,	36606,	0,	
273360,	12777,	0,	11035,	36817,	0,	
274363,	12645,	0,	10969,	36034,	0,	
275363,	12878,	0,	11130,	35869,	0,	
276364,	12887,	0,	11203,	36257,	0,	
277365,	12808,	0,	11022,	36583,	0,	
278367,	12850,	0,	11085,	35869,	0,	
279367,	12534,	0,	10762,	36294,	0,	
280368,	12392,	0,	10964,	30796,	0,	
281370,	12882,	0,	11113,	36115,	0,	
282370,	12745,	0,	11006,	36720,	0,	
283372,	12762,	0,	10986,	36364,	0,	
284373,	12634,	0,	10940,	36145,	0,	
285373,	12825,	0,	11109,	36481,	0,	
286374,	12806,	0,	11084,	36096,	0,	
287376,	12801,	0,	11043,	36331,	0,	
288377,	12677,	0,	10933,	35738,	0,	
289377,	12982,	0,	11201,	36294,	0,	
290378,	12279,	0,	10777,	31075,	0,	
291379,	12914,	0,	11174,	36001,	0,	
292380,	12796,	0,	11052,	36221,	0,	
293383,	12984,	0,	11203,	36218,	0,	
294382,	12717,	0,	10968,	36003,	0,	
295384,	12820,	0,	11034,	35732,	0,	
296384,	12731,	0,	10991,	36414,	0,	
297390,	12687,	0,	10954,	35601,	0,	
298386,	12684,	0,	10915,	35945,	0,	
299388,	12457,	0,	10751,	36189,	0,	
300389,	12134,	0,	10653,	30242,	0,	
301389,	12719,	0,	10952,	35739,	0,	
302391,	12655,	0,	10958,	35788,	0,	
303391,	12675,	0,	10958,	35799,	0,	
304394,	12577,	0,	10899,	35941,	0,	
305394,	12509,	0,	10820,	35521,	0,	
306394,	12726,	0,	10955,	35597,	0,	
307396,	12622,	0,	10986,	35797,	0,	
308397,	12500,	0,	10826,	35693,	0,	
309398,	12839,	0,	11099,	36103,	0,	
310400,	12099,	0,	10655,	30814,	0,	
311400,	12579,	0,	10845,	35508,	0,	
312402,	12455,	0,	10797,	36139,	0,	
313402,	12517,	0,	10839,	35586,	0,	
314403,	12573,	0,	10886,	35176,	0,	
315404,	12629,	0,	10898,	35922,	0,	
316406,	12690,	0,	10954,	35601,	0,	
317407,	12716,	0,	11042,	36054,	0,	
318408,	12526,	0,	10837,	35488,	0,	
319409,	12780,	0,	11016,	35807,	0,	
320409,	12761,	0,	11196,	31491,	0,	
321411,	12894,	0,	11178,	36048,	0,	
322412,	12535,	0,	10819,	35479,	0,	
323412,	12954,	0,	11196,	36360,	0,	
324413,	12766,	0,	11056,	36123,	0,	
325414,	12921,	0,	11153,	35950,	0,	
326415,	12675,	0,	11033,	36322,	0,	
327419,	12730,	0,	10977,	35946,	0,	
328418,	12563,	0,	10812,	35678,	0,	
329419,	12525,	0,	10833,	35206,	0,	
330421,	12241,	0,	10773,	30258,	0,	
331422,	12652,	0,	10970,	35842,	0,	
332423,	12293,	0,	10641,	35357,	0,	
333423,	12371,	0,	10689,	35060,	0,	
334426,	12502,	0,	10811,	35114,	0,	
335426,	12534,	0,	10861,	35274,	0,	
336426,	12383,	0,	10733,	34928,	0,	
337427,	12331,	0,	10591,	35070,	0,	
338428,	12582,	0,	10912,	34969,	0,	
339431,	12625,	0,	10937,	35284,	0,	
340430,	12073,	0,	10643,	29412,	0,	
341432,	12481,	0,	10771,	35521,	0,	
342433,	12494,	0,	10744,	34845,	0,	
343433,	12476,	0,	10742,	35399,	0,	
344434,	12553,	0,	10845,	35517,	0,	
345435,	12669,	0,	10941,	35994,	0,	
346437,	12661,	0,	10891,	35799,	0,	
347437,	12270,	0,	10570,	35328,	0,	
348440,	12258,	0,	10624,	34982,	0,	
349439,	12755,	0,	11001,	35539,	0,	
350439,	12131,	0,	10625,	30547,	0,	
351442,	12780,	0,	11115,	35931,	0,	
352443,	12357,	0,	10614,	34522,	0,	
353444,	12255,	0,	10641,	34664,	0,	
354445,	12704,	0,	11004,	35691,	0,	
355446,	12914,	0,	11124,	36171,	0,	
356447,	12810,	0,	11097,	36235,	0,	
357448,	12865,	0,	11136,	36674,	0,	
358449,	13009,	0,	11247,	36376,	0,	
359451,	13085,	0,	11251,	36910,	0,	
360452,	12391,	0,	10968,	30205,	0,	
361453,	12204,	0,	10631,	34683,	0,	
362454,	12380,	0,	10686,	34977,	0,	
363455,	12511,	0,	10841,	35131,	0,	
364456,	12436,	0,	10744,	35403,	0,	
365457,	12579,	0,	10848,	35221,	0,	
366458,	12830,	0,	11089,	35673,	0,	
367458,	12566,	0,	10904,	35760,	0,	
368460,	12147,	0,	10519,	34880,	0,	
369461,	12404,	0,	10690,	35185,	0,	
370461,	12242,	0,	10732,	30806,	0,	
371462,	12606,	0,	10966,	35818,	0,	
372463,	12472,	0,	10822,	35790,	0,	
373464,	12791,	0,	11011,	35593,	0,	
374466,	12725,	0,	10994,	36021,	0,	
375465,	12457,	0,	10738,	36098,	0,	
376469,	12660,	0,	10900,	36071,	0,	
377469,	12622,	0,	10894,	36146,	0,	
378470,	12631,	0,	10923,	36054,	0,	
379471,	12631,	0,	10861,	35652,	0,	
380472,	12316,	0,	10832,	31014,	0,	
381473,	12740,	0,	11072,	35951,	0,	
382474,	12633,	0,	10889,	36335,	0,	
383475,	12605,	0,	10957,	36250,	0,	
384478,	12844,	0,	11026,	36570,	0,	
385478,	12723,	0,	11035,	36189,	0,	
386479,	12754,	0,	11016,	35847,	0,	
387480,	12767,	0,	11026,	36120,	0,	
388480,	12608,	0,	10829,	35896,	0,	
389481,	12667,	0,	10951,	36387,	0,	
390483,	12412,	0,	10940,	31473,	0,	
391483,	12764,	0,	10981,	36043,	0,	
392485,	12857,	0,	11093,	36138,	0,	
393485,	12598,	0,	10938,	35941,	0,	
394487,	12549,	0,	10815,	35958,	0,	
395488,	12794,	0,	11050,	36277,	0,	
396489,	12637,	0,	10901,	36440,	0,	
397490,	12619,	0,	10909,	36110,	0,	
398492,	12753,	0,	11028,	35795,	0,	
399491,	12584,	0,	10851,	36322,	0,	
400494,	12250,	0,	10830,	30648,	0,	
401494,	12756,	0,	11072,	36410,	0,	
402495,	12796,	0,	11108,	35480,	0,	
403496,	12633,	0,	10929,	35972,	0,	
404497,	12876,	0,	11090,	36385,	0,	
405498,	12882,	0,	11150,	35974,	0,	
406499,	12856,	0,	11090,	36102,	0,	
407500,	12833,	0,	11099,	36153,	0,	
408501,	12768,	0,	10996,	35801,	0,	
409502,	12809,	0,	11039,	36246,	0,	
410504,	12191,	0,	10713,	30547,	0,	
411506,	12779,	0,	11025,	36104,	0,	
412506,	12869,	0,	11080,	36321,	0,	
413506,	12722,	0,	10991,	35872,	0,	
414507,	12583,	0,	10951,	35972,	0,	
415508,	12953,	0,	11101,	36431,	0,	
416509,	12638,	0,	10936,	36169,	0,	
417510,	12573,	0,	10839,	36010,	0,	
418511,	12970,	0,	11226,	36241,	0,	
419512,	12816,	0,	11032,	36231,	0,	
420512,	12241,	0,	10781,	30119,	0,	
421514,	12625,	0,	10957,	35891,	0,	
422515,	12564,	0,	10880,	35699,	0,	
423516,	12609,	0,	10911,	35565,	0,	
424519,	12619,	0,	10967,	35864,	0,	
425519,	12645,	0,	10935,	36217,	0,	
426520,	12559,	0,	10855,	35710,	0,	
427521,	12651,	0,	10925,	35829,	0,	
428524,	12763,	0,	11011,	36076,	0,	
429524,	12608,	0,	10838,	35750,	0,	
430525,	12043,	0,	10603,	30066,	0,	
431526,	12450,	0,	10719,	34932,	0,	
432527,	12533,	0,	10820,	35864,	0,	
433528,	12536,	0,	10824,	35879,	0,	
434528,	12641,	0,	10957,	35688,	0,	
435529,	12464,	0,	10732,	35030,	0,	
436532,	11906,	0,	10297,	33621,	0,	
437532,	12275,	0,	10583,	33953,	0,	
438535,	12287,	0,	10590,	34283,	0,	
439536,	12486,	0,	10778,	35151,	0,	
440537,	12009,	0,	10599,	30379,	0,	
