Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
230942,	1859,	180,	960,	720,	0,	10,	38,	
232950,	1860,	180,	960,	720,	0,	10,	38,	
234959,	1860,	180,	960,	719,	0,	10,	38,	
236967,	1859,	180,	960,	720,	0,	10,	38,	
238974,	1859,	180,	960,	721,	0,	10,	38,	
240988,	1859,	180,	959,	720,	0,	10,	40,	
243010,	1880,	183,	965,	726,	0,	10,	40,	
245016,	1859,	180,	960,	721,	0,	10,	40,	
247021,	1860,	180,	960,	720,	0,	10,	40,	
249028,	1860,	180,	959,	720,	0,	10,	40,	
251033,	1860,	180,	960,	719,	0,	10,	40,	
253041,	1859,	180,	960,	721,	0,	10,	40,	
255048,	1860,	180,	960,	719,	0,	10,	40,	
257056,	1858,	180,	960,	721,	0,	10,	40,	
259063,	1860,	180,	959,	720,	0,	10,	40,	
261072,	1859,	180,	960,	719,	0,	10,	40,	
263079,	1860,	180,	960,	720,	0,	10,	40,	
265086,	1860,	179,	960,	721,	0,	10,	40,	
267095,	1859,	181,	960,	720,	0,	10,	40,	
269102,	1859,	180,	960,	719,	0,	10,	40,	
271110,	1860,	180,	958,	720,	0,	10,	40,	
273117,	1859,	180,	960,	721,	0,	10,	40,	
275125,	1860,	179,	960,	720,	0,	10,	40,	
277133,	1860,	181,	959,	720,	0,	10,	40,	
279140,	1860,	180,	957,	720,	0,	10,	40,	
281149,	1858,	180,	959,	720,	0,	10,	42,	
283157,	1860,	180,	959,	720,	0,	10,	42,	
285165,	1860,	180,	960,	719,	0,	10,	42,	
287174,	1860,	180,	960,	721,	0,	10,	42,	
289182,	1860,	180,	958,	720,	0,	10,	42,	
291190,	1860,	180,	960,	720,	0,	10,	42,	
293198,	1860,	180,	960,	719,	0,	10,	42,	
295205,	1857,	180,	960,	721,	0,	10,	42,	
297211,	1860,	180,	959,	720,	0,	10,	42,	
299220,	1859,	180,	959,	720,	0,	10,	42,	
301228,	1860,	180,	960,	720,	0,	10,	42,	
303235,	1859,	180,	960,	720,	0,	10,	42,	
305241,	1859,	180,	960,	720,	0,	10,	42,	
307246,	1859,	179,	960,	720,	0,	10,	42,	
309252,	1859,	181,	959,	719,	0,	10,	42,	
311258,	1857,	180,	958,	721,	0,	10,	42,	
313266,	1860,	180,	958,	720,	0,	10,	42,	
315274,	1860,	180,	960,	720,	0,	10,	42,	
317281,	1860,	180,	960,	720,	0,	10,	42,	
