B, C1,C2,C, STD C1, STD C2, STD C, 
0,4600.318410166719,0.0,2300.1592050833597,213.9839744730457,0.0,106.99198723652285,
5,2795.452101274928,272.8065940220167,1534.1293476484718,138.4456977713642,35.73776806586834,55.05122851604649,
10,2221.761703460066,265.9397555914843,1243.8507295257753,108.50189842687743,34.24995341235929,39.541001194670855,
15,1837.685828855913,266.32935351803116,1052.0075911869724,89.00385852287599,32.08431213129657,31.64177157293745,
20,1566.591031721691,259.96716577160436,913.2790987466476,86.23907289222544,38.4165436521054,28.067201445650902,
25,1375.6821915338455,256.9685924883823,816.3253920111139,86.82647472273928,38.98120560774026,28.814829453291125,
30,1222.8192487208717,252.3172441447322,737.5682464328015,80.2187389612185,37.25861421923534,28.35721364401211,
35,1113.7288475071505,234.51664676188244,674.1227471345165,64.78051154086825,38.79015574558055,25.137531103701562,
40,1005.5210860069703,227.7873125967239,616.6541993018469,63.78706831368671,32.66487700305995,25.631865796696257,
45,891.6307945155453,223.494530646916,557.5626625812306,67.38110475108525,39.774294512905975,26.303829804896992,
50,807.9490024502765,216.93687640904048,512.4429394296588,59.36427975585488,38.87278956707338,25.151413273670585,
