W, C1,C2,C, STD C1, STD C2, STD C, 
0.0,2377.7817258752552,36.02209445400074,36.02209445400074,299.83669093445366,71.49596064672578,71.49596064672578,
0.1,1188.5247868880301,396.929161127298,476.0887237033714,118.68983008075979,42.04816727947189,34.0199458643289,
0.2,1087.3300528473562,407.62714644942554,543.5677277290113,95.96444962034488,45.25101724129669,31.563347218363216,
0.30000000000000004,1042.9489521092564,425.772234617494,610.9252498650226,88.74059094638429,37.078651170701704,25.56626925686166,
0.4,1031.01163622279,438.8251789325432,675.6997618486421,99.70214282460313,44.88417255443783,31.96339133736552,
0.5,1010.3087607339185,458.77291761265644,734.5408391732876,101.13998867427505,49.18761786549664,45.026472676587986,
0.6,983.371079177942,472.28249007284154,778.9356435359024,88.42765357763534,46.16933028451478,47.60726506267955,
0.7,975.2983274161443,481.11299886119303,827.0427288496592,98.85044029639184,53.85556538807964,62.73830234409547,
0.7999999999999999,967.9339812363756,497.5150723264762,873.8501994543954,101.58951505086988,48.87364554973598,76.25999327330628,
0.8999999999999999,986.119401826509,498.05700243613234,937.3131618874711,106.86461553468052,48.76606514387568,93.7362821234751,
0.9999999999999999,968.3546639358981,515.5851059498001,968.3546639358981,94.60421568933114,42.85162268547005,94.60421568933108,
