B, C1,C2,C, STD C1, STD C2, STD C, 
0,3032.797527350484,0.0,1516.398763675242,230.1872326089741,0.0,115.09361630448706,
5,1864.3277358907715,538.855947330159,1201.5918416104646,170.81366222081496,45.354371472879045,64.59636959984446,
10,1438.5490338597895,527.5417826927144,983.0454082762517,125.42353908610751,42.67264683363258,45.379974692622476,
15,1180.7517648885032,484.88607991670983,832.8189224026064,106.95485743401042,49.52131168787954,41.82895419461557,
20,1017.2316681652463,460.0047660266335,738.6182170959397,101.62051389106637,47.03816769956653,44.197369508001216,
25,860.2451685613391,424.009125315827,642.1271469385832,100.84490262679873,47.01748677962524,48.78993757696626,
30,734.4658984758483,389.30257621221836,561.8842373440334,76.47131455176883,49.4348809917862,42.508247224305876,
35,652.6472882347475,377.46305765355106,515.0551729441495,84.57780604687166,58.87852051889247,48.36576668318938,
40,548.1401148355741,342.86813643811706,445.5041256368456,83.83318479315116,56.32066520004057,50.743291723677,
45,468.46399227911905,323.14642633447465,395.80520930679705,76.7456426136599,62.57817370853564,49.50973724692572,
50,385.8778151797728,310.1505366545368,348.0141759171548,69.2420256142313,75.34365392358939,52.20571190543963,
