Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
226935,	1980,	240,	1020,	600,	0,	10,	35,	
228939,	1980,	240,	1019,	599,	0,	10,	35,	
230953,	2001,	242,	1034,	608,	0,	10,	35,	
232956,	1980,	240,	1019,	600,	0,	10,	35,	
234964,	1980,	240,	1020,	599,	0,	10,	35,	
236965,	1980,	240,	1020,	601,	0,	10,	35,	
238971,	1979,	240,	1020,	600,	0,	10,	35,	
240977,	1901,	214,	1046,	599,	0,	10,	38,	
242983,	1800,	180,	1080,	601,	0,	10,	38,	
244991,	1800,	180,	1079,	599,	0,	10,	38,	
247012,	1812,	182,	1082,	604,	0,	10,	38,	
249012,	1800,	180,	1079,	600,	0,	10,	38,	
251021,	1800,	179,	1080,	600,	0,	10,	38,	
253024,	1799,	181,	1080,	600,	0,	10,	38,	
255026,	1800,	179,	1079,	600,	0,	10,	38,	
257033,	1800,	181,	1079,	600,	0,	10,	38,	
259036,	1800,	180,	1080,	600,	0,	10,	38,	
261038,	1800,	180,	1080,	600,	0,	10,	40,	
263045,	1800,	179,	1079,	600,	0,	10,	40,	
265053,	1800,	181,	1080,	599,	0,	10,	40,	
267061,	1799,	180,	1079,	600,	0,	10,	40,	
269076,	1817,	181,	1096,	608,	0,	10,	40,	
271091,	1811,	182,	1082,	603,	0,	10,	40,	
273098,	1800,	180,	1080,	600,	0,	10,	40,	
275104,	1800,	180,	1078,	599,	0,	10,	40,	
277108,	1800,	180,	1080,	600,	0,	10,	40,	
279116,	1787,	178,	1077,	597,	0,	10,	40,	
281123,	1968,	120,	1139,	601,	0,	10,	43,	
283131,	2159,	59,	1200,	600,	0,	10,	43,	
285138,	2160,	61,	1200,	599,	0,	10,	43,	
287146,	2160,	60,	1200,	600,	0,	10,	43,	
289153,	2160,	60,	1200,	601,	0,	10,	43,	
291159,	2157,	60,	1200,	599,	0,	10,	43,	
293165,	2158,	60,	1200,	600,	0,	10,	43,	
295172,	2158,	60,	1199,	601,	0,	10,	43,	
297179,	2160,	60,	1200,	599,	0,	10,	43,	
299186,	2159,	60,	1200,	600,	0,	10,	43,	
301194,	2160,	60,	1200,	601,	0,	10,	43,	
303202,	2159,	60,	1200,	600,	0,	10,	43,	
305210,	2158,	60,	1200,	600,	0,	10,	43,	
307216,	2158,	60,	1199,	599,	0,	10,	43,	
309223,	2160,	60,	1200,	600,	0,	10,	43,	
311230,	2158,	60,	1200,	601,	0,	10,	43,	
313236,	2158,	60,	1200,	600,	0,	10,	43,	
315243,	2159,	60,	1200,	599,	0,	10,	43,	
317250,	2155,	60,	1200,	601,	0,	10,	43,	
319258,	2158,	60,	1200,	600,	0,	10,	43,	
321266,	2160,	60,	1200,	600,	0,	10,	43,	
323274,	2157,	60,	1200,	599,	0,	10,	43,	
325282,	2160,	60,	1200,	600,	0,	10,	43,	
327288,	2159,	59,	1200,	601,	0,	10,	43,	
329296,	2159,	61,	1200,	600,	0,	10,	43,	
331305,	2159,	60,	1200,	599,	0,	10,	43,	
333311,	2160,	59,	1200,	601,	0,	10,	43,	
335319,	2160,	61,	1199,	599,	0,	10,	43,	
337327,	2159,	60,	1200,	601,	0,	10,	43,	
339335,	2160,	60,	1200,	600,	0,	10,	43,	
341343,	2160,	60,	1200,	599,	0,	10,	45,	
343349,	2158,	60,	1200,	601,	0,	10,	45,	
345358,	2159,	60,	1200,	600,	0,	10,	45,	
347365,	2159,	60,	1199,	599,	0,	10,	45,	
349373,	2160,	60,	1198,	600,	0,	10,	45,	
351381,	2160,	60,	1200,	601,	0,	10,	45,	
353389,	2160,	60,	1200,	600,	0,	10,	45,	
355396,	2160,	60,	1199,	599,	0,	10,	45,	
357403,	2159,	60,	1198,	600,	0,	10,	45,	
359409,	2157,	60,	1200,	601,	0,	10,	45,	
361417,	2159,	60,	1199,	600,	0,	10,	46,	
363425,	2160,	60,	1200,	600,	0,	10,	46,	
365431,	2159,	60,	1200,	599,	0,	10,	46,	
367440,	2159,	60,	1198,	600,	0,	10,	46,	
369448,	2159,	59,	1200,	601,	0,	10,	46,	
371455,	2160,	61,	1200,	599,	0,	10,	46,	
373463,	2156,	60,	1200,	601,	0,	10,	46,	
375470,	2160,	60,	1200,	600,	0,	10,	46,	
377476,	2159,	60,	1200,	599,	0,	10,	46,	
379484,	2158,	60,	1200,	600,	0,	10,	46,	
381492,	2159,	60,	1200,	601,	0,	10,	46,	
383500,	2159,	60,	1200,	600,	0,	10,	46,	
385508,	2160,	60,	1199,	600,	0,	10,	46,	
387516,	2160,	60,	1200,	600,	0,	10,	46,	
389524,	2157,	60,	1199,	599,	0,	10,	46,	
391530,	2160,	60,	1199,	601,	0,	10,	46,	
393537,	2160,	60,	1199,	600,	0,	10,	46,	
395544,	2158,	60,	1198,	600,	0,	10,	46,	
397553,	2158,	60,	1200,	600,	0,	10,	46,	
399561,	2158,	60,	1200,	599,	0,	10,	46,	
401569,	2160,	60,	1199,	601,	0,	10,	46,	
403575,	2159,	60,	1200,	599,	0,	10,	46,	
405582,	2158,	60,	1200,	600,	0,	10,	46,	
407590,	2159,	60,	1199,	600,	0,	10,	46,	
409598,	2160,	60,	1200,	601,	0,	10,	46,	
411606,	2158,	60,	1200,	600,	0,	10,	46,	
413614,	2158,	60,	1200,	600,	0,	10,	46,	
415621,	2159,	60,	1200,	600,	0,	10,	46,	
417627,	2160,	60,	1199,	599,	0,	10,	46,	
419634,	2160,	60,	1200,	601,	0,	10,	46,	
421642,	2116,	17,	1243,	600,	0,	10,	47,	
423650,	2099,	0,	1260,	599,	0,	10,	47,	
425656,	2098,	0,	1260,	600,	0,	10,	47,	
427664,	2099,	0,	1259,	601,	0,	10,	47,	
429673,	2099,	0,	1260,	600,	0,	10,	47,	
431681,	2098,	0,	1260,	599,	0,	10,	47,	
433690,	2098,	0,	1260,	600,	0,	10,	47,	
435698,	2100,	0,	1259,	600,	0,	10,	47,	
437704,	2099,	0,	1260,	601,	0,	10,	47,	
439711,	2099,	0,	1260,	600,	0,	10,	47,	
441719,	2097,	0,	1260,	600,	0,	10,	47,	
443727,	2062,	0,	1239,	589,	0,	10,	47,	
445735,	2100,	0,	1260,	601,	0,	10,	47,	
447742,	2098,	0,	1259,	600,	0,	10,	47,	
449744,	2099,	0,	1260,	600,	0,	10,	47,	
451750,	2099,	0,	1260,	600,	0,	10,	47,	
453757,	2100,	0,	1260,	599,	0,	10,	47,	
455771,	2135,	0,	1281,	611,	0,	10,	47,	
457778,	2099,	0,	1258,	600,	0,	10,	47,	
459784,	2098,	0,	1260,	600,	0,	10,	47,	
461790,	2099,	0,	1260,	600,	0,	10,	47,	
463797,	2097,	0,	1259,	600,	0,	10,	47,	
465802,	2099,	0,	1259,	599,	0,	10,	47,	
467808,	2100,	0,	1259,	601,	0,	10,	47,	
469814,	2099,	0,	1258,	600,	0,	10,	47,	
471822,	2099,	0,	1260,	600,	0,	10,	47,	
473830,	2099,	0,	1259,	599,	0,	10,	47,	
475838,	2100,	0,	1259,	600,	0,	10,	47,	
477846,	2099,	0,	1260,	601,	0,	10,	47,	
479851,	2099,	0,	1257,	600,	0,	10,	47,	
481865,	2099,	0,	1258,	600,	0,	10,	47,	
483880,	2135,	0,	1280,	609,	0,	10,	47,	
485888,	2100,	0,	1260,	601,	0,	10,	47,	
487892,	2098,	0,	1259,	600,	0,	10,	47,	
489893,	2100,	0,	1260,	600,	0,	10,	47,	
491899,	2099,	0,	1259,	600,	0,	10,	47,	
493907,	2098,	0,	1260,	600,	0,	10,	47,	
495913,	2100,	0,	1260,	600,	0,	10,	47,	
497918,	2100,	0,	1260,	599,	0,	10,	47,	
499938,	2100,	0,	1260,	601,	0,	10,	47,	
501944,	2100,	0,	1260,	600,	0,	10,	47,	
503951,	2095,	0,	1259,	600,	0,	10,	47,	
505965,	2134,	0,	1281,	610,	0,	10,	47,	
507974,	2099,	0,	1259,	600,	0,	10,	47,	
509979,	2100,	0,	1259,	599,	0,	10,	47,	
511994,	2099,	0,	1259,	601,	0,	10,	47,	
514002,	2100,	0,	1260,	600,	0,	10,	47,	
516006,	2100,	0,	1260,	599,	0,	10,	47,	
518009,	2100,	0,	1260,	601,	0,	10,	47,	
520016,	2096,	0,	1258,	600,	0,	10,	47,	
522023,	2099,	0,	1259,	599,	0,	10,	47,	
524030,	2100,	0,	1259,	601,	0,	10,	47,	
526038,	2098,	0,	1260,	599,	0,	10,	47,	
528045,	2099,	0,	1259,	600,	0,	10,	47,	
530053,	2099,	0,	1260,	601,	0,	10,	47,	
532061,	2100,	0,	1259,	599,	0,	10,	47,	
534067,	2100,	0,	1260,	600,	0,	10,	47,	
536073,	2099,	0,	1259,	601,	0,	10,	47,	
538073,	2099,	0,	1260,	599,	0,	10,	47,	
540081,	2099,	0,	1260,	600,	0,	10,	47,	
542084,	2099,	0,	1260,	601,	0,	10,	47,	
544099,	2099,	0,	1260,	599,	0,	10,	47,	
546108,	2098,	0,	1260,	601,	0,	10,	47,	
548112,	2100,	0,	1260,	600,	0,	10,	47,	
550119,	2100,	0,	1260,	599,	0,	10,	47,	
552127,	2100,	0,	1259,	601,	0,	10,	47,	
554134,	2098,	0,	1259,	599,	0,	10,	47,	
556139,	2100,	0,	1259,	601,	0,	10,	47,	
558147,	2099,	0,	1260,	600,	0,	10,	47,	
560152,	2098,	0,	1260,	599,	0,	10,	47,	
562167,	2134,	0,	1281,	611,	0,	10,	47,	
564174,	2098,	0,	1259,	600,	0,	10,	47,	
566179,	2100,	0,	1260,	599,	0,	10,	47,	
568181,	2100,	0,	1260,	601,	0,	10,	47,	
570189,	2097,	0,	1260,	599,	0,	10,	47,	
572191,	2100,	0,	1260,	600,	0,	10,	47,	
574195,	2100,	0,	1259,	601,	0,	10,	47,	
576202,	2100,	0,	1260,	600,	0,	10,	47,	
578209,	2098,	0,	1259,	599,	0,	10,	47,	
580217,	2098,	0,	1258,	601,	0,	10,	47,	
582232,	2099,	0,	1260,	600,	0,	10,	47,	
584252,	2135,	0,	1281,	610,	0,	10,	47,	
586260,	2099,	0,	1260,	599,	0,	10,	47,	
588266,	2099,	0,	1260,	601,	0,	10,	47,	
590273,	2099,	0,	1259,	600,	0,	10,	47,	
592281,	2098,	0,	1260,	599,	0,	10,	47,	
594289,	2098,	0,	1260,	601,	0,	10,	47,	
596296,	2100,	0,	1260,	600,	0,	10,	47,	
598303,	2098,	0,	1260,	599,	0,	10,	47,	
600305,	2098,	0,	1259,	601,	0,	10,	47,	
602310,	2100,	0,	1258,	599,	0,	10,	47,	
604319,	2098,	0,	1260,	601,	0,	10,	47,	
606326,	2098,	0,	1257,	600,	0,	10,	47,	
608334,	2100,	0,	1260,	599,	0,	10,	47,	
610342,	2100,	0,	1259,	601,	0,	10,	47,	
612346,	2100,	0,	1259,	599,	0,	10,	47,	
614354,	2098,	0,	1259,	600,	0,	10,	47,	
616362,	2099,	0,	1260,	601,	0,	10,	47,	
618370,	2100,	0,	1259,	600,	0,	10,	47,	
620377,	2100,	0,	1260,	600,	0,	10,	47,	
622384,	2099,	0,	1260,	600,	0,	10,	47,	
624389,	2099,	0,	1260,	600,	0,	10,	47,	
626397,	2098,	0,	1260,	599,	0,	10,	47,	
628400,	2100,	0,	1258,	601,	0,	10,	47,	
630409,	2098,	0,	1259,	600,	0,	10,	47,	
632415,	2098,	0,	1260,	599,	0,	10,	47,	
634423,	2099,	0,	1260,	600,	0,	10,	47,	
636431,	2096,	0,	1260,	600,	0,	10,	47,	
638439,	2099,	0,	1259,	601,	0,	10,	47,	
640445,	2099,	0,	1259,	599,	0,	10,	47,	
642453,	2099,	0,	1260,	600,	0,	10,	47,	
644468,	2099,	0,	1258,	601,	0,	10,	47,	
646475,	2099,	0,	1260,	600,	0,	10,	47,	
648484,	2098,	0,	1259,	599,	0,	10,	47,	
650492,	2100,	0,	1260,	601,	0,	10,	47,	
652501,	2100,	0,	1259,	599,	0,	10,	47,	
654507,	2100,	0,	1260,	601,	0,	10,	47,	
656514,	2098,	0,	1260,	599,	0,	10,	47,	
658521,	2100,	0,	1258,	601,	0,	10,	47,	
660522,	2100,	0,	1260,	599,	0,	10,	47,	
