Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
6077,	1.93764E7,	34693,	0,	33579,	0,	0,	
8834,	1.95145E7,	36005,	0,	36057,	0,	0,	
11588,	2.15492E7,	39495,	0,	41987,	0,	0,	
14181,	1.77752E7,	32460,	0,	32626,	0,	0,	
16952,	1.80531E7,	32607,	0,	32585,	0,	0,	
19745,	1.72162E7,	31293,	0,	31513,	0,	0,	
22552,	1.9388E7,	35674,	0,	37857,	0,	0,	
25308,	2.15748E7,	39377,	0,	42684,	0,	0,	
28107,	1.80395E7,	32640,	0,	35070,	0,	0,	
30901,	1.86784E7,	34127,	0,	35425,	0,	0,	
33649,	1.947E7,	35095,	0,	34854,	0,	0,	
36612,	1.79453E7,	32600,	0,	33418,	0,	0,	
39541,	2.05019E7,	37670,	0,	37580,	0,	0,	
42916,	1.84443E7,	33939,	0,	34159,	0,	0,	
45931,	2.31971E7,	43457,	0,	37869,	0,	0,	
48839,	2.26308E7,	41292,	0,	42943,	0,	0,	
51670,	1.83884E7,	33771,	0,	32415,	0,	0,	
54766,	1.97048E7,	35528,	0,	33905,	0,	0,	
58052,	1.90886E7,	35204,	0,	34517,	0,	0,	
61060,	2.22569E7,	40885,	0,	41541,	0,	0,	
64115,	2.50281E7,	45519,	0,	44758,	0,	0,	
66762,	1.75321E7,	31806,	0,	33138,	0,	0,	
69507,	1.71551E7,	31132,	0,	31133,	0,	0,	
72358,	1.74538E7,	31591,	0,	30653,	0,	0,	
75122,	1.84611E7,	33745,	0,	33578,	0,	0,	
77887,	1.90026E7,	34573,	0,	35523,	0,	0,	
80600,	1.73874E7,	31501,	0,	33500,	0,	0,	
83215,	2.05423E7,	37263,	0,	35702,	0,	0,	
86039,	2.15267E7,	38936,	0,	41224,	0,	0,	
88812,	1.80902E7,	32558,	0,	33352,	0,	0,	
91523,	1.71601E7,	31274,	0,	30965,	0,	0,	
94232,	1.82823E7,	33313,	0,	35018,	0,	0,	
96914,	1.84847E7,	33494,	0,	32037,	0,	0,	
99720,	2.43618E7,	43848,	0,	43342,	0,	0,	
102179,	3.020703521955898,	7609,	33133,	28827,	10736,	30,	
104744,	1.9447306417616417,	0,	56614,	39290,	17977,	30,	
106912,	2.0248458736617154,	0,	36303,	25677,	13181,	30,	
109317,	1.9890521305470625,	0,	37178,	26699,	13123,	30,	
111511,	1.94398985584738,	0,	32673,	24540,	11661,	30,	
114074,	1.9364363031585634,	0,	36389,	25762,	12356,	30,	
116556,	1.9824382332743136,	0,	32458,	23139,	11080,	30,	
119026,	1.9284054753406175,	0,	31106,	22868,	10286,	30,	
121569,	1.9561020447569197,	0,	33715,	23321,	10880,	30,	
123983,	1.9236983994693244,	0,	33512,	23486,	11065,	30,	
126145,	1.9174749829508504,	0,	32245,	26307,	10993,	30,	
128519,	1.9970769863138988,	0,	36955,	27882,	12224,	30,	
130899,	1.9757388646234921,	0,	34418,	24453,	11384,	30,	
133105,	1.95202375414854,	0,	32183,	23351,	11238,	30,	
135429,	2.0193058159905948,	0,	37656,	27865,	13298,	30,	
137689,	2.0155630850956454,	0,	38937,	31490,	13485,	30,	
139908,	1.9701504548961126,	0,	33301,	24054,	11671,	30,	
142234,	1.9803249592848189,	0,	33851,	25519,	12272,	30,	
144340,	1.934641182743455,	0,	30111,	21963,	10318,	30,	
146578,	1.9241746855220128,	0,	31376,	23658,	10767,	30,	
148776,	1.979440967262216,	0,	32055,	21857,	11333,	30,	
151125,	1.9391894165606263,	0,	33580,	23849,	11345,	30,	
153439,	1.946279369588127,	0,	37472,	26941,	12821,	30,	
155776,	1.9872131552021481,	0,	35585,	25224,	12391,	30,	
158105,	1.9452274298421324,	0,	35310,	25749,	11768,	30,	
160467,	1.940403363100153,	0,	33123,	25239,	11127,	30,	
162704,	1.9876410071280266,	0,	34875,	24432,	11116,	30,	
165022,	2.0307135489494454,	0,	34349,	22596,	11590,	30,	
167178,	1.999968634695992,	0,	32520,	24340,	10898,	30,	
169493,	1.9588569471264545,	0,	35851,	24518,	12790,	30,	
171699,	1.9289834340396523,	0,	32373,	22772,	10912,	30,	
173810,	2.0168004591885205,	0,	32736,	22526,	11591,	30,	
175983,	2.004851535032642,	0,	32769,	23656,	11120,	30,	
178238,	2.0259277399548097,	0,	35791,	26172,	11831,	30,	
180599,	1.9747603587842593,	0,	36491,	26433,	11938,	30,	
182834,	2.0049700951675673,	0,	37621,	26597,	12502,	30,	
185224,	1.9803159550811118,	0,	35512,	24887,	12229,	30,	
187481,	1.9559781962392118,	0,	33552,	23447,	11831,	30,	
189793,	1.9501580927435112,	0,	33085,	22421,	11445,	30,	
192027,	1.9696972943291315,	0,	32671,	22983,	11112,	30,	
194539,	2.048330462151252,	0,	40802,	34982,	16725,	30,	
196988,	2.042246183298018,	0,	54608,	44078,	21698,	30,	
199581,	2.026526107106716,	0,	50704,	37229,	19160,	30,	
201797,	1.9041602322332514,	0,	38575,	26897,	12399,	30,	
204155,	1.9597001166173307,	0,	44616,	31128,	15004,	30,	
206348,	1.9892147052142355,	0,	32268,	24025,	11341,	30,	
208492,	1.9780154805587242,	0,	31796,	23358,	11186,	30,	
210914,	1.989417598205744,	0,	37328,	27595,	13008,	30,	
213013,	1.9417064527298893,	0,	30930,	21994,	10343,	30,	
215266,	1.9607606584748887,	0,	33156,	22905,	11721,	30,	
217305,	1.9975465226979356,	0,	30577,	22320,	10202,	30,	
219482,	1.988198358800832,	0,	32709,	23681,	11113,	30,	
221782,	1.9587226923100618,	0,	34087,	24070,	12257,	30,	
223801,	1.926471460911036,	0,	28479,	21147,	9807,	30,	
225815,	1.9665094229632583,	0,	29591,	21550,	10247,	30,	
227879,	1.95900201309528,	0,	31002,	22051,	11096,	30,	
230033,	1.9391006494086835,	0,	31889,	22493,	10828,	30,	
232075,	2.030717391829637,	0,	36005,	24434,	12650,	30,	
234107,	1.9965469422934758,	0,	33020,	22024,	10845,	30,	
236418,	1.9461082662058904,	0,	34180,	23390,	11501,	30,	
238807,	1.9607133270977126,	0,	35356,	24612,	12893,	30,	
241007,	1.9526578694329018,	0,	33290,	24309,	11775,	30,	
243063,	1.9651118470453712,	0,	30670,	22041,	10655,	30,	
245171,	1.937718161610116,	0,	31711,	21454,	10714,	30,	
247606,	2.0116137252737243,	0,	38315,	28142,	13517,	30,	
250213,	1.9121755620412844,	0,	36391,	26440,	12813,	30,	
252494,	1.9788391292426,	0,	34026,	23234,	12125,	30,	
254791,	1.964315936882434,	0,	35983,	26523,	12780,	30,	
256906,	1.9433484859520078,	0,	32815,	24425,	11643,	30,	
258922,	1.9806814612704966,	0,	30024,	22515,	10432,	30,	
261016,	1.9599252979545236,	0,	32390,	22363,	12073,	30,	
263052,	1.991608068531661,	0,	31342,	21453,	11200,	30,	
265150,	1.9641205890638334,	0,	31913,	22899,	11288,	30,	
267181,	1.9963219906750218,	0,	32088,	22256,	11474,	30,	
269334,	1.996241281500762,	0,	36986,	25864,	14604,	30,	
271550,	1.9828488513300266,	0,	36850,	25472,	13370,	30,	
273699,	1.9746094270458914,	0,	33399,	23684,	10976,	30,	
275881,	1.9428689208749317,	0,	32312,	22163,	11129,	30,	
278271,	1.943009581745412,	0,	36796,	27607,	12806,	30,	
280426,	1.974930205522176,	0,	37177,	28030,	13020,	30,	
282654,	1.9159992789316982,	0,	32119,	22361,	11495,	30,	
284824,	1.9492885169449317,	0,	31019,	23022,	10328,	30,	
286935,	1.9896672104081183,	0,	33294,	23435,	11637,	30,	
289062,	1.9536911211788044,	0,	30988,	21620,	10414,	30,	
291581,	1.9816596114180234,	0,	52181,	38412,	18002,	30,	
293894,	1.9720855724947097,	0,	35108,	24373,	12088,	30,	
296056,	1.9148848001416687,	0,	33543,	22996,	11282,	30,	
298273,	1.9286144488176735,	0,	34419,	25033,	11870,	30,	
300527,	1.7854545574447491,	0,	27295,	17861,	8555,	30,	
