Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2144,	3145100.0,	5705,	0,	5600,	0,	0,	
4150,	4.03804E7,	73011,	0,	72684,	0,	0,	
6157,	4.03906E7,	73016,	0,	72832,	0,	0,	
8164,	4.05146E7,	73291,	0,	73076,	0,	0,	
10172,	4.06562E7,	73507,	0,	73311,	0,	0,	
12189,	4.06313E7,	73481,	0,	73260,	0,	0,	
14202,	4.07018E7,	73604,	0,	73453,	0,	0,	
16212,	4.05767E7,	73347,	0,	73143,	0,	0,	
18220,	4.04575E7,	73127,	0,	72904,	0,	0,	
20235,	4.06193E7,	73365,	0,	73172,	0,	0,	
22262,	4.05471E7,	73292,	0,	73093,	0,	0,	
24268,	4.05297E7,	73337,	0,	73162,	0,	0,	
26274,	4.05421E7,	73328,	0,	73096,	0,	0,	
28279,	4.05031E7,	73285,	0,	73063,	0,	0,	
30286,	4.05863E7,	73384,	0,	73194,	0,	0,	
32291,	4.05324E7,	73274,	0,	73105,	0,	0,	
34302,	4.06518E7,	73486,	0,	73267,	0,	0,	
36317,	4.06399E7,	73442,	0,	73234,	0,	0,	
38332,	4.07036E7,	73591,	0,	73403,	0,	0,	
40368,	4.09427E7,	74036,	0,	73871,	0,	0,	
42434,	4.094E7,	74045,	0,	74224,	0,	0,	
44492,	3.89194E7,	70337,	0,	71010,	0,	0,	
46529,	3.93468E7,	71060,	0,	71215,	0,	0,	
48600,	4.08321E7,	73814,	0,	73814,	0,	0,	
50627,	4.03123E7,	72912,	0,	72919,	0,	0,	
52659,	4.08403E7,	73874,	0,	73734,	0,	0,	
54690,	4.08069E7,	73866,	0,	73764,	0,	0,	
56703,	4.04779E7,	73253,	0,	73121,	0,	0,	
58713,	4.04941E7,	73208,	0,	73065,	0,	0,	
60724,	4.05565E7,	73310,	0,	73172,	0,	0,	
62736,	4.06382E7,	73418,	0,	73262,	0,	0,	
64745,	4.04638E7,	73133,	0,	73011,	0,	0,	
66795,	4.11883E7,	74457,	0,	74373,	0,	0,	
68826,	4.09307E7,	73978,	0,	73821,	0,	0,	
70844,	4.0722E7,	73655,	0,	73472,	0,	0,	
72859,	4.05106E7,	73299,	0,	73210,	0,	0,	
74883,	4.07859E7,	73754,	0,	73564,	0,	0,	
76905,	4.04516E7,	73167,	0,	73036,	0,	0,	
78942,	4.06757E7,	73537,	0,	73367,	0,	0,	
80974,	3.98797E7,	72172,	0,	72240,	0,	0,	
83009,	4.04544E7,	73135,	0,	72846,	0,	0,	
85029,	4.0453E7,	73134,	0,	72797,	0,	0,	
87095,	4.12296E7,	74523,	0,	74283,	0,	0,	
89125,	4.07272E7,	73625,	0,	73451,	0,	0,	
91143,	4.06789E7,	73531,	0,	73347,	0,	0,	
93159,	4.05826E7,	73352,	0,	73176,	0,	0,	
95182,	4.06773E7,	73542,	0,	73380,	0,	0,	
97192,	4.05025E7,	73242,	0,	73101,	0,	0,	
99204,	4.04837E7,	73181,	0,	73056,	0,	0,	
101215,	12.08704727289403,	29046,	13520,	37961,	4289,	100,	
103227,	0.15629802378953112,	0,	72848,	48743,	24283,	100,	
105235,	0.1558304061076843,	0,	72842,	48695,	24271,	100,	
107241,	0.15590702426648592,	0,	72896,	48679,	24310,	100,	
109255,	0.15585407390167227,	0,	73171,	48942,	24418,	100,	
111260,	0.15602542406531417,	0,	72783,	48712,	24280,	100,	
113267,	0.15598589895143347,	0,	73013,	48800,	24358,	100,	
115274,	0.15612789657342446,	0,	72953,	48797,	24355,	100,	
117282,	0.156280834300489,	0,	72920,	48798,	24360,	100,	
119288,	0.15613992077344763,	0,	72973,	48800,	24365,	100,	
121293,	0.15614834628074237,	0,	72873,	48693,	24325,	100,	
123298,	0.15606020992220895,	0,	72786,	48736,	24316,	100,	
125303,	0.1559217709268968,	0,	72934,	48710,	24322,	100,	
127307,	0.15605364261658172,	0,	72898,	48749,	24338,	100,	
129313,	0.15594518411709807,	0,	73000,	48754,	24365,	100,	
131319,	0.15580392923427727,	0,	73002,	48746,	24353,	100,	
133324,	0.15611881654201074,	0,	72906,	48726,	24332,	100,	
135328,	0.15586195295850272,	0,	72885,	48683,	24319,	100,	
137337,	0.1560246602147104,	0,	73095,	48892,	24389,	100,	
139347,	0.15609586902796316,	0,	73000,	48797,	24366,	100,	
141363,	0.15649394091975094,	0,	72629,	48720,	24249,	100,	
143389,	0.15517671094117577,	0,	71860,	48553,	24035,	100,	
145443,	0.15173012381037612,	0,	71179,	48258,	23932,	100,	
147449,	0.15411588089374736,	0,	72147,	48326,	24076,	100,	
149463,	0.15437922398710077,	0,	72581,	48629,	24220,	100,	
151478,	0.15512641305146088,	0,	73121,	48892,	24399,	100,	
153494,	0.15563758555383447,	0,	73125,	48961,	24415,	100,	
155511,	0.15565880412639085,	0,	72948,	48912,	24395,	100,	
157517,	0.15561303097768667,	0,	72661,	48663,	24258,	100,	
159522,	0.15589831532383006,	0,	72868,	48773,	24354,	100,	
161528,	0.15613890901196512,	0,	72871,	48757,	24344,	100,	
163533,	0.15585979799901348,	0,	72963,	48770,	24343,	100,	
165543,	0.15596076940463702,	0,	73044,	48805,	24361,	100,	
167548,	0.15566736021732386,	0,	72732,	48576,	24241,	100,	
169554,	0.15602178811211428,	0,	72445,	48540,	24227,	100,	
171561,	0.1559701994913145,	0,	72937,	48728,	24318,	100,	
173579,	0.15584094058738346,	0,	73191,	48987,	24404,	100,	
175586,	0.15592265479535855,	0,	72940,	48711,	24315,	100,	
177591,	0.1562547241927403,	0,	72433,	48521,	24177,	100,	
179606,	0.15598161798811558,	0,	72547,	48748,	24313,	100,	
181621,	0.15575758771522563,	0,	72479,	48519,	24243,	100,	
183638,	0.154934406692968,	0,	72592,	48488,	24237,	100,	
185653,	0.1547991673957082,	0,	72481,	48552,	24164,	100,	
187664,	0.1549709000618919,	0,	72562,	48519,	24191,	100,	
189678,	0.1558027316034902,	0,	73086,	48911,	24424,	100,	
191692,	0.15582711055818796,	0,	73235,	48930,	24410,	100,	
193696,	0.1557912479822736,	0,	72687,	48612,	24243,	100,	
195707,	0.15547377236653734,	0,	73112,	48857,	24398,	100,	
197723,	0.15601506765231563,	0,	73166,	48942,	24453,	100,	
199730,	0.15588652678756218,	0,	72912,	48764,	24330,	100,	
