Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
3372,	1.14817E7,	20805,	0,	19220,	0,	0,	
5418,	4.10457E7,	74190,	0,	73877,	0,	0,	
7449,	4.09989E7,	74073,	0,	73832,	0,	0,	
9462,	4.04887E7,	73252,	0,	73010,	0,	0,	
11513,	4.13454E7,	74784,	0,	74819,	0,	0,	
13528,	4.05963E7,	73374,	0,	73176,	0,	0,	
15573,	4.1202E7,	74543,	0,	74348,	0,	0,	
17618,	4.11686E7,	74196,	0,	73972,	0,	0,	
19642,	4.08237E7,	74003,	0,	73813,	0,	0,	
21687,	4.12818E7,	73961,	0,	73757,	0,	0,	
23785,	4.22736E7,	76973,	0,	76783,	0,	0,	
25788,	4.03522E7,	72858,	0,	72653,	0,	0,	
27801,	4.06971E7,	73474,	0,	73269,	0,	0,	
29815,	4.06741E7,	73439,	0,	73259,	0,	0,	
31867,	4.14272E7,	74824,	0,	74592,	0,	0,	
33890,	4.08292E7,	73745,	0,	73544,	0,	0,	
35910,	4.07856E7,	73661,	0,	73460,	0,	0,	
37974,	4.14815E7,	74898,	0,	74709,	0,	0,	
40090,	4.24226E7,	76821,	0,	76605,	0,	0,	
42552,	4.23853E7,	76759,	0,	77498,	0,	0,	
44902,	3.47874E7,	63440,	0,	64072,	0,	0,	
47127,	4.17189E7,	75429,	0,	74489,	0,	0,	
49284,	4.21753E7,	76405,	0,	76170,	0,	0,	
51362,	4.14903E7,	75015,	0,	75043,	0,	0,	
53429,	4.15138E7,	75299,	0,	75216,	0,	0,	
55476,	4.12875E7,	74611,	0,	74423,	0,	0,	
57504,	4.07549E7,	73640,	0,	73437,	0,	0,	
59591,	4.20644E7,	75988,	0,	75778,	0,	0,	
61671,	4.19373E7,	75697,	0,	75478,	0,	0,	
63753,	4.19887E7,	75937,	0,	75716,	0,	0,	
65804,	4.14486E7,	74869,	0,	74664,	0,	0,	
67839,	4.10072E7,	73618,	0,	73485,	0,	0,	
69864,	4.08366E7,	74240,	0,	74037,	0,	0,	
71915,	4.1346E7,	74692,	0,	74519,	0,	0,	
73995,	4.18103E7,	75525,	0,	75121,	0,	0,	
76179,	4.30963E7,	77917,	0,	78118,	0,	0,	
78356,	4.16427E7,	75305,	0,	76293,	0,	0,	
80516,	4.01455E7,	72569,	0,	73638,	0,	0,	
82774,	4.17311E7,	75367,	0,	74264,	0,	0,	
85067,	4.27004E7,	77174,	0,	75458,	0,	0,	
87428,	4.57909E7,	82740,	0,	82689,	0,	0,	
89682,	4.3897E7,	79283,	0,	79530,	0,	0,	
91741,	4.02268E7,	72682,	0,	72886,	0,	0,	
93778,	4.05406E7,	73301,	0,	73363,	0,	0,	
95908,	4.16028E7,	75189,	0,	75147,	0,	0,	
97975,	4.09875E7,	74021,	0,	73779,	0,	0,	
100242,	3.94422E7,	71071,	0,	70869,	0,	0,	
102248,	3.195572703390903,	0,	41161,	0,	40996,	9,	
104253,	3.220907615869288,	0,	72374,	0,	72107,	9,	
106260,	3.220934284322531,	0,	72406,	0,	72188,	9,	
108266,	3.2158975573178363,	0,	68801,	0,	68730,	9,	
110277,	3.222160459776685,	0,	70683,	0,	70726,	9,	
112286,	3.2162630110316757,	0,	69218,	0,	69105,	9,	
114316,	3.213825552993629,	0,	69145,	0,	68883,	9,	
116342,	3.2160622304031192,	0,	66203,	0,	66072,	9,	
118346,	3.2127347396851613,	0,	68503,	0,	68344,	9,	
120353,	3.213559834294357,	0,	69615,	0,	69478,	9,	
122367,	3.2108651753774495,	0,	71197,	0,	71059,	9,	
124387,	3.2055701568497303,	0,	70477,	0,	70249,	9,	
126394,	3.2140579715010116,	0,	68514,	0,	68328,	9,	
128400,	3.2159443840076714,	0,	72500,	0,	72422,	9,	
130408,	3.221748837020245,	0,	67901,	0,	67922,	9,	
132455,	3.2130417955289254,	0,	70770,	0,	70537,	9,	
134459,	3.2144012749011126,	0,	71422,	0,	71174,	9,	
136468,	3.2137339125405253,	0,	69053,	0,	68715,	9,	
138509,	3.2068307906444122,	0,	68659,	0,	68771,	9,	
140653,	3.1956720037227733,	0,	69647,	0,	68523,	9,	
142691,	3.2122885146669615,	0,	63927,	0,	63039,	9,	
144758,	3.2125991027677334,	0,	68796,	0,	68172,	9,	
146771,	3.214591991265113,	0,	67994,	0,	67630,	9,	
148892,	3.212759763316493,	0,	73886,	0,	73304,	9,	
150925,	3.202201553198318,	0,	69394,	0,	68694,	9,	
153023,	3.2142993472266186,	0,	70994,	0,	70844,	9,	
155080,	3.207257054116252,	0,	71650,	0,	71382,	9,	
157088,	3.2135631926763746,	0,	69642,	0,	69517,	9,	
159118,	3.2096525511165552,	0,	73283,	0,	72863,	9,	
161127,	3.2134992607062878,	0,	70520,	0,	70434,	9,	
163134,	3.218567943119793,	0,	68665,	0,	68556,	9,	
165153,	3.2161972480197414,	0,	68664,	0,	68486,	9,	
167176,	3.2135219987113457,	0,	72339,	0,	72083,	9,	
169182,	3.210706847818445,	0,	71540,	0,	71404,	9,	
171197,	3.2125748198351336,	0,	71744,	0,	71588,	9,	
173226,	3.2117271666348373,	0,	71370,	0,	71144,	9,	
175382,	3.207965706226776,	0,	75118,	0,	73954,	9,	
177420,	3.219778674815422,	0,	70630,	0,	69896,	9,	
