Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
5034,	1.10751E7,	20090,	0,	19602,	0,	0,	
7132,	4.15394E7,	75052,	0,	74836,	0,	0,	
9179,	4.04254E7,	73044,	0,	72783,	0,	0,	
11244,	4.03448E7,	72892,	0,	72693,	0,	0,	
13409,	4.2581E7,	76908,	0,	76773,	0,	0,	
15757,	4.48825E7,	81074,	0,	80790,	0,	0,	
17805,	4.01984E7,	72563,	0,	72303,	0,	0,	
19904,	4.12492E7,	74518,	0,	74313,	0,	0,	
21957,	4.07314E7,	73567,	0,	73376,	0,	0,	
24018,	4.1092E7,	74225,	0,	74014,	0,	0,	
26087,	4.03589E7,	72897,	0,	72679,	0,	0,	
28115,	4.06956E7,	73505,	0,	73336,	0,	0,	
30143,	4.00476E7,	72304,	0,	72098,	0,	0,	
32159,	4.06239E7,	73391,	0,	73183,	0,	0,	
34192,	4.07215E7,	73568,	0,	73341,	0,	0,	
36242,	4.13966E7,	74794,	0,	74595,	0,	0,	
38301,	4.09642E7,	73963,	0,	73705,	0,	0,	
40442,	4.27184E7,	77161,	0,	76963,	0,	0,	
42706,	4.49953E7,	81305,	0,	81070,	0,	0,	
44778,	4.09048E7,	73925,	0,	73679,	0,	0,	
46833,	3.9801E7,	71900,	0,	71729,	0,	0,	
48883,	4.0305E7,	72888,	0,	72732,	0,	0,	
51091,	4.27891E7,	77355,	0,	77138,	0,	0,	
53197,	4.19436E7,	75886,	0,	75008,	0,	0,	
55502,	4.37243E7,	78892,	0,	79438,	0,	0,	
57627,	4.1504E7,	74839,	0,	74153,	0,	0,	
59727,	4.14864E7,	75125,	0,	75008,	0,	0,	
61753,	4.08818E7,	73873,	0,	73655,	0,	0,	
63803,	4.1003E7,	74138,	0,	73944,	0,	0,	
65848,	4.04501E7,	73073,	0,	72898,	0,	0,	
67948,	4.19558E7,	75736,	0,	75516,	0,	0,	
70033,	4.0775E7,	73689,	0,	73465,	0,	0,	
72077,	4.09561E7,	73988,	0,	73811,	0,	0,	
74127,	4.03404E7,	72881,	0,	72690,	0,	0,	
76162,	4.06879E7,	73538,	0,	73289,	0,	0,	
78211,	4.09842E7,	74398,	0,	74544,	0,	0,	
80333,	4.22507E7,	76361,	0,	76151,	0,	0,	
82391,	4.11416E7,	74303,	0,	74054,	0,	0,	
84423,	3.98307E7,	71898,	0,	71347,	0,	0,	
86586,	4.24654E7,	76660,	0,	76832,	0,	0,	
88631,	3.98982E7,	72127,	0,	72218,	0,	0,	
90763,	4.00303E7,	72383,	0,	71874,	0,	0,	
92905,	4.25334E7,	76926,	0,	76742,	0,	0,	
95043,	4.23206E7,	76490,	0,	75942,	0,	0,	
97192,	4.26041E7,	77013,	0,	76380,	0,	0,	
