Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1818,	1075800.0,	2017,	0,	2013,	0,	0,	
4066,	3.96055E7,	71558,	0,	70451,	0,	0,	
6129,	4.12619E7,	74550,	0,	74178,	0,	0,	
8846,	4.88126E7,	88225,	0,	87946,	0,	0,	
10879,	3.81363E7,	68975,	0,	68945,	0,	0,	
12907,	3.87724E7,	70072,	0,	69981,	0,	0,	
14939,	3.95243E7,	71359,	0,	71327,	0,	0,	
16964,	4.08743E7,	73822,	0,	73600,	0,	0,	
18997,	4.07853E7,	73669,	0,	73497,	0,	0,	
21250,	4.49429E7,	81179,	0,	80864,	0,	0,	
23296,	4.13194E7,	74610,	0,	74388,	0,	0,	
25347,	4.15191E7,	74986,	0,	74760,	0,	0,	
27428,	4.15728E7,	75089,	0,	74899,	0,	0,	
29473,	4.00999E7,	72406,	0,	72170,	0,	0,	
31506,	4.01316E7,	72504,	0,	72268,	0,	0,	
33586,	4.1471E7,	74903,	0,	74696,	0,	0,	
35618,	3.90987E7,	70594,	0,	70181,	0,	0,	
37647,	4.05838E7,	73295,	0,	73057,	0,	0,	
39676,	4.0633E7,	73381,	0,	72815,	0,	0,	
42204,	4.70978E7,	85065,	0,	85071,	0,	0,	
44763,	3.742E7,	67912,	0,	68705,	0,	0,	
46990,	2.98823E7,	54753,	0,	55788,	0,	0,	
50467,	3.75093E7,	69332,	0,	67143,	0,	0,	
52571,	3.27427E7,	59800,	0,	58027,	0,	0,	
54700,	4.20663E7,	75990,	0,	75769,	0,	0,	
56747,	4.04587E7,	72947,	0,	72729,	0,	0,	
58782,	3.99916E7,	75365,	0,	75110,	0,	0,	
60964,	4.09542E7,	73969,	0,	73727,	0,	0,	
63040,	4.11483E7,	74306,	0,	74137,	0,	0,	
65087,	4.06404E7,	73371,	0,	73151,	0,	0,	
67266,	4.29821E7,	77629,	0,	77439,	0,	0,	
69315,	4.06519E7,	72406,	0,	72168,	0,	0,	
71362,	4.06003E7,	74330,	0,	74117,	0,	0,	
73472,	4.17278E7,	76046,	0,	75854,	0,	0,	
75577,	4.14722E7,	74892,	0,	74614,	0,	0,	
77621,	4.05319E7,	73232,	0,	73063,	0,	0,	
79653,	4.04307E7,	73009,	0,	72808,	0,	0,	
81717,	4.01789E7,	72562,	0,	72359,	0,	0,	
83787,	4.05232E7,	73205,	0,	72890,	0,	0,	
86118,	4.49537E7,	81266,	0,	80408,	0,	0,	
88314,	4.22859E7,	76434,	0,	75571,	0,	0,	
90691,	4.05986E7,	73615,	0,	74563,	0,	0,	
92925,	3.4513E7,	62576,	0,	61230,	0,	0,	
95441,	4.12675E7,	74865,	0,	75844,	0,	0,	
