Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1485,	3799800.0,	6892,	0,	6966,	0,	0,	
2504,	1.29211E7,	23345,	0,	23221,	0,	0,	
3516,	1.31876E7,	23855,	0,	23790,	0,	0,	
4526,	1.31928E7,	23855,	0,	23790,	0,	0,	
5537,	1.31929E7,	23855,	0,	23790,	0,	0,	
6549,	1.11255E7,	20163,	0,	20385,	0,	0,	
7572,	1.14071E7,	20657,	0,	20741,	0,	0,	
8585,	1.21509E7,	21945,	0,	22140,	0,	0,	
9608,	1.25802E7,	22731,	0,	22935,	0,	0,	
10617,	1.2512E7,	22644,	0,	22691,	0,	0,	
11630,	1.2575E7,	22749,	0,	22880,	0,	0,	
12659,	7968700.0,	14378,	0,	14112,	0,	0,	
13846,	9196600.0,	16465,	0,	14983,	0,	0,	
15052,	1.00652E7,	18031,	0,	17273,	0,	0,	
16802,	1.41883E7,	25554,	0,	24341,	0,	0,	
18333,	9923200.0,	17830,	0,	18027,	0,	0,	
19606,	9681400.0,	17373,	0,	18615,	0,	0,	
20997,	8763400.0,	15850,	0,	16885,	0,	0,	
22030,	8865400.0,	15973,	0,	16830,	0,	0,	
23279,	1.0732E7,	19389,	0,	20333,	0,	0,	
24462,	1.05275E7,	19065,	0,	19764,	0,	0,	
25665,	1.0748E7,	19413,	0,	20487,	0,	0,	
26724,	1.03503E7,	18789,	0,	17964,	0,	0,	
27746,	1.16957E7,	21259,	0,	20056,	0,	0,	
28774,	1.22142E7,	22186,	0,	21182,	0,	0,	
29802,	1.22561E7,	22254,	0,	21463,	0,	0,	
30844,	1.18026E7,	21446,	0,	20572,	0,	0,	
31880,	1.14426E7,	20763,	0,	20303,	0,	0,	
32893,	1.04352E7,	18963,	0,	18670,	0,	0,	
33913,	1.13302E7,	20506,	0,	20152,	0,	0,	
34926,	1.14884E7,	20768,	0,	20416,	0,	0,	
35941,	1.10664E7,	20012,	0,	19607,	0,	0,	
36979,	1.10614E7,	20042,	0,	19705,	0,	0,	
38055,	1.14351E7,	20585,	0,	20234,	0,	0,	
39539,	1.16411E7,	21032,	0,	19326,	0,	0,	
40602,	9220700.0,	16675,	0,	14384,	0,	0,	
41628,	1.04246E7,	18831,	0,	17236,	0,	0,	
42648,	1.1575E7,	20994,	0,	19754,	0,	0,	
43723,	1.22238E7,	22164,	0,	21466,	0,	0,	
44869,	1.21271E7,	21953,	0,	21838,	0,	0,	
45888,	1.08366E7,	19617,	0,	19600,	0,	0,	
47052,	1.31156E7,	23736,	0,	23758,	0,	0,	
48076,	1.13257E7,	20475,	0,	20783,	0,	0,	
