Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
487,	1384900.0,	2526,	0,	2466,	0,	0,	
2506,	3.3139E7,	59939,	0,	59863,	0,	0,	
4532,	3.60467E7,	65105,	0,	65069,	0,	0,	
6561,	3.38913E7,	61220,	0,	61160,	0,	0,	
8569,	3.46812E7,	62630,	0,	62425,	0,	0,	
10594,	3.50832E7,	63358,	0,	63284,	0,	0,	
12602,	3.2257E7,	58395,	0,	58366,	0,	0,	
14658,	3.51386E7,	63473,	0,	63403,	0,	0,	
16663,	1.97708E7,	35845,	0,	37037,	0,	0,	
18690,	3.15318E7,	57033,	0,	56815,	0,	0,	
20698,	3.37357E7,	61030,	0,	60933,	0,	0,	
22704,	3.38134E7,	61174,	0,	60988,	0,	0,	
24714,	3.27759E7,	59312,	0,	58939,	0,	0,	
26718,	3.34987E7,	60560,	0,	60366,	0,	0,	
28780,	3.54032E7,	64073,	0,	63837,	0,	0,	
30997,	3.17901E7,	57823,	0,	57995,	0,	0,	
33041,	3.15596E7,	57181,	0,	56606,	0,	0,	
35045,	3.46511E7,	62682,	0,	62633,	0,	0,	
37125,	3.60378E7,	65183,	0,	64904,	0,	0,	
39186,	3.25563E7,	58846,	0,	58761,	0,	0,	
41189,	3.70533E7,	67011,	0,	67020,	0,	0,	
43211,	3.69601E7,	66813,	0,	66930,	0,	0,	
45214,	3.40589E7,	61700,	0,	61544,	0,	0,	
47220,	2.85129E7,	51688,	0,	52142,	0,	0,	
49233,	2.69124E7,	48852,	0,	48716,	0,	0,	
51251,	2.585E7,	46957,	0,	46850,	0,	0,	
53265,	3.41572E7,	61689,	0,	61614,	0,	0,	
55283,	3.051E7,	55143,	0,	55144,	0,	0,	
57287,	3.12793E7,	56543,	0,	56562,	0,	0,	
59309,	3.02593E7,	54744,	0,	54822,	0,	0,	
61336,	3.18331E7,	57532,	0,	57576,	0,	0,	
63503,	3.35546E7,	60779,	0,	60358,	0,	0,	
65508,	3.12945E7,	56573,	0,	56622,	0,	0,	
67527,	2.82573E7,	51071,	0,	51228,	0,	0,	
69544,	3.03596E7,	54840,	0,	54721,	0,	0,	
71556,	2.95922E7,	53473,	0,	53500,	0,	0,	
73562,	3.16945E7,	57496,	0,	57343,	0,	0,	
75573,	2.73181E7,	49522,	0,	49316,	0,	0,	
77592,	2.93942E7,	53358,	0,	53169,	0,	0,	
79603,	3.06979E7,	55641,	0,	55487,	0,	0,	
81614,	2.91983E7,	52919,	0,	52700,	0,	0,	
83620,	2.62902E7,	47594,	0,	47518,	0,	0,	
85646,	2.87865E7,	51992,	0,	52171,	0,	0,	
87660,	2.41901E7,	43767,	0,	43675,	0,	0,	
89672,	2.50454E7,	45443,	0,	45447,	0,	0,	
91688,	2.49837E7,	45347,	0,	45433,	0,	0,	
93707,	2.6214E7,	47588,	0,	47451,	0,	0,	
95735,	2.43609E7,	44012,	0,	43890,	0,	0,	
97748,	2.61128E7,	47261,	0,	47133,	0,	0,	
99765,	2.62861E7,	47710,	0,	47580,	0,	0,	
101771,	2.6742908517444954,	5753,	32612,	27415,	10833,	30,	
103781,	1.7005865541379672,	0,	46855,	31471,	15694,	30,	
105795,	1.699813294127288,	0,	47224,	31720,	15796,	30,	
107809,	1.6920787448823076,	0,	45096,	30221,	14982,	30,	
109832,	1.695040528221932,	0,	44242,	29715,	14793,	30,	
111856,	1.697489000534255,	0,	47000,	31558,	15703,	30,	
113872,	1.696567767463522,	0,	47088,	31543,	15718,	30,	
115886,	1.6926382917057405,	0,	46717,	31217,	15614,	30,	
117890,	1.6958553734475377,	0,	50841,	34052,	17038,	30,	
119897,	1.6935420013766584,	0,	65797,	43922,	21881,	30,	
121906,	1.6944789329880692,	0,	67164,	45044,	22354,	30,	
123918,	1.6992049936568743,	0,	52348,	35097,	17533,	30,	
125930,	1.693120101546727,	0,	53855,	35911,	17968,	30,	
127948,	1.6963844900210663,	0,	48186,	32267,	16100,	30,	
129960,	1.6966437886054069,	0,	52028,	34808,	17291,	30,	
131973,	1.6898159081183937,	0,	56531,	37815,	18876,	30,	
133976,	1.6936577051844675,	0,	48534,	32495,	16216,	30,	
135989,	1.6876354251965644,	0,	54795,	36771,	18310,	30,	
138002,	1.6916746568230072,	0,	56288,	37736,	18660,	30,	
140008,	1.6884799311812357,	0,	54706,	36364,	18538,	30,	
142035,	1.699985144266667,	0,	61727,	41367,	20544,	30,	
144039,	1.6931442688271348,	0,	63701,	42888,	21160,	30,	
146048,	1.6931717498069743,	0,	58114,	38590,	19331,	30,	
148052,	1.7014147810439426,	0,	61835,	41064,	20612,	30,	
150065,	1.691218999979738,	0,	58731,	39267,	19573,	30,	
152073,	1.690772609674394,	0,	58740,	39206,	19560,	30,	
154092,	1.6922627140553081,	0,	58524,	39304,	19518,	30,	
156095,	1.6904583917039935,	0,	54458,	36325,	18134,	30,	
158116,	1.6932575350885029,	0,	60559,	40371,	20192,	30,	
160121,	1.6923123793361414,	0,	62037,	41538,	20671,	30,	
162127,	1.6915337343787806,	0,	59556,	39694,	19812,	30,	
164146,	1.6971801963227762,	0,	59230,	39381,	19714,	30,	
166152,	1.6954176998853105,	0,	68681,	46018,	22949,	30,	
168160,	1.6932894329778365,	0,	57181,	38264,	19040,	30,	
170172,	1.6895940461162824,	0,	48791,	32689,	16299,	30,	
172176,	1.6913738206901796,	0,	52076,	34717,	17350,	30,	
174193,	1.6943741332100906,	0,	51995,	34730,	17344,	30,	
176200,	1.7046364980664144,	0,	46993,	31720,	15797,	30,	
178208,	1.698467871641449,	0,	46874,	31427,	15666,	30,	
180222,	1.6921819833695964,	0,	47252,	31477,	15762,	30,	
182231,	1.6910115905324459,	0,	47374,	31556,	15777,	30,	
184238,	1.6908225454109096,	0,	46834,	31210,	15609,	30,	
186246,	1.6935130119225261,	0,	45617,	30526,	15261,	30,	
188266,	1.6914950818936703,	0,	47257,	31523,	15769,	30,	
190279,	1.6971381579433278,	0,	47388,	31720,	15825,	30,	
192292,	1.694680537271728,	0,	47226,	31602,	15759,	30,	
194302,	1.6927361339666096,	0,	47539,	31720,	15840,	30,	
196313,	1.690759524510386,	0,	46915,	31266,	15625,	30,	
198334,	1.6922115993309708,	0,	47406,	31627,	15800,	30,	
200349,	1.6840823448470035,	0,	42834,	28359,	14183,	30,	
202355,	1.706370297275431,	0,	46981,	31720,	15786,	30,	
204361,	1.701797196277082,	0,	46730,	31476,	15681,	30,	
206369,	1.7053749640054536,	0,	46639,	31476,	15664,	30,	
208374,	1.7064409372512521,	0,	46621,	31476,	15665,	30,	
210384,	1.7033684529587334,	0,	46782,	31476,	15665,	30,	
212398,	1.6933454803860135,	0,	46903,	31305,	15645,	30,	
214406,	1.6936050433704373,	0,	47243,	31620,	15765,	30,	
216426,	1.6986123966730677,	0,	47288,	31720,	15793,	30,	
218436,	1.7022019024584343,	0,	46770,	31476,	15656,	30,	
220441,	1.7037214581621738,	0,	47020,	31720,	15804,	30,	
222452,	1.7022616143590459,	0,	46729,	31476,	15690,	30,	
224455,	1.7057915610789838,	0,	54611,	36844,	18349,	30,	
226465,	1.69832570103187,	0,	66426,	44577,	22210,	30,	
228487,	1.6881031319768718,	0,	50645,	33694,	16818,	30,	
230498,	1.6924515784685912,	0,	51206,	34193,	17085,	30,	
232518,	1.6912198386979198,	0,	49796,	33149,	16586,	30,	
234536,	1.6918306503127962,	0,	48733,	32523,	16255,	30,	
236551,	1.6952885603489762,	0,	48354,	32376,	16138,	30,	
238559,	1.695810817858457,	0,	48128,	32184,	16100,	30,	
240567,	1.6929774577734906,	0,	49016,	32703,	16359,	30,	
242583,	1.6915366759923687,	0,	49108,	32725,	16353,	30,	
244595,	1.6929966637679699,	0,	49436,	33125,	16529,	30,	
246598,	1.691010647297727,	0,	47814,	31927,	15930,	30,	
248602,	1.6946342170053639,	0,	50117,	33488,	16713,	30,	
250621,	1.6946882152405642,	0,	49271,	32888,	16452,	30,	
252627,	1.6720143774957523,	0,	55036,	37207,	18790,	30,	
254633,	1.6942985675437507,	0,	61812,	41465,	20951,	30,	
