Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2360,	7207400.0,	13061,	0,	12933,	0,	0,	
4408,	3.51981E7,	63587,	0,	63215,	0,	0,	
6479,	4.11733E7,	74154,	0,	73963,	0,	0,	
8874,	4.40653E7,	79914,	0,	79547,	0,	0,	
10951,	3.95379E7,	71474,	0,	71179,	0,	0,	
12995,	3.93534E7,	71054,	0,	70858,	0,	0,	
15027,	3.9532E7,	71374,	0,	71223,	0,	0,	
17062,	4.1107E7,	74223,	0,	74004,	0,	0,	
19150,	4.18042E7,	75534,	0,	75313,	0,	0,	
21242,	4.14092E7,	74809,	0,	74507,	0,	0,	
23308,	4.16178E7,	75207,	0,	75031,	0,	0,	
25493,	4.3902E7,	79294,	0,	79064,	0,	0,	
27937,	4.83801E7,	87361,	0,	87029,	0,	0,	
30417,	4.86994E7,	87994,	0,	87701,	0,	0,	
32452,	4.0557E7,	73240,	0,	73043,	0,	0,	
34742,	4.39125E7,	79321,	0,	79078,	0,	0,	
36899,	4.26694E7,	77086,	0,	76840,	0,	0,	
38941,	4.0322E7,	72834,	0,	72696,	0,	0,	
41146,	4.35696E7,	78732,	0,	78703,	0,	0,	
43186,	3.54847E7,	64180,	0,	64121,	0,	0,	
45577,	4.23095E7,	76499,	0,	75971,	0,	0,	
48577,	5.62847E7,	101762,	0,	102161,	0,	0,	
50905,	3.77626E7,	68284,	0,	68093,	0,	0,	
52928,	3.95802E7,	71521,	0,	71229,	0,	0,	
54982,	4.0528E7,	73218,	0,	72993,	0,	0,	
57100,	4.14424E7,	74851,	0,	74542,	0,	0,	
59373,	4.45937E7,	80544,	0,	80247,	0,	0,	
61494,	4.15249E7,	74969,	0,	74669,	0,	0,	
63547,	4.06518E7,	73402,	0,	73205,	0,	0,	
65575,	4.02903E7,	72771,	0,	72528,	0,	0,	
67683,	4.08057E7,	73659,	0,	73421,	0,	0,	
69904,	4.39695E7,	79435,	0,	79203,	0,	0,	
71946,	4.03879E7,	73003,	0,	72759,	0,	0,	
74002,	4.05572E7,	73292,	0,	73092,	0,	0,	
76113,	4.1843E7,	75592,	0,	75358,	0,	0,	
78241,	4.1683E7,	75320,	0,	75127,	0,	0,	
80323,	4.11407E7,	74296,	0,	74062,	0,	0,	
82361,	3.99505E7,	72205,	0,	71963,	0,	0,	
84508,	4.15605E7,	73858,	0,	73612,	0,	0,	
86591,	4.0849E7,	74987,	0,	74476,	0,	0,	
88759,	4.19949E7,	75901,	0,	75378,	0,	0,	
91147,	4.64924E7,	84069,	0,	83812,	0,	0,	
93395,	4.44508E7,	80314,	0,	80154,	0,	0,	
95989,	5.01737E7,	90703,	0,	90321,	0,	0,	
98113,	4.18827E7,	75826,	0,	75590,	0,	0,	
100118,	3.72027E7,	67119,	0,	66858,	0,	0,	
102125,	0.5974405812035202,	11,	32666,	21734,	10886,	70,	
104132,	0.5822110972303223,	0,	72034,	48079,	24013,	70,	
106189,	0.581906317907597,	0,	73993,	49388,	24655,	70,	
108195,	0.5814287281516342,	0,	72284,	48187,	24085,	70,	
