Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2452,	4054900.0,	7276,	0,	6739,	0,	0,	
4535,	3.31811E7,	60019,	0,	59797,	0,	0,	
6599,	4.08921E7,	73898,	0,	73656,	0,	0,	
8632,	4.05126E7,	73261,	0,	73064,	0,	0,	
10665,	4.03811E7,	72964,	0,	72795,	0,	0,	
12729,	4.11919E7,	74406,	0,	74179,	0,	0,	
14797,	4.12367E7,	74466,	0,	74280,	0,	0,	
16812,	4.00263E7,	72310,	0,	72056,	0,	0,	
18838,	4.05566E7,	73245,	0,	73049,	0,	0,	
20906,	4.13017E7,	74590,	0,	74367,	0,	0,	
22950,	4.07424E7,	73596,	0,	73414,	0,	0,	
24999,	4.10266E7,	74096,	0,	73904,	0,	0,	
27081,	4.16191E7,	73963,	0,	73764,	0,	0,	
29129,	4.09914E7,	75311,	0,	75090,	0,	0,	
31147,	4.03377E7,	72874,	0,	72655,	0,	0,	
33164,	4.03064E7,	72824,	0,	72643,	0,	0,	
35210,	4.091E7,	73896,	0,	73629,	0,	0,	
37296,	4.16068E7,	75151,	0,	74853,	0,	0,	
39786,	4.673E7,	84717,	0,	85049,	0,	0,	
42285,	3.54507E7,	64688,	0,	67686,	0,	0,	
44621,	3.57745E7,	65336,	0,	66498,	0,	0,	
46855,	4.13353E7,	75012,	0,	74887,	0,	0,	
48970,	4.07328E7,	73750,	0,	74296,	0,	0,	
51079,	4.14456E7,	74993,	0,	75166,	0,	0,	
53131,	4.11491E7,	74367,	0,	74194,	0,	0,	
55210,	4.12471E7,	74561,	0,	74336,	0,	0,	
57342,	4.22793E7,	76420,	0,	76602,	0,	0,	
59434,	4.15882E7,	75100,	0,	75323,	0,	0,	
61474,	4.08202E7,	73718,	0,	73547,	0,	0,	
63540,	4.14108E7,	74790,	0,	74607,	0,	0,	
65586,	4.09866E7,	74108,	0,	73908,	0,	0,	
67632,	4.08986E7,	73878,	0,	73674,	0,	0,	
69666,	4.07528E7,	73615,	0,	72987,	0,	0,	
71791,	4.18604E7,	75300,	0,	75075,	0,	0,	
74111,	4.50491E7,	81880,	0,	82660,	0,	0,	
76552,	4.27397E7,	77737,	0,	78668,	0,	0,	
78989,	4.46839E7,	80882,	0,	78873,	0,	0,	
81122,	3.89097E7,	70367,	0,	68689,	0,	0,	
83306,	4.35096E7,	78614,	0,	78853,	0,	0,	
85335,	4.01606E7,	72585,	0,	72781,	0,	0,	
87408,	4.1108E7,	74307,	0,	74162,	0,	0,	
89450,	4.09547E7,	74045,	0,	73890,	0,	0,	
91496,	4.10692E7,	73529,	0,	73261,	0,	0,	
93582,	4.17788E7,	76103,	0,	75594,	0,	0,	
95610,	4.06786E7,	73512,	0,	73037,	0,	0,	
97702,	4.18942E7,	75687,	0,	75334,	0,	0,	
99741,	4.08152E7,	73723,	0,	73421,	0,	0,	
101752,	3.1527393656910516,	9252,	30470,	31029,	11001,	40,	
103765,	1.4478429600149703,	0,	72838,	48607,	24284,	40,	
105813,	1.4498933384688637,	0,	74202,	49506,	24735,	40,	
107819,	1.4502641631832778,	0,	73006,	48683,	24310,	40,	
109834,	1.450022733271794,	0,	71943,	47997,	24001,	40,	
111862,	1.4509986430764787,	0,	73335,	48921,	24449,	40,	
113879,	1.449533920315988,	0,	72980,	48590,	24265,	40,	
115890,	1.4498542925194526,	0,	72848,	48490,	24242,	40,	
117942,	1.4503922259279804,	0,	73900,	49233,	24607,	40,	
119955,	1.4500306169923145,	0,	73015,	48620,	24292,	40,	
121975,	1.450185110955114,	0,	73121,	48727,	24332,	40,	
123984,	1.4495902967925183,	0,	72893,	48530,	24250,	40,	
126001,	1.449795976882168,	0,	73102,	48675,	24341,	40,	
128014,	1.4492042730210142,	0,	71965,	47883,	23936,	40,	
130028,	1.4500293688846055,	0,	72713,	48380,	24205,	40,	
132061,	1.4499766880623437,	0,	73546,	48982,	24472,	40,	
134077,	1.450721466899453,	0,	72679,	48412,	24203,	40,	
136093,	1.4495339047631555,	0,	71583,	47774,	23811,	40,	
138126,	1.4629467962089433,	0,	71924,	48607,	23932,	40,	
140194,	1.4929564927574595,	0,	68085,	47052,	23009,	40,	
142254,	1.476058502350658,	0,	68668,	47756,	23831,	40,	
144317,	1.4697884403528496,	0,	71066,	48913,	24541,	40,	
146386,	1.475883359888319,	0,	71217,	49294,	24587,	40,	
148446,	1.4761949370998773,	0,	71414,	49242,	24525,	40,	
150468,	1.4781417525704164,	0,	70935,	48686,	24178,	40,	
152491,	1.468719825882966,	0,	71947,	48714,	24291,	40,	
154499,	1.4508847629063542,	0,	72941,	48619,	24280,	40,	
156520,	1.4489351605911884,	0,	73358,	48852,	24403,	40,	
158530,	1.4491037384153194,	0,	72707,	48402,	24190,	40,	
160572,	1.45593361509106,	0,	73730,	49141,	24550,	40,	
162590,	1.4495804374531545,	0,	73206,	48724,	24356,	40,	
164623,	1.4520234743182812,	0,	73505,	48922,	24524,	40,	
166651,	1.4637671188575936,	0,	72828,	48743,	24459,	40,	
168683,	1.4666857649632927,	0,	72553,	48615,	24446,	40,	
170715,	1.4716965986589177,	0,	72006,	48873,	24133,	40,	
172751,	1.4803096315961848,	0,	70746,	48523,	23921,	40,	
174826,	1.4934448875372357,	0,	70863,	48712,	24469,	40,	
176907,	1.4949786733268353,	0,	70801,	48233,	24434,	40,	
178935,	1.487082422137936,	0,	69364,	47500,	24051,	40,	
180973,	1.4764515030722345,	0,	69814,	48207,	24098,	40,	
183020,	1.4570268946240357,	0,	73307,	49290,	24546,	40,	
185037,	1.4543560167692287,	0,	72540,	48698,	24263,	40,	
187051,	1.451939926609222,	0,	72753,	48674,	24295,	40,	
189083,	1.4503459384811042,	0,	73237,	49026,	24524,	40,	
191114,	1.4503967361213725,	0,	73564,	49072,	24528,	40,	
193131,	1.4534288045496337,	0,	72470,	48249,	24200,	40,	
195162,	1.4506163335617233,	0,	73719,	49089,	24506,	40,	
197188,	1.4498852234442898,	0,	73312,	48814,	24352,	40,	
199205,	1.4516965010942413,	0,	73142,	48595,	24331,	40,	
