Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
2489,	8040400.0,	14606,	0,	15678,	0,	0,	
3686,	1.76113E7,	31987,	0,	32282,	0,	0,	
4913,	2.38835E7,	43163,	0,	43047,	0,	0,	
5935,	2.0668E7,	37396,	0,	37323,	0,	0,	
6953,	2.04146E7,	36901,	0,	36782,	0,	0,	
7983,	2.06693E7,	37350,	0,	37278,	0,	0,	
9075,	2.12979E7,	38343,	0,	38246,	0,	0,	
10179,	2.16761E7,	39298,	0,	39158,	0,	0,	
11301,	2.25184E7,	40676,	0,	40553,	0,	0,	
12676,	2.73941E7,	49476,	0,	49333,	0,	0,	
14111,	2.67671E7,	48393,	0,	48285,	0,	0,	
15371,	2.42354E7,	43783,	0,	43645,	0,	0,	
17073,	3.17015E7,	57237,	0,	56795,	0,	0,	
18961,	3.57537E7,	64561,	0,	64221,	0,	0,	
21249,	4.27893E7,	77262,	0,	77025,	0,	0,	
22509,	2.46888E7,	44605,	0,	44402,	0,	0,	
23641,	2.27097E7,	41026,	0,	40910,	0,	0,	
24746,	2.21026E7,	39742,	0,	39629,	0,	0,	
25774,	2.05541E7,	37313,	0,	37234,	0,	0,	
26986,	2.40367E7,	42364,	0,	42212,	0,	0,	
28154,	2.31661E7,	43094,	0,	42988,	0,	0,	
29372,	2.34135E7,	42285,	0,	42165,	0,	0,	
30433,	2.07165E7,	37441,	0,	37324,	0,	0,	
31601,	2.25479E7,	40738,	0,	40581,	0,	0,	
33158,	2.91191E7,	52417,	0,	52199,	0,	0,	
34522,	2.73158E7,	49536,	0,	49399,	0,	0,	
35759,	2.47838E7,	44771,	0,	44649,	0,	0,	
37463,	3.34745E7,	60476,	0,	60243,	0,	0,	
38956,	2.90621E7,	52484,	0,	52339,	0,	0,	
40938,	3.86361E7,	69816,	0,	69648,	0,	0,	
42619,	3.31744E7,	59926,	0,	59728,	0,	0,	
43824,	2.35779E7,	42995,	0,	42843,	0,	0,	
45084,	2.25333E7,	35599,	0,	35397,	0,	0,	
46397,	1.32043E7,	29325,	0,	28881,	0,	0,	
47412,	1.52526E7,	27759,	0,	27842,	0,	0,	
48439,	2.01348E7,	36349,	0,	36199,	0,	0,	
49500,	2.12012E7,	38264,	0,	38048,	0,	0,	
50527,	1.9709E7,	35633,	0,	35456,	0,	0,	
51547,	2.04313E7,	36922,	0,	36786,	0,	0,	
52579,	2.06761E7,	37348,	0,	37214,	0,	0,	
53614,	2.07109E7,	37397,	0,	37274,	0,	0,	
54646,	2.03336E7,	36716,	0,	36609,	0,	0,	
55682,	1.9477E7,	35164,	0,	35024,	0,	0,	
56706,	1.97931E7,	35759,	0,	35633,	0,	0,	
57743,	2.0546E7,	37102,	0,	36996,	0,	0,	
58775,	2.07141E7,	37408,	0,	37302,	0,	0,	
59969,	2.34432E7,	42347,	0,	42273,	0,	0,	
61067,	2.11277E7,	38162,	0,	38041,	0,	0,	
62088,	2.03627E7,	36795,	0,	36691,	0,	0,	
63108,	2.03419E7,	36783,	0,	36660,	0,	0,	
64136,	2.02075E7,	36405,	0,	36316,	0,	0,	
65170,	2.08594E7,	37781,	0,	37639,	0,	0,	
66247,	2.13124E7,	38481,	0,	38375,	0,	0,	
67438,	2.36826E7,	42807,	0,	42685,	0,	0,	
68764,	2.65E7,	47874,	0,	47725,	0,	0,	
70057,	2.47511E7,	44572,	0,	44478,	0,	0,	
71552,	2.5152320648565953,	39,	33552,	22315,	11163,	20,	
72816,	2.5201947358644614,	0,	45060,	30033,	15004,	20,	
73915,	2.5190282965589215,	0,	39256,	26107,	13038,	20,	
74947,	2.519505246368028,	0,	37322,	24866,	12420,	20,	
75959,	2.5185218777942633,	0,	36604,	24384,	12176,	20,	
76975,	2.518035902096868,	0,	36121,	24046,	12022,	20,	
77990,	2.5201009759913005,	0,	36987,	24626,	12313,	20,	
79022,	2.521801420467131,	0,	35891,	23977,	11967,	20,	
80044,	2.5193986689938663,	0,	36960,	24631,	12316,	20,	
81073,	2.5199676687305175,	0,	36658,	24408,	12196,	20,	
82088,	2.5185147463426474,	0,	36132,	24063,	12021,	20,	
83103,	2.5184966923545917,	0,	36789,	24480,	12243,	20,	
84118,	2.522074641881028,	0,	36987,	24628,	12313,	20,	
85131,	2.5173894418368308,	0,	36860,	24578,	12269,	20,	
86139,	2.5181295002922943,	0,	36624,	24397,	12194,	20,	
87181,	2.520046908934344,	0,	37835,	25181,	12579,	20,	
88245,	2.518625030988496,	0,	38361,	25575,	12780,	20,	
89267,	2.519999312883623,	0,	36675,	24413,	12176,	20,	
90281,	2.51838858246174,	0,	36679,	24406,	12198,	20,	
91296,	2.519940953323348,	0,	37008,	24644,	12319,	20,	
92302,	2.5205472546445877,	0,	36500,	24327,	12165,	20,	
93309,	2.5183505827939694,	0,	36319,	24178,	12085,	20,	
94314,	2.5188851141705038,	0,	36403,	24232,	12103,	20,	
95322,	2.5188658884983006,	0,	35539,	23675,	11822,	20,	
96331,	2.518479527930018,	0,	36742,	24470,	12225,	20,	
97340,	2.5191290147512415,	0,	36723,	24484,	12224,	20,	
98354,	2.522627369877879,	0,	36879,	24572,	12285,	20,	
99370,	2.5174628045429834,	0,	37106,	24705,	12323,	20,	
