Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
934,	2230600.0,	4071,	0,	4258,	0,	0,	
2943,	3.71207E7,	67158,	0,	66905,	0,	0,	
5362,	4.52516E7,	81905,	0,	81062,	0,	0,	
7492,	4.24765E7,	76852,	0,	76407,	0,	0,	
9509,	4.01681E7,	72620,	0,	72204,	0,	0,	
11518,	4.0105E7,	72499,	0,	72142,	0,	0,	
13525,	3.87222E7,	70039,	0,	69767,	0,	0,	
15534,	4.02154E7,	72708,	0,	72459,	0,	0,	
17540,	4.02661E7,	72771,	0,	72573,	0,	0,	
19551,	4.03911E7,	73020,	0,	72786,	0,	0,	
21556,	3.93038E7,	71071,	0,	70904,	0,	0,	
23560,	4.02533E7,	72776,	0,	72557,	0,	0,	
25566,	4.04298E7,	73141,	0,	72924,	0,	0,	
27573,	4.05376E7,	73348,	0,	73157,	0,	0,	
29576,	4.01144E7,	72584,	0,	72407,	0,	0,	
31580,	4.03115E7,	72946,	0,	72739,	0,	0,	
33586,	3.95722E7,	71573,	0,	71349,	0,	0,	
35591,	4.01764E7,	72684,	0,	72500,	0,	0,	
37607,	4.03251E7,	72926,	0,	72949,	0,	0,	
39612,	3.9797E7,	71971,	0,	71833,	0,	0,	
41629,	4.03985E7,	73048,	0,	72646,	0,	0,	
43633,	3.989E7,	72144,	0,	71656,	0,	0,	
45653,	4.05531E7,	73411,	0,	72965,	0,	0,	
47660,	4.04255E7,	73149,	0,	72831,	0,	0,	
49689,	4.06863E7,	73581,	0,	73143,	0,	0,	
51738,	4.0734E7,	73611,	0,	73004,	0,	0,	
53744,	3.9312E7,	71113,	0,	70831,	0,	0,	
55750,	4.02952E7,	72889,	0,	72639,	0,	0,	
57769,	4.04392E7,	73153,	0,	72923,	0,	0,	
59799,	4.08909E7,	73942,	0,	73737,	0,	0,	
61958,	3.75596E7,	68123,	0,	67953,	0,	0,	
