Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
525,	280400.0,	396,	0,	366,	0,	0,	
2551,	4.03625E7,	73105,	0,	72862,	0,	0,	
4560,	3.87786E7,	70070,	0,	69854,	0,	0,	
6565,	4.04817E7,	73211,	0,	73037,	0,	0,	
8573,	4.05533E7,	73400,	0,	73197,	0,	0,	
10583,	4.06132E7,	73554,	0,	73354,	0,	0,	
12590,	4.05482E7,	73381,	0,	73176,	0,	0,	
14595,	4.05128E7,	73333,	0,	73128,	0,	0,	
16603,	4.0537E7,	73453,	0,	73237,	0,	0,	
18608,	4.03726E7,	73128,	0,	72972,	0,	0,	
20616,	4.05201E7,	73371,	0,	73157,	0,	0,	
22623,	4.055E7,	73341,	0,	73131,	0,	0,	
24631,	4.05904E7,	73399,	0,	73233,	0,	0,	
26638,	4.05608E7,	73370,	0,	73163,	0,	0,	
28646,	4.05948E7,	73430,	0,	73237,	0,	0,	
30652,	4.04928E7,	73238,	0,	73030,	0,	0,	
32658,	4.05631E7,	73336,	0,	73118,	0,	0,	
34665,	4.05899E7,	73400,	0,	73200,	0,	0,	
36670,	4.05504E7,	73334,	0,	73140,	0,	0,	
38675,	4.04635E7,	73177,	0,	72988,	0,	0,	
40700,	4.08467E7,	73862,	0,	73685,	0,	0,	
42735,	4.05412E7,	73243,	0,	72812,	0,	0,	
44806,	4.04251E7,	73122,	0,	72588,	0,	0,	
46814,	3.98835E7,	72127,	0,	71721,	0,	0,	
48822,	4.03022E7,	72891,	0,	72638,	0,	0,	
50829,	4.03684E7,	73002,	0,	72810,	0,	0,	
52867,	4.05045E7,	73293,	0,	73212,	0,	0,	
54872,	4.04098E7,	73077,	0,	72941,	0,	0,	
56880,	3.96942E7,	71746,	0,	71894,	0,	0,	
58888,	3.97872E7,	71915,	0,	72064,	0,	0,	
60905,	3.99023E7,	72109,	0,	72106,	0,	0,	
62916,	3.80546E7,	68850,	0,	69145,	0,	0,	
64922,	4.03778E7,	73000,	0,	72887,	0,	0,	
66928,	4.00982E7,	72501,	0,	72507,	0,	0,	
68936,	4.02943E7,	72825,	0,	72688,	0,	0,	
70944,	3.98864E7,	72111,	0,	72080,	0,	0,	
73237,	3.80634E7,	68957,	0,	70218,	0,	0,	
75354,	3.63893E7,	65833,	0,	66729,	0,	0,	
77719,	3.53487E7,	64230,	0,	64013,	0,	0,	
79738,	3.65104E7,	66009,	0,	66609,	0,	0,	
81919,	3.41823E7,	61634,	0,	62950,	0,	0,	
83946,	3.169E7,	57179,	0,	59611,	0,	0,	
86159,	3.70876E7,	67336,	0,	67847,	0,	0,	
88170,	3.68842E7,	66827,	0,	67049,	0,	0,	
