Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1842,	949000.0,	1667,	0,	1605,	0,	0,	
3858,	4.05495E7,	73289,	0,	73115,	0,	0,	
5865,	4.05758E7,	73348,	0,	73175,	0,	0,	
7871,	4.05409E7,	73316,	0,	73138,	0,	0,	
9878,	4.0567E7,	73367,	0,	73154,	0,	0,	
11884,	4.04448E7,	73114,	0,	72916,	0,	0,	
13890,	4.04874E7,	73172,	0,	73022,	0,	0,	
15906,	4.08216E7,	73767,	0,	73566,	0,	0,	
17912,	4.05438E7,	73292,	0,	73056,	0,	0,	
19928,	4.06562E7,	73497,	0,	73309,	0,	0,	
21952,	4.05429E7,	73221,	0,	72999,	0,	0,	
23963,	4.05146E7,	73191,	0,	73032,	0,	0,	
25970,	4.06038E7,	73370,	0,	73171,	0,	0,	
27986,	4.07136E7,	73591,	0,	73333,	0,	0,	
29996,	4.0623E7,	73443,	0,	73255,	0,	0,	
32004,	4.06041E7,	73396,	0,	73191,	0,	0,	
34015,	4.07117E7,	73583,	0,	73432,	0,	0,	
36029,	4.0683E7,	73558,	0,	73316,	0,	0,	
38039,	4.05228E7,	73224,	0,	73074,	0,	0,	
40074,	4.08198E7,	73760,	0,	73700,	0,	0,	
42165,	4.09927E7,	74115,	0,	73696,	0,	0,	
44204,	3.87645E7,	70074,	0,	68582,	0,	0,	
46216,	3.98136E7,	71929,	0,	71500,	0,	0,	
48236,	3.98441E7,	72056,	0,	71664,	0,	0,	
50246,	4.00341E7,	72341,	0,	72015,	0,	0,	
52267,	4.0804E7,	73733,	0,	73521,	0,	0,	
54275,	4.03344E7,	72911,	0,	72673,	0,	0,	
56293,	4.0759E7,	73632,	0,	73436,	0,	0,	
58309,	4.04776E7,	73131,	0,	73001,	0,	0,	
60335,	4.08391E7,	73782,	0,	73651,	0,	0,	
62343,	4.05437E7,	73233,	0,	73019,	0,	0,	
64358,	4.06287E7,	73430,	0,	73230,	0,	0,	
66364,	4.05203E7,	73208,	0,	72996,	0,	0,	
68371,	4.05416E7,	73223,	0,	73103,	0,	0,	
70377,	4.04278E7,	73058,	0,	72897,	0,	0,	
72400,	4.08542E7,	73835,	0,	73646,	0,	0,	
74411,	4.04753E7,	73127,	0,	73020,	0,	0,	
76463,	4.12016E7,	74409,	0,	74267,	0,	0,	
78488,	3.99115E7,	72172,	0,	72211,	0,	0,	
80527,	4.00701E7,	72421,	0,	72784,	0,	0,	
82543,	3.98236E7,	71942,	0,	72468,	0,	0,	
84569,	4.07028E7,	73564,	0,	73439,	0,	0,	
86582,	4.01163E7,	72521,	0,	72512,	0,	0,	
88616,	4.07991E7,	73757,	0,	73845,	0,	0,	
90629,	4.05133E7,	73202,	0,	73052,	0,	0,	
92639,	4.05893E7,	73350,	0,	73121,	0,	0,	
94652,	4.06636E7,	73478,	0,	73244,	0,	0,	
96659,	4.05873E7,	73338,	0,	73136,	0,	0,	
98689,	4.09003E7,	73914,	0,	73709,	0,	0,	
100979,	16.60480243348062,	47971,	16582,	58784,	5514,	90,	
102983,	0.5631547182028351,	0,	73019,	48795,	24336,	90,	
104987,	0.5628063331264734,	0,	72819,	48638,	24284,	90,	
106992,	0.5630443281302957,	0,	72671,	48496,	24203,	90,	
108999,	0.5630124775109216,	0,	73041,	48796,	24340,	90,	
111007,	0.5630575615718483,	0,	73076,	48804,	24367,	90,	
113015,	0.5632254188851681,	0,	72795,	48679,	24268,	90,	
115025,	0.5630708203022665,	0,	73021,	48809,	24364,	90,	
117030,	0.5628763877345871,	0,	73048,	48791,	24356,	90,	
119037,	0.56282141802268,	0,	73096,	48809,	24374,	90,	
121042,	0.5628553387468286,	0,	72802,	48647,	24292,	90,	
123048,	0.5634192042029302,	0,	72951,	48772,	24341,	90,	
125052,	0.5628534566898984,	0,	72836,	48632,	24349,	90,	
127057,	0.5634263601456914,	0,	72320,	48349,	24134,	90,	
129062,	0.5638969598951976,	0,	72609,	48561,	24225,	90,	
131069,	0.5630072725143604,	0,	72928,	48718,	24281,	90,	
133075,	0.5627643220069929,	0,	73043,	48739,	24332,	90,	
135081,	0.5627914499819665,	0,	72892,	48704,	24296,	90,	
137088,	0.5636477490751948,	0,	72964,	48800,	24340,	90,	
139094,	0.5634987303666662,	0,	72962,	48781,	24317,	90,	
141103,	0.5633110017750418,	0,	72049,	48466,	24006,	90,	
143118,	0.5607492563361752,	0,	72758,	48648,	24209,	90,	
145167,	0.5604372137249289,	0,	72629,	49016,	24340,	90,	
147180,	0.5612684546556161,	0,	71358,	48237,	23951,	90,	
149200,	0.5598354681389217,	0,	72482,	48728,	24218,	90,	
151210,	0.5605283411124417,	0,	72697,	48723,	24285,	90,	
153219,	0.5624621791844387,	0,	72860,	48671,	24268,	90,	
155231,	0.5621663753569645,	0,	73078,	48832,	24356,	90,	
157240,	0.5627981458347302,	0,	72932,	48763,	24316,	90,	
159246,	0.5624810743685985,	0,	72950,	48711,	24305,	90,	
161250,	0.5622764214621038,	0,	72427,	48392,	24150,	90,	
163255,	0.5624178661901168,	0,	73120,	48794,	24350,	90,	
165264,	0.5618889720369875,	0,	72735,	48575,	24236,	90,	
167307,	0.5610173308571946,	0,	74110,	49525,	24709,	90,	
169313,	0.5609933266460886,	0,	71270,	47564,	23735,	90,	
171320,	0.5613296266972385,	0,	72738,	48541,	24217,	90,	
173327,	0.5621158472434343,	0,	73066,	48768,	24320,	90,	
175355,	0.5619245702999539,	0,	73759,	49252,	24572,	90,	
177372,	0.5623167088451919,	0,	73343,	49012,	24448,	90,	
179424,	0.5631449001064643,	0,	73743,	49380,	24668,	90,	
181473,	0.5628980447817032,	0,	72999,	48955,	24437,	90,	
183480,	0.5618279535394335,	0,	70130,	47305,	23560,	90,	
185492,	0.561652646172914,	0,	72442,	48399,	24181,	90,	
187500,	0.5615503785687151,	0,	72469,	48395,	24194,	90,	
189505,	0.5626526757307874,	0,	72832,	48658,	24284,	90,	
191511,	0.5626601199802459,	0,	72957,	48737,	24335,	90,	
193518,	0.5630726733048405,	0,	73003,	48777,	24349,	90,	
195524,	0.5621755566878611,	0,	73027,	48733,	24321,	90,	
197529,	0.5626594184535552,	0,	72886,	48653,	24300,	90,	
199532,	0.5608010665998491,	0,	71997,	48363,	24089,	90,	
