Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
3277,	8658600.0,	15685,	0,	15939,	0,	0,	
4308,	2.07265E7,	37470,	0,	37408,	0,	0,	
5325,	2.045E7,	36942,	0,	36862,	0,	0,	
6355,	2.06894E7,	37397,	0,	37283,	0,	0,	
7371,	2.04681E7,	36995,	0,	36905,	0,	0,	
8405,	2.07519E7,	37511,	0,	37407,	0,	0,	
9437,	2.08775E7,	37729,	0,	37665,	0,	0,	
10468,	2.06729E7,	37342,	0,	37272,	0,	0,	
11481,	2.03022E7,	36672,	0,	36585,	0,	0,	
12520,	2.07619E7,	37573,	0,	37510,	0,	0,	
13534,	2.04521E7,	36956,	0,	36812,	0,	0,	
14547,	2.03616E7,	36789,	0,	36715,	0,	0,	
15593,	2.10965E7,	38090,	0,	37948,	0,	0,	
16614,	2.05444E7,	37095,	0,	36996,	0,	0,	
17634,	2.05146E7,	37080,	0,	36984,	0,	0,	
18658,	2.06926E7,	37399,	0,	37287,	0,	0,	
19673,	2.04752E7,	36992,	0,	36861,	0,	0,	
20693,	2.05606E7,	37134,	0,	37059,	0,	0,	
21759,	2.13375E7,	37342,	0,	37237,	0,	0,	
22781,	2.06098E7,	38419,	0,	38273,	0,	0,	
23793,	2.05356E7,	37082,	0,	36976,	0,	0,	
24803,	2.02704E7,	36607,	0,	36514,	0,	0,	
25819,	2.05359E7,	37081,	0,	36998,	0,	0,	
26827,	2.03698E7,	36783,	0,	36690,	0,	0,	
27855,	2.07746E7,	37530,	0,	37403,	0,	0,	
28868,	2.04197E7,	36884,	0,	36762,	0,	0,	
29883,	2.04928E7,	37012,	0,	36928,	0,	0,	
30906,	2.09167E7,	37780,	0,	37677,	0,	0,	
31939,	2.06466E7,	37286,	0,	37167,	0,	0,	
32968,	2.07089E7,	37421,	0,	37332,	0,	0,	
34015,	2.11304E7,	38190,	0,	38109,	0,	0,	
35037,	2.05501E7,	37120,	0,	37099,	0,	0,	
36066,	2.06539E7,	37312,	0,	37190,	0,	0,	
37098,	2.07344E7,	37433,	0,	37399,	0,	0,	
