Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1465,	1093300.0,	1923,	0,	2010,	0,	0,	
2674,	2.19888E7,	39746,	0,	39596,	0,	0,	
3687,	1.87518E7,	33876,	0,	33638,	0,	0,	
4698,	2.03189E7,	36695,	0,	36602,	0,	0,	
5718,	2.05625E7,	37126,	0,	37117,	0,	0,	
6724,	2.01946E7,	36472,	0,	36310,	0,	0,	
7743,	2.0563E7,	37153,	0,	37085,	0,	0,	
8771,	2.0754E7,	37483,	0,	37403,	0,	0,	
9790,	2.05288E7,	37068,	0,	36949,	0,	0,	
10821,	2.07342E7,	37447,	0,	37345,	0,	0,	
11839,	2.05534E7,	37219,	0,	37069,	0,	0,	
12854,	2.04118E7,	36885,	0,	36808,	0,	0,	
13885,	2.0744E7,	37466,	0,	37365,	0,	0,	
14897,	2.03849E7,	36821,	0,	36697,	0,	0,	
15912,	2.03857E7,	36811,	0,	36743,	0,	0,	
16933,	2.06154E7,	37232,	0,	37090,	0,	0,	
17963,	2.08166E7,	37592,	0,	37498,	0,	0,	
18983,	2.05476E7,	37107,	0,	36995,	0,	0,	
20007,	2.06234E7,	37238,	0,	37167,	0,	0,	
21028,	2.05797E7,	37172,	0,	37097,	0,	0,	
22042,	2.02353E7,	36551,	0,	36432,	0,	0,	
23057,	2.04987E7,	37075,	0,	36970,	0,	0,	
24085,	2.08752E7,	37741,	0,	37630,	0,	0,	
25114,	2.0531E7,	37110,	0,	37032,	0,	0,	
26127,	2.05127E7,	37053,	0,	36941,	0,	0,	
27154,	2.07166E7,	37430,	0,	37335,	0,	0,	
28170,	2.05158E7,	37064,	0,	36966,	0,	0,	
29178,	2.04817E7,	36986,	0,	36855,	0,	0,	
30203,	2.05701E7,	37149,	0,	37072,	0,	0,	
31222,	2.05893E7,	36987,	0,	36890,	0,	0,	
32247,	2.06826E7,	37544,	0,	37399,	0,	0,	
33265,	2.05331E7,	37093,	0,	37007,	0,	0,	
34286,	2.05024E7,	37042,	0,	36930,	0,	0,	
35303,	2.04592E7,	36948,	0,	36860,	0,	0,	
36347,	2.08754E7,	37696,	0,	37612,	0,	0,	
37444,	2.15848E7,	39018,	0,	39124,	0,	0,	
38745,	2.30827E7,	41829,	0,	42597,	0,	0,	
40164,	2.18189E7,	39424,	0,	38972,	0,	0,	
41513,	1.91013E7,	34692,	0,	34393,	0,	0,	
42881,	2.0389E7,	36986,	0,	36968,	0,	0,	
44199,	2.15165E7,	38961,	0,	40303,	0,	0,	
45497,	2.24618E7,	40609,	0,	42520,	0,	0,	
46635,	2.07126E7,	37510,	0,	38593,	0,	0,	
47779,	2.16918E7,	39286,	0,	39836,	0,	0,	
48917,	2.11778E7,	38388,	0,	38778,	0,	0,	
50015,	2.01468E7,	36508,	0,	36712,	0,	0,	
51083,	2.01112E7,	36412,	0,	36574,	0,	0,	
52285,	2.33426E7,	42202,	0,	42052,	0,	0,	
53507,	2.40156E7,	43393,	0,	43146,	0,	0,	
54616,	2.19756E7,	39730,	0,	39655,	0,	0,	
55630,	2.04603E7,	37065,	0,	36950,	0,	0,	
56672,	2.08805E7,	37802,	0,	37691,	0,	0,	
57697,	2.06927E7,	37391,	0,	37258,	0,	0,	
58732,	2.07818E7,	37568,	0,	37501,	0,	0,	
59782,	2.12038E7,	38305,	0,	38164,	0,	0,	
60799,	2.05271E7,	37095,	0,	36973,	0,	0,	
61826,	2.07548E7,	37486,	0,	37446,	0,	0,	
62847,	2.05332E7,	37099,	0,	37018,	0,	0,	
63875,	2.07434E7,	37475,	0,	37372,	0,	0,	
64906,	2.07696E7,	37530,	0,	37405,	0,	0,	
65940,	2.07585E7,	37505,	0,	37391,	0,	0,	
66975,	2.07785E7,	37537,	0,	37433,	0,	0,	
68018,	2.08997E7,	37767,	0,	37716,	0,	0,	
69056,	2.08141E7,	37615,	0,	37707,	0,	0,	
70205,	1.88633E7,	33890,	0,	34053,	0,	0,	
71210,	0.0,	0,	0,	0,	0,	0,	
72216,	0.0,	0,	0,	0,	0,	0,	
73221,	0.0,	0,	0,	0,	0,	0,	
74225,	0.0,	0,	0,	0,	0,	0,	
75231,	0.0,	0,	0,	0,	0,	0,	
76236,	0.0,	0,	0,	0,	0,	0,	
77242,	0.0,	0,	0,	0,	0,	0,	
78247,	0.0,	0,	0,	0,	0,	0,	
79253,	0.0,	0,	0,	0,	0,	0,	
80259,	0.0,	0,	0,	0,	0,	0,	
81263,	0.0,	0,	0,	0,	0,	0,	
82268,	0.0,	0,	0,	0,	0,	0,	
83279,	0.0,	0,	0,	0,	0,	0,	
84286,	0.0,	0,	0,	0,	0,	0,	
85291,	0.0,	0,	0,	0,	0,	0,	
86295,	0.0,	0,	0,	0,	0,	0,	
87306,	0.0,	0,	0,	0,	0,	0,	
88311,	0.0,	0,	0,	0,	0,	0,	
89317,	0.0,	0,	0,	0,	0,	0,	
90323,	0.0,	0,	0,	0,	0,	0,	
91332,	0.0,	0,	0,	0,	0,	0,	
92339,	0.0,	0,	0,	0,	0,	0,	
93346,	0.0,	0,	0,	0,	0,	0,	
94353,	0.0,	0,	0,	0,	0,	0,	
95366,	0.0,	0,	0,	0,	0,	0,	
96372,	0.0,	0,	0,	0,	0,	0,	
97378,	0.0,	0,	0,	0,	0,	0,	
98383,	0.0,	0,	0,	0,	0,	0,	
99390,	0.0,	0,	0,	0,	0,	0,	
100393,	0.0,	0,	0,	0,	0,	0,	
101397,	0.0,	0,	0,	0,	0,	0,	
102400,	0.0,	0,	0,	0,	0,	0,	
103403,	0.0,	0,	0,	0,	0,	0,	
104406,	0.0,	0,	0,	0,	0,	0,	
105408,	0.0,	0,	0,	0,	0,	0,	
106411,	0.0,	0,	0,	0,	0,	0,	
107414,	0.0,	0,	0,	0,	0,	0,	
108417,	0.0,	0,	0,	0,	0,	0,	
109419,	0.0,	0,	0,	0,	0,	0,	
110422,	0.0,	0,	0,	0,	0,	0,	
111425,	0.0,	0,	0,	0,	0,	0,	
112428,	0.0,	0,	0,	0,	0,	0,	
113431,	0.0,	0,	0,	0,	0,	0,	
114433,	0.0,	0,	0,	0,	0,	0,	
