Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
1101,	165500.0,	222,	0,	209,	0,	0,	
3104,	3.89617E7,	70670,	0,	70443,	0,	0,	
5111,	4.05389E7,	73400,	0,	73200,	0,	0,	
7114,	4.04943E7,	73338,	0,	73147,	0,	0,	
9117,	4.0445E7,	73233,	0,	72998,	0,	0,	
11122,	4.04588E7,	73260,	0,	73085,	0,	0,	
13126,	4.05118E7,	73382,	0,	73168,	0,	0,	
15129,	4.039E7,	73142,	0,	72953,	0,	0,	
17135,	4.05444E7,	73400,	0,	73200,	0,	0,	
19141,	4.05541E7,	73400,	0,	73200,	0,	0,	
21147,	4.05664E7,	73383,	0,	73180,	0,	0,	
23152,	4.04825E7,	73285,	0,	73086,	0,	0,	
25156,	4.055E7,	73390,	0,	73188,	0,	0,	
27160,	4.04575E7,	73218,	0,	73025,	0,	0,	
29164,	4.05115E7,	73291,	0,	73097,	0,	0,	
31170,	4.05065E7,	73400,	0,	73200,	0,	0,	
33175,	4.04063E7,	73199,	0,	72998,	0,	0,	
35181,	4.05492E7,	73396,	0,	73200,	0,	0,	
37185,	4.04929E7,	73336,	0,	73133,	0,	0,	
39192,	4.04819E7,	73305,	0,	73119,	0,	0,	
41208,	4.07015E7,	73641,	0,	73439,	0,	0,	
43241,	4.0894E7,	73913,	0,	73687,	0,	0,	
45260,	4.04546E7,	73135,	0,	72895,	0,	0,	
47266,	4.04347E7,	73101,	0,	72890,	0,	0,	
49275,	4.05532E7,	73297,	0,	73082,	0,	0,	
51279,	4.05017E7,	73227,	0,	73076,	0,	0,	
53285,	4.05573E7,	73310,	0,	73129,	0,	0,	
55289,	4.0503E7,	73239,	0,	73061,	0,	0,	
57292,	4.04622E7,	73202,	0,	72989,	0,	0,	
59296,	4.05055E7,	73296,	0,	73129,	0,	0,	
61301,	4.05017E7,	73274,	0,	73077,	0,	0,	
63306,	4.04979E7,	73295,	0,	73115,	0,	0,	
65312,	4.05341E7,	73353,	0,	73135,	0,	0,	
67316,	4.04804E7,	73262,	0,	73092,	0,	0,	
69321,	4.04623E7,	73173,	0,	72979,	0,	0,	
71325,	4.05255E7,	73310,	0,	73115,	0,	0,	
73331,	4.05432E7,	73355,	0,	73155,	0,	0,	
75338,	4.05378E7,	73312,	0,	73116,	0,	0,	
77345,	4.05495E7,	73381,	0,	73176,	0,	0,	
79352,	4.04812E7,	73212,	0,	73007,	0,	0,	
81360,	4.06311E7,	73469,	0,	73288,	0,	0,	
83369,	4.05219E7,	73275,	0,	73040,	0,	0,	
85378,	4.0488E7,	73272,	0,	73040,	0,	0,	
87383,	4.02132E7,	72812,	0,	72479,	0,	0,	
89392,	4.0497E7,	73468,	0,	73272,	0,	0,	
91396,	4.03528E7,	73124,	0,	72957,	0,	0,	
93402,	4.05145E7,	73372,	0,	73153,	0,	0,	
95406,	4.04554E7,	73321,	0,	73133,	0,	0,	
97411,	4.05112E7,	73380,	0,	73177,	0,	0,	
99418,	4.05349E7,	73379,	0,	73203,	0,	0,	
101423,	5.215947223076843,	24465,	37671,	48752,	13391,	28,	
103430,	2.085389164224751,	5589,	67116,	49093,	23880,	28,	
105435,	2.084566695363575,	5572,	66941,	48954,	23819,	28,	
107440,	2.082968338540717,	5566,	66953,	48906,	23805,	28,	
109444,	2.080978720844904,	5565,	67005,	48872,	23779,	28,	
111451,	2.082652675640914,	5585,	67245,	49084,	23892,	28,	
113457,	2.081572774632489,	5516,	66468,	48527,	23619,	28,	
115461,	2.083216306103599,	5575,	67114,	49012,	23851,	28,	
117468,	2.084396904228556,	5549,	66815,	48801,	23747,	28,	
119472,	2.0839932308898277,	5567,	66898,	48852,	23790,	28,	
121476,	2.0841641656467744,	5572,	66976,	48935,	23822,	28,	
123481,	2.08400327642349,	5560,	66890,	48877,	23794,	28,	
125487,	2.080623470617157,	5573,	67139,	48988,	23843,	28,	
127492,	2.0820301213670565,	5559,	66902,	48849,	23755,	28,	
129496,	2.0852512574306448,	5585,	67119,	49059,	23877,	28,	
131501,	2.0822155807145295,	5572,	67043,	48949,	23830,	28,	
133507,	2.0834770435820853,	5582,	67120,	49011,	23849,	28,	
135512,	2.082252966896901,	5572,	67049,	48954,	23836,	28,	
137516,	2.082782635427404,	5532,	66620,	48655,	23681,	28,	
139526,	2.085356646265667,	5589,	67165,	49135,	23902,	28,	
141533,	2.079072215857143,	5599,	67495,	49184,	23959,	28,	
143540,	2.079517155901541,	5594,	67394,	49077,	23905,	28,	
145547,	2.0794090555154625,	5590,	67385,	49098,	23907,	28,	
147552,	2.083520428398179,	5578,	67145,	49052,	23851,	28,	
149558,	2.081764063864242,	5594,	67242,	49035,	23890,	28,	
151563,	2.084377710702995,	5595,	67245,	49182,	23913,	28,	
153568,	2.0808409028271564,	5599,	67379,	49181,	23898,	28,	
155573,	2.082382001548086,	5590,	67296,	49151,	23906,	28,	
157578,	2.0818190879515313,	5595,	67319,	49180,	23918,	28,	
159584,	2.0826289799954,	5600,	67349,	49198,	23935,	28,	
161590,	2.080485723115333,	5595,	67403,	49184,	23957,	28,	
163597,	2.0810972071046043,	5600,	67425,	49190,	23964,	28,	
165603,	2.0814414748234924,	5593,	67363,	49160,	23927,	28,	
167607,	2.0803232450116362,	5589,	67253,	49074,	23880,	28,	
169612,	2.0820681851563574,	5597,	67334,	49154,	23903,	28,	
171616,	2.083813945172843,	5590,	67232,	49162,	23918,	28,	
173625,	2.082718506355104,	5602,	67397,	49216,	23937,	28,	
175630,	2.083549750546189,	5593,	67289,	49153,	23925,	28,	
177639,	2.080755527120337,	5600,	67475,	49224,	23969,	28,	
179643,	2.08306882740659,	5585,	67185,	49085,	23898,	28,	
181650,	2.083267456945791,	5600,	67361,	49151,	23922,	28,	
183655,	2.082402983697228,	5582,	67291,	49038,	23917,	28,	
185662,	2.0830458041588717,	5594,	67312,	49139,	23945,	28,	
187668,	2.0829889065997884,	5595,	67322,	49186,	23927,	28,	
189674,	2.0827427447256883,	5599,	67341,	49160,	23893,	28,	
191679,	2.081396248511777,	5592,	67337,	49105,	23913,	28,	
193684,	2.0833144297210304,	5589,	67227,	49132,	23881,	28,	
195690,	2.0820521152369325,	5594,	67335,	49168,	23903,	28,	
197695,	2.080890454906117,	5594,	67313,	49097,	23916,	28,	
199702,	2.0858908119127535,	5599,	67213,	49170,	23905,	28,	
