Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
3997,	6695900.0,	12197,	0,	12492,	0,	0,	
6008,	3.97606E7,	84144,	0,	71732,	0,	0,	
8063,	3.13741E7,	56769,	0,	57693,	0,	0,	
10069,	3.76561E7,	68120,	0,	66975,	0,	0,	
12080,	3.92336E7,	70910,	0,	70779,	0,	0,	
14105,	3.98492E7,	72011,	0,	71795,	0,	0,	
16218,	4.02773E7,	72750,	0,	72524,	0,	0,	
19456,	6.04648E7,	109140,	0,	108732,	0,	0,	
21860,	4.59568E7,	83048,	0,	82620,	0,	0,	
23875,	3.62915E7,	65556,	0,	65331,	0,	0,	
25886,	4.02689E7,	72837,	0,	72642,	0,	0,	
27919,	4.06858E7,	73497,	0,	73265,	0,	0,	
29930,	4.03192E7,	72791,	0,	72635,	0,	0,	
31946,	4.01193E7,	72428,	0,	72184,	0,	0,	
33951,	4.03504E7,	72842,	0,	72675,	0,	0,	
35979,	4.07929E7,	73664,	0,	73466,	0,	0,	
37981,	4.02635E7,	72710,	0,	72500,	0,	0,	
39988,	4.01892E7,	72615,	0,	72412,	0,	0,	
41994,	4.02932E7,	72752,	0,	72567,	0,	0,	
44007,	4.03293E7,	72871,	0,	72668,	0,	0,	
46026,	3.87332E7,	69952,	0,	69756,	0,	0,	
48043,	3.8595E7,	69685,	0,	69412,	0,	0,	
50054,	3.90771E7,	70547,	0,	70370,	0,	0,	
52086,	3.95621E7,	71418,	0,	71185,	0,	0,	
54096,	3.9457E7,	71247,	0,	71099,	0,	0,	
56108,	3.98898E7,	72025,	0,	71841,	0,	0,	
58299,	4.29232E7,	77648,	0,	77376,	0,	0,	
60655,	4.08735E7,	73934,	0,	76492,	0,	0,	
62853,	3.99172E7,	72367,	0,	72155,	0,	0,	
64862,	3.78735E7,	68472,	0,	69017,	0,	0,	
66928,	4.12973E7,	74658,	0,	74129,	0,	0,	
68941,	4.03074E7,	72847,	0,	72502,	0,	0,	
70957,	4.00847E7,	72401,	0,	72231,	0,	0,	
72974,	4.05441E7,	73259,	0,	73085,	0,	0,	
74989,	4.06216E7,	73392,	0,	73197,	0,	0,	
77019,	4.08878E7,	73907,	0,	73719,	0,	0,	
79028,	4.05229E7,	73238,	0,	73010,	0,	0,	
81031,	3.96815E7,	71741,	0,	71561,	0,	0,	
83039,	3.97069E7,	71739,	0,	71503,	0,	0,	
85045,	4.05129E7,	73229,	0,	73023,	0,	0,	
87070,	4.00468E7,	72358,	0,	72069,	0,	0,	
89193,	4.18652E7,	75649,	0,	75548,	0,	0,	
91205,	4.04659E7,	73151,	0,	73034,	0,	0,	
93306,	4.21242E7,	76191,	0,	75924,	0,	0,	
95688,	4.46735E7,	80692,	0,	81948,	0,	0,	
97873,	4.06933E7,	73700,	0,	75023,	0,	0,	
99900,	3.94996E7,	71441,	0,	70989,	0,	0,	
101907,	1.5906964402759263,	3649,	43062,	32048,	14371,	50,	
103911,	1.090744727014599,	0,	72522,	48318,	24146,	50,	
105915,	1.0908304899963714,	0,	73004,	48657,	24314,	50,	
107919,	1.090341546708338,	0,	72901,	48553,	24257,	50,	
109924,	1.0906667366146539,	0,	72816,	48522,	24237,	50,	
111931,	1.090624202742435,	0,	72475,	48273,	24118,	50,	
113934,	1.091097499883587,	0,	72801,	48554,	24244,	50,	
115937,	1.0910009725298953,	0,	73098,	48737,	24348,	50,	
