Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
343,	4676,	631,	0,	787,	0,	
1356,	72980,	10952,	0,	12632,	0,	
2373,	75859,	11313,	0,	13088,	0,	
3388,	72935,	10875,	0,	12593,	0,	
4405,	66832,	9964,	0,	11581,	0,	
5423,	72725,	10845,	0,	12585,	0,	
6540,	81909,	12212,	0,	14145,	0,	
7550,	74552,	11115,	0,	12877,	0,	
8556,	75301,	11229,	0,	13036,	0,	
9560,	72569,	10822,	0,	12537,	0,	
10561,	74081,	11047,	0,	12802,	0,	
11576,	76146,	11354,	0,	13138,	0,	
12596,	75006,	11183,	0,	12950,	0,	
13601,	72900,	10869,	0,	12613,	0,	
14608,	75452,	11252,	0,	13038,	0,	
15622,	75913,	11321,	0,	13089,	0,	
16623,	75102,	11198,	0,	12969,	0,	
17642,	73482,	10962,	0,	12654,	0,	
18918,	82932,	12342,	0,	14578,	0,	
19963,	59945,	8883,	0,	10514,	0,	
21376,	103978,	15501,	0,	17896,	0,	
22466,	59950,	8932,	0,	10184,	0,	
23470,	74580,	11120,	0,	12820,	0,	
24720,	70995,	10583,	0,	12397,	0,	
25720,	53249,	7942,	0,	9588,	0,	
26860,	84242,	12564,	0,	14553,	0,	
27862,	73691,	10989,	0,	12734,	0,	
29296,	105611,	15747,	0,	18224,	0,	
30298,	73502,	10959,	0,	12686,	0,	
31310,	74553,	11114,	0,	12877,	0,	
32343,	76262,	11371,	0,	13196,	0,	
33359,	75957,	11326,	0,	13099,	0,	
34393,	76581,	11419,	0,	13209,	0,	
35395,	74152,	11056,	0,	12756,	0,	
36397,	73943,	11028,	0,	12756,	0,	
37399,	76434,	11397,	0,	13181,	0,	
38405,	74196,	11062,	0,	12802,	0,	
39429,	74142,	11057,	0,	12753,	0,	
40430,	72657,	10837,	0,	12597,	0,	
41432,	73227,	10921,	0,	12642,	0,	
42437,	74153,	11057,	0,	12792,	0,	
43451,	76305,	11379,	0,	13196,	0,	
44453,	72965,	10877,	0,	12553,	0,	
45454,	74040,	11040,	0,	12780,	0,	
46456,	75167,	11208,	0,	12963,	0,	
47528,	77484,	11549,	0,	13330,	0,	
48560,	72677,	10844,	0,	12561,	0,	
49574,	74040,	11040,	0,	12780,	0,	
51046,	31195,	4600,	0,	5326,	0,	
52062,	5085,	650,	614,	1134,	313,	
53064,	46433,	5423,	5924,	10190,	2971,	
54082,	46686,	5456,	5952,	10230,	2976,	
55084,	45216,	5280,	5775,	9903,	2880,	
56084,	45180,	5280,	5760,	9900,	2880,	
57099,	46103,	5389,	5880,	10127,	2937,	
58100,	45180,	5280,	5760,	9900,	2880,	
59101,	45180,	5280,	5760,	9900,	2880,	
60479,	63218,	7391,	8057,	13779,	4016,	
61483,	45246,	5286,	5775,	9921,	2883,	
62504,	46631,	5442,	5966,	10261,	2981,	
63956,	66354,	7766,	8423,	14539,	4214,	
64972,	45813,	5355,	5841,	10043,	2921,	
65987,	46799,	5469,	5979,	10272,	2992,	
67017,	47004,	5494,	5990,	10309,	2999,	
68032,	46469,	5434,	5918,	10187,	2967,	
69052,	46031,	5381,	5868,	10092,	2932,	
70068,	45933,	5368,	5856,	10065,	2928,	
71082,	45933,	5368,	5856,	10065,	2928,	
72097,	45975,	5374,	5856,	10091,	2932,	
73112,	46584,	5445,	5927,	10218,	2961,	
74127,	46242,	5403,	5908,	10111,	2943,	
75504,	62527,	7309,	7955,	13698,	3973,	
76549,	47356,	5535,	6037,	10379,	3016,	
77579,	47826,	5585,	6114,	10500,	3048,	
78593,	46911,	5486,	5972,	10275,	2988,	
79608,	46543,	5437,	5936,	10200,	2973,	
80623,	46820,	5474,	5967,	10261,	2981,	
81644,	46634,	5449,	5947,	10214,	2975,	
82658,	48094,	5623,	6125,	10539,	3055,	
83659,	45180,	5280,	5760,	9900,	2880,	
84661,	45180,	5280,	5760,	9900,	2880,	
85675,	45933,	5368,	5856,	10065,	2928,	
86690,	46381,	5420,	5920,	10160,	2960,	
87690,	45933,	5368,	5856,	10065,	2928,	
88705,	46492,	5434,	5925,	10205,	2970,	
89973,	57865,	6761,	7396,	12719,	3667,	
90989,	45933,	5368,	5856,	10065,	2928,	
91989,	44832,	5244,	5702,	9781,	2838,	
93021,	48237,	5637,	6139,	10564,	3062,	
94022,	44973,	5255,	5727,	9864,	2861,	
95043,	46124,	5391,	5885,	10151,	2947,	
96059,	46545,	5444,	5917,	10212,	2966,	
97073,	46813,	5470,	5966,	10245,	2980,	
98089,	46686,	5456,	5952,	10230,	2976,	
99103,	45933,	5368,	5856,	10065,	2928,	
100503,	44310,	4586,	7974,	8616,	3996,	
101510,	9594,	0,	5960,	0,	2966,	
102523,	26640,	2142,	7625,	6792,	3182,	
103542,	34804,	3116,	8373,	10066,	3253,	
104551,	34141,	3061,	8186,	9860,	3175,	
105567,	34137,	3059,	8198,	9845,	3196,	
106578,	34038,	3050,	8174,	9821,	3172,	
107591,	34038,	3050,	8174,	9821,	3172,	
108605,	33522,	2997,	8083,	9733,	3128,	
109614,	33006,	2955,	7949,	9520,	3091,	
110623,	32543,	2917,	7826,	9385,	3045,	
111639,	34132,	3060,	8190,	9850,	3173,	
112654,	34172,	3062,	8205,	9869,	3181,	
113669,	34292,	3068,	8241,	9878,	3203,	
114684,	34038,	3050,	8174,	9821,	3172,	
115800,	37386,	3350,	8978,	10787,	3484,	
117284,	49166,	4404,	11808,	14188,	4576,	
118300,	33867,	3036,	8119,	9753,	3151,	
119334,	32728,	2929,	7875,	9447,	3072,	
120339,	33775,	3026,	8112,	9758,	3150,	
121353,	34038,	3050,	8174,	9821,	3172,	
122368,	34269,	3072,	8227,	9906,	3194,	
123369,	33856,	3033,	8131,	9774,	3150,	
124380,	33947,	3051,	8120,	9883,	3145,	
125394,	34271,	3067,	8247,	9919,	3199,	
126397,	34248,	3065,	8239,	9888,	3198,	
127400,	33838,	3031,	8127,	9785,	3155,	
128425,	34081,	3052,	8191,	9863,	3177,	
129435,	33997,	3048,	8159,	9813,	3167,	
130469,	34478,	3093,	8270,	9924,	3206,	
131478,	33608,	3006,	8100,	9723,	3145,	
132483,	33480,	3000,	8040,	9660,	3120,	
133490,	34360,	3080,	8245,	9925,	3196,	
134491,	33480,	3000,	8040,	9659,	3120,	
135516,	34038,	3050,	8174,	9822,	3172,	
136548,	34255,	3065,	8249,	9891,	3188,	
137579,	34596,	3100,	8308,	9982,	3224,	
138588,	33179,	2975,	7956,	9553,	3093,	
139615,	33594,	3013,	8052,	9701,	3124,	
140625,	33901,	3040,	8132,	9802,	3165,	
141630,	33198,	2972,	7986,	9577,	3103,	
142631,	35659,	3193,	8572,	10296,	3328,	
143646,	33857,	3036,	8108,	9744,	3152,	
144662,	33791,	3031,	8107,	9742,	3147,	
145677,	33831,	3030,	8130,	9772,	3158,	
146692,	33263,	2981,	7983,	9596,	3099,	
147946,	41999,	3765,	10083,	12138,	3906,	
148961,	34865,	3122,	8393,	10064,	3251,	
149976,	35154,	3150,	8442,	10143,	3276,	
150977,	13370,	50,	8172,	162,	3172,	
151978,	13577,	80,	8230,	349,	3247,	
152994,	27223,	1269,	9904,	7531,	5338,	
153994,	26257,	1231,	9529,	7327,	5150,	
155016,	27032,	1266,	9805,	7541,	5306,	
156047,	27389,	1281,	9943,	7625,	5368,	
157491,	39063,	1827,	14181,	10875,	7656,	
158515,	27363,	1281,	9931,	7625,	5368,	
159545,	27577,	1291,	10012,	7671,	5411,	
160561,	27389,	1281,	9943,	7625,	5368,	
161585,	27228,	1276,	9869,	7581,	5314,	
162589,	27389,	1281,	9943,	7625,	5368,	
163594,	27395,	1281,	9945,	7629,	5376,	
164614,	27087,	1263,	9849,	7533,	5304,	
165629,	27176,	1274,	9854,	7589,	5316,	
166629,	26840,	1257,	9725,	7434,	5240,	
167645,	27458,	1284,	9976,	7647,	5401,	
168659,	27278,	1271,	9919,	7574,	5348,	
169674,	27203,	1270,	9883,	7596,	5335,	
170684,	27432,	1283,	9957,	7641,	5384,	
171711,	27389,	1281,	9943,	7625,	5368,	
172727,	27672,	1291,	10059,	7709,	5432,	
173742,	28193,	1319,	10235,	7841,	5536,	
174743,	27637,	1291,	10039,	7693,	5427,	
175743,	27692,	1297,	10047,	7705,	5398,	
176758,	27389,	1281,	9943,	7625,	5368,	
177773,	27612,	1286,	10045,	7693,	5418,	
178788,	27017,	1264,	9807,	7536,	5301,	
179789,	26553,	1243,	9639,	7408,	5200,	
180941,	30831,	1444,	11179,	8587,	6036,	
181956,	27389,	1281,	9943,	7625,	5368,	
182971,	27606,	1291,	10011,	7688,	5401,	
183971,	26491,	1239,	9617,	7375,	5192,	
184986,	27389,	1281,	9943,	7625,	5368,	
186039,	28276,	1323,	10265,	7860,	5536,	
187285,	34484,	1615,	12514,	9596,	6749,	
188806,	41213,	1926,	14973,	11459,	8082,	
190254,	40012,	1872,	14522,	11136,	7847,	
191264,	27289,	1279,	9909,	7577,	5346,	
192271,	26940,	1260,	9780,	7500,	5280,	
193286,	27779,	1300,	10079,	7719,	5437,	
194308,	28232,	1322,	10244,	7846,	5536,	
195323,	28166,	1320,	10221,	7813,	5518,	
196324,	27209,	1270,	9881,	7581,	5346,	
197324,	27165,	1268,	9872,	7573,	5336,	
198339,	27621,	1297,	10000,	7698,	5403,	
199354,	27318,	1280,	9914,	7621,	5363,	
200355,	23994,	826,	9802,	4925,	5286,	
201359,	18148,	0,	9795,	0,	5281,	
202372,	25363,	1095,	9761,	4534,	6184,	
203381,	28104,	1569,	9493,	6423,	6423,	
204388,	28565,	1591,	9663,	6484,	6539,	
205389,	27940,	1558,	9448,	6311,	6398,	
