Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
448,	5227,	785,	0,	948,	0,	
1464,	64669,	9647,	0,	11091,	0,	
2465,	72128,	10757,	0,	12437,	0,	
3468,	75320,	11230,	0,	12997,	0,	
4469,	74119,	11048,	0,	12789,	0,	
5471,	73350,	10938,	0,	12569,	0,	
6473,	73159,	10908,	0,	12656,	0,	
7476,	74200,	11064,	0,	12808,	0,	
8492,	75947,	11327,	0,	13122,	0,	
9494,	73748,	10997,	0,	12700,	0,	
10497,	73146,	10906,	0,	12613,	0,	
11499,	75798,	11304,	0,	13073,	0,	
12502,	74691,	11138,	0,	12886,	0,	
13503,	75160,	11207,	0,	12969,	0,	
14505,	73114,	10902,	0,	12578,	0,	
15663,	73250,	10934,	0,	12871,	0,	
16703,	56815,	8486,	0,	10291,	0,	
18094,	102500,	15285,	0,	17661,	0,	
19185,	58807,	8776,	0,	10216,	0,	
20197,	75000,	11182,	0,	12924,	0,	
21531,	78066,	11620,	0,	13751,	0,	
22532,	62682,	9300,	0,	10866,	0,	
23603,	79487,	11855,	0,	13685,	0,	
24605,	73673,	10986,	0,	12726,	0,	
26073,	107539,	16035,	0,	18554,	0,	
27110,	76898,	11468,	0,	13274,	0,	
28128,	75868,	11312,	0,	13078,	0,	
29131,	73888,	11015,	0,	12785,	0,	
30133,	74631,	11129,	0,	12904,	0,	
31151,	75450,	11250,	0,	13006,	0,	
32191,	76545,	11413,	0,	13254,	0,	
33193,	74019,	11034,	0,	12782,	0,	
34197,	76775,	11448,	0,	13248,	0,	
35214,	75108,	11198,	0,	12968,	0,	
36216,	73019,	10889,	0,	12609,	0,	
37216,	72360,	10790,	0,	12502,	0,	
38219,	73372,	10942,	0,	12623,	0,	
39237,	74966,	11176,	0,	12911,	0,	
40238,	75761,	11299,	0,	13080,	0,	
41249,	72767,	10849,	0,	12537,	0,	
42259,	77192,	11511,	0,	13283,	0,	
43269,	73835,	11011,	0,	12734,	0,	
44336,	77631,	11577,	0,	13387,	0,	
45363,	72495,	10809,	0,	12434,	0,	
