Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
138702,	41419,	0,	11224,	9211,	3782,	
139734,	41688,	0,	11303,	9264,	3804,	
140765,	42098,	0,	11408,	9362,	3844,	
141774,	40611,	0,	11007,	9025,	3705,	
142801,	40793,	0,	11051,	9104,	3723,	
143811,	41266,	0,	11188,	9191,	3770,	
144816,	40384,	0,	10948,	9013,	3692,	
145817,	43378,	0,	11752,	9661,	3959,	
146832,	41059,	0,	11139,	9145,	3755,	
147848,	40987,	0,	11120,	9135,	3754,	
148863,	41199,	0,	11162,	9147,	3767,	
149878,	40364,	0,	10934,	9010,	3675,	
151132,	44045,	0,	12723,	9563,	4318,	
152147,	42571,	0,	11527,	9454,	3886,	
153162,	42777,	0,	11592,	9513,	3906,	
154163,	41373,	0,	11211,	9204,	3774,	
155164,	41419,	0,	11224,	9211,	3782,	
156180,	41243,	0,	11180,	9164,	3763,	
157180,	39704,	0,	10773,	8852,	3624,	
158202,	40973,	0,	11094,	9103,	3739,	
159233,	41419,	0,	11224,	9211,	3782,	
160702,	59752,	0,	16192,	13288,	5456,	
161736,	42081,	0,	11403,	9356,	3842,	
162749,	41236,	0,	11172,	9166,	3777,	
163762,	41419,	0,	11224,	9211,	3782,	
164771,	40338,	0,	10931,	8998,	3683,	
165775,	41419,	0,	11224,	9211,	3782,	
166780,	41501,	0,	11240,	9215,	3782,	
167800,	40903,	0,	11084,	9108,	3736,	
168815,	41159,	0,	11147,	9118,	3758,	
169815,	40544,	0,	10982,	9013,	3696,	
170831,	41508,	0,	11247,	9241,	3795,	
171845,	41157,	0,	11160,	9152,	3760,	
172860,	41203,	0,	11170,	9184,	3765,	
173870,	41496,	0,	11241,	9229,	3788,	
174875,	40740,	0,	11040,	9060,	3720,	
175897,	41663,	0,	11287,	9254,	3815,	
176913,	42732,	0,	11577,	9496,	3902,	
177913,	41893,	0,	11349,	9294,	3806,	
178929,	42553,	0,	11535,	9470,	3885,	
179944,	41419,	0,	11224,	9211,	3782,	
180959,	41819,	0,	11323,	9286,	3814,	
181974,	41150,	0,	11164,	9165,	3763,	
182975,	40066,	0,	10851,	8900,	3655,	
184127,	46574,	0,	12642,	10351,	4261,	
185142,	41419,	0,	11224,	9211,	3782,	
186157,	41957,	0,	11373,	9351,	3840,	
187157,	40061,	0,	10856,	8909,	3658,	
188172,	41419,	0,	11224,	9211,	3782,	
189225,	42742,	0,	11579,	9508,	3899,	
190471,	51939,	0,	14074,	11597,	4748,	
191992,	62281,	0,	16875,	13855,	5681,	
193456,	61271,	0,	16589,	13611,	5589,	
194466,	41207,	0,	11169,	9167,	3765,	
195472,	40740,	0,	11040,	9060,	3720,	
196494,	41953,	0,	11377,	9340,	3830,	
197510,	42678,	0,	11551,	9493,	3893,	
198556,	43863,	0,	11883,	9752,	4009,	
199566,	41738,	0,	11302,	9328,	3809,	
200573,	35008,	0,	10197,	7553,	3465,	
201594,	41955,	0,	11328,	9332,	3818,	
202615,	41191,	0,	11147,	9144,	3759,	
203625,	41527,	0,	11260,	9259,	3791,	
204633,	40864,	0,	11062,	9073,	3728,	
205642,	41419,	0,	11224,	9211,	3782,	
206651,	40078,	0,	10861,	8901,	3669,	
